WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall,DewPoint,WindDirection,StationPressure,LandVisibility,VaporPressure,Rainfall24Hr,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,09-30-2019,04:00:00,1011.99,23.8,0.00,22.6,000,980.70,5.00,27.42,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,92,09-30-2019,04:00:00,1012.93,17.6,0.00,16.2,180,850.12,8.00,18.46,0.00,11.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,89,09-30-2019,04:00:00,1011.77,21.1,0.00,19.2,000,967.29,10.00,22.24,0.00,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,92,09-30-2019,04:00:00,1011.83,20.5,0.00,19.2,000,965.32,6.00,22.28,0.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,97,09-30-2019,04:00:00,1012.86,21.5,0.00,21.0,000,974.48,4.00,24.91,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,95,09-30-2019,04:00:00,1012.03,21.0,0.00,20.2,000,966.03,7.00,23.69,0.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,09-30-2019,04:00:00,1012.39,22.0,0.00,21.2,000,985.15,4.00,25.21,0.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,98,09-30-2019,04:00:00,1011.23,23.5,0.00,23.2,000,989.18,8.00,28.42,0.00,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,96,09-30-2019,04:00:00,1012.33,24.0,0.00,23.3,000,987.92,5.00,28.53,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,86,09-30-2019,04:00:00,1011.33,24.3,0.00,21.7,000,976.48,9.00,26.01,0.00,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,96,09-30-2019,04:00:00,1012.53,23.5,0.00,22.8,000,984.60,10.00,27.66,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,93,09-30-2019,04:00:00,1011.46,24.0,0.00,22.8,000,977.52,8.00,27.76,0.00,0.0
