WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,DewPoint,WindSpeed,LandVisibility,RelativeHumidity,AirTemperature
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1009.10,09-14-2019,10:00:00,993.08,9.30,33.14,0.00,100,25.8,5.6,10.00,94,26.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.70,09-14-2019,10:00:00,1004.72,0.50,31.51,0.00,000,24.9,0.0,10.00,69,31.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.73,09-14-2019,10:00:00,999.12,5.50,31.97,0.00,000,25.2,0.0,10.00,77,29.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.59,09-14-2019,10:00:00,1007.68,10.80,30.70,0.00,150,24.5,3.7,10.00,72,30.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.28,09-14-2019,10:00:00,986.74,20.60,29.47,0.00,060,23.8,13.0,10.00,63,31.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.76,09-14-2019,10:00:00,991.24,20.20,30.31,0.00,080,24.3,11.1,10.00,71,30.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.40,09-14-2019,10:00:00,992.38,19.60,29.30,0.00,040,23.7,7.4,10.00,68,30.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1008.62,09-14-2019,10:00:00,994.70,6.10,31.15,0.00,120,24.7,11.1,10.00,73,30.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.24,09-14-2019,10:00:00,994.48,2.20,30.49,0.00,000,24.4,0.0,10.00,76,29.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.93,09-14-2019,10:00:00,994.40,0.00,33.93,0.00,290,26.2,3.7,10.00,78,30.5
