WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,AirTemperature,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall24Hr,RelativeHumidity,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-12-2019,01:00:00,28.20,23.1,24.4,1013.00,000,10.00,4.40,92,981.74,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-12-2019,01:00:00,20.29,17.7,18.4,1009.41,120,8.00,4.30,96,847.57,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-12-2019,01:00:00,27.86,22.9,24.5,1012.12,000,10.00,11.60,91,968.11,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-12-2019,01:00:00,27.85,22.9,24.2,1012.13,000,12.00,4.00,92,966.16,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,3.20,09-12-2019,01:00:00,26.84,22.3,24.5,1012.81,000,5.00,9.40,87,974.81,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-12-2019,01:00:00,29.16,23.6,24.8,1012.75,000,10.00,2.90,93,967.29,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-12-2019,01:00:00,30.15,24.2,25.2,1013.43,000,6.00,1.90,94,986.46,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.01,09-12-2019,01:00:00,28.01,23.0,23.7,1013.08,090,10.00,1.30,96,991.00,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.30,09-12-2019,01:00:00,26.83,22.2,23.0,1013.76,000,6.00,4.20,96,989.24,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-12-2019,01:00:00,27.29,22.5,25.5,1013.07,000,10.00,0.80,84,978.29,0.0
