WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,RelativeHumidity,DewPoint,WindDirection,Rainfall,StationPressure
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.80,08-07-2019,04:00:00,4.00,1009.12,0.0,22.2,25.77,96,21.6,000,4.00,957.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,08-07-2019,04:00:00,7.00,1005.55,5.6,26.4,31.88,93,25.1,190,0.00,1001.59
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,17.10,08-07-2019,04:00:00,2.50,1006.67,9.3,20.9,23.54,95,20.1,220,0.80,911.43
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.10,08-07-2019,04:00:00,5.00,1004.50,0.0,25.9,31.46,94,24.9,000,0.00,988.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,4.00,08-07-2019,04:00:00,8.00,1005.86,3.7,26.6,31.71,91,25.0,190,0.00,1001.83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-07-2019,04:00:00,7.00,1007.47,0.0,25.5,29.91,92,24.0,000,0.00,996.74
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-07-2019,04:00:00,7.00,1006.74,3.7,26.0,29.50,88,23.8,180,0.00,1004.81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-07-2019,04:00:00,10.00,1005.51,9.3,26.8,28.31,80,23.1,240,0.00,984.67
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1.20,08-07-2019,04:00:00,10.00,1004.32,0.0,25.9,29.58,89,23.9,000,0.00,986.64
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,3.80,08-07-2019,04:00:00,10.00,1004.04,0.0,26.3,31.96,93,25.1,000,0.00,987.89
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1.60,08-07-2019,04:00:00,10.00,1004.58,5.6,26.5,30.16,87,24.2,240,0.50,990.56
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.00,08-07-2019,04:00:00,8.00,1005.24,0.0,25.8,30.46,92,24.3,000,0.00,990.38
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,2.60,08-07-2019,04:00:00,6.00,1005.29,3.7,26.0,32.20,96,25.3,240,1.00,990.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,08-07-2019,04:00:00,10.00,1006.09,0.0,26.4,30.78,89,24.5,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1003.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-07-2019,04:00:00,7.00,1005.89,0.0,26.7,29.45,84,23.8,000,0.00,997.94
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.60,08-07-2019,04:00:00,6.00,1006.42,13.0,26.7,31.63,90,25.0,210,0.20,1005.31
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,18.10,08-07-2019,04:00:00,8.00,1005.60,0.0,26.1,28.88,85,23.5,000,0.00,990.89
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,15.00,08-07-2019,04:00:00,.05,1007.99,7.4,19.0,21.73,99,18.8,270,1.40,872.66
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.01,08-07-2019,04:00:00,10.00,1006.38,7.4,26.6,30.62,88,24.4,220,0.00,1000.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.40,08-07-2019,04:00:00,8.00,1007.15,5.6,26.3,31.96,93,25.1,230,0.20,1006.35
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.20,08-07-2019,04:00:00,5.00,1004.80,0.0,27.3,31.41,87,24.9,000,0.40,1004.36
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.80,08-07-2019,04:00:00,3.00,1008.02,0.0,23.9,28.35,96,23.2,000,0.00,996.59
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,16.30,08-07-2019,04:00:00,10.00,1007.06,3.7,25.8,30.19,91,24.2,180,0.00,1006.04
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.90,08-07-2019,04:00:00,7.00,1006.65,0.0,25.9,30.92,93,24.6,000,0.00,1004.82
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,4.20,08-07-2019,04:00:00,5.00,1006.87,0.0,24.8,29.42,94,23.8,000,0.01,1006.10
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.20,08-07-2019,04:00:00,10.00,1007.48,7.4,25.1,30.50,96,24.4,230,0.80,1006.77
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.30,08-07-2019,04:00:00,7.00,1006.54,3.7,25.8,30.19,91,24.2,270,0.10,1005.83
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-07-2019,04:00:00,10.00,1005.46,7.4,27.0,30.02,84,24.1,270,0.00,984.34
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.30,08-07-2019,04:00:00,6.00,1005.28,0.0,27.0,28.14,79,23.0,000,0.00,988.59
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.90,08-07-2019,04:00:00,6.00,1005.81,3.7,26.8,28.04,80,23.0,230,0.00,989.39
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-07-2019,04:00:00,10.00,1005.84,0.0,26.5,28.82,83,23.4,000,0.00,983.98
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,3.00,08-07-2019,04:00:00,10.00,1006.90,18.5,24.7,26.68,86,22.2,230,0.00,963.35
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-07-2019,04:00:00,10.00,1005.63,14.8,27.1,27.80,78,22.8,210,0.00,985.10
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-07-2019,04:00:00,8.00,1006.51,11.1,27.0,29.75,83,24.0,250,0.00,985.71
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.80,08-07-2019,04:00:00,10.00,1007.41,7.4,26.7,30.53,87,24.4,240,0.00,1006.97
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,2.90,08-07-2019,04:00:00,6.00,1006.49,0.0,24.6,29.33,95,23.7,000,2.80,1005.06
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.30,08-07-2019,04:00:00,7.00,1007.38,0.0,25.5,31.25,96,24.8,000,0.00,1002.42
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,2.10,08-07-2019,04:00:00,10.00,1007.35,0.0,25.4,29.99,92,24.1,000,0.01,1004.03
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,5.10,08-07-2019,04:00:00,5.00,1007.16,0.0,25.7,32.18,97,25.3,000,0.01,1006.05
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,19.30,08-07-2019,04:00:00,8.00,1007.35,0.0,25.8,31.00,93,24.6,000,1.30,1007.05
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.30,08-07-2019,04:00:00,10.00,1007.18,0.0,27.5,32.36,88,25.4,000,0.00,1006.69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,5.60,08-07-2019,04:00:00,10.00,1007.27,11.1,26.1,31.30,93,24.8,220,0.01,1005.86
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,16.20,08-07-2019,04:00:00,10.00,1009.46,0.0,23.8,28.69,97,23.4,000,12.10,1001.35
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.10,08-07-2019,04:00:00,4.00,1007.48,0.0,25.9,30.92,93,24.6,000,14.00,1007.19
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,8.50,08-07-2019,04:00:00,10.00,1007.47,0.0,27.0,31.38,88,24.8,000,0.00,1004.34
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,15.50,08-07-2019,04:00:00,10.00,1007.93,5.6,25.7,31.08,94,24.7,270,2.40,1000.96
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.20,08-07-2019,04:00:00,7.00,1006.99,5.6,25.5,28.59,88,23.3,300,0.00,1001.36
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.20,08-07-2019,04:00:00,6.00,1008.60,0.0,25.4,29.99,92,24.1,000,0.00,1007.33
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,6.60,08-07-2019,04:00:00,11.00,1007.36,18.5,26.4,29.17,85,23.6,210,0.00,1006.93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,31.20,08-07-2019,04:00:00,8.00,1008.15,0.0,24.1,29.48,98,23.8,000,0.30,995.76
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,15.50,08-07-2019,04:00:00,10.00,1008.09,0.0,25.0,31.66,100,25.0,000,0.00,1007.37
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,12.40,08-07-2019,04:00:00,7.00,1008.10,3.7,26.0,30.84,92,24.6,240,4.70,1005.65
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,4.20,08-07-2019,04:00:00,6.00,1007.91,7.4,26.0,32.20,96,25.3,290,3.50,1007.39
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,5.20,08-07-2019,04:00:00,8.00,1007.91,0.0,24.8,29.69,95,23.9,000,4.40,1002.71
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,111.70,08-07-2019,04:00:00,5.00,1007.53,0.0,25.1,29.97,94,24.1,000,9.40,1007.12
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,86.10,08-07-2019,04:00:00,8.00,1007.51,0.0,25.0,31.12,98,24.7,000,18.70,1004.72
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,19.40,08-07-2019,04:00:00,6.00,1008.96,0.0,24.3,27.51,91,22.7,000,7.20,1008.16
48501,TRAD,ตราด,ตราด,11.76667,102.88333,175.10,08-07-2019,04:00:00,5.00,1007.83,14.8,25.0,29.79,94,24.0,280,32.00,1007.37
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.90,08-07-2019,04:00:00,7.00,1008.25,0.0,26.2,31.76,93,25.0,000,0.00,1007.57
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.20,08-07-2019,04:00:00,6.00,1008.01,0.0,25.8,31.00,93,24.6,000,0.60,1006.48
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.90,08-07-2019,04:00:00,10.00,1008.69,3.7,27.0,30.83,87,24.5,190,0.00,1007.77
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-07-2019,04:00:00,12.00,1008.62,0.0,27.3,28.16,78,23.0,000,0.00,1007.93
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-07-2019,04:00:00,5.00,1008.58,0.0,24.0,28.53,96,23.3,000,0.00,1007.77
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-07-2019,04:00:00,10.00,1007.73,0.0,25.1,29.70,93,23.9,000,0.00,1007.09
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-07-2019,04:00:00,10.00,1008.22,0.0,25.0,27.96,88,22.9,000,0.00,1007.82
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-07-2019,04:00:00,6.00,1009.95,0.0,24.8,28.38,91,23.2,000,0.00,1005.69
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-07-2019,04:00:00,5.00,1008.12,0.0,23.7,28.77,98,23.4,000,0.00,1006.49
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-07-2019,04:00:00,10.00,1009.01,0.0,23.5,26.42,91,22.0,000,0.00,1005.49
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-07-2019,04:00:00,7.00,1008.02,0.0,25.3,29.28,91,23.7,000,0.00,1006.66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-07-2019,04:00:00,10.00,1008.77,0.0,26.0,30.84,92,24.6,000,0.00,1007.88
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-07-2019,04:00:00,10.00,1008.54,0.0,24.0,27.51,92,22.7,000,0.00,1004.95
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-07-2019,04:00:00,10.00,1008.32,0.0,27.1,29.66,83,23.9,000,0.00,1007.89
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-07-2019,04:00:00,10.00,1007.71,0.0,29.8,28.26,67,23.1,000,0.00,1006.73
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-07-2019,04:00:00,10.00,1008.49,9.3,25.0,29.00,92,23.5,250,0.00,1007.67
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-07-2019,04:00:00,9.00,1008.52,0.0,24.9,29.61,94,23.9,000,0.00,1006.69
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-07-2019,04:00:00,10.00,1008.79,3.7,27.0,30.83,87,24.5,200,0.00,1008.03
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-07-2019,04:00:00,5.00,1008.62,0.0,25.2,29.89,93,24.0,000,0.00,1004.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-07-2019,04:00:00,10.00,1008.44,0.0,26.0,30.84,92,24.6,000,0.00,1007.75
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-07-2019,04:00:00,10.00,1008.25,0.0,25.8,29.66,89,23.9,000,0.00,1007.13
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-07-2019,04:00:00,10.00,1008.54,0.0,25.6,30.90,94,24.6,000,0.00,1005.61
