WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-18-2019,13:00:00,972.77,53,000,0.40,29.21,1002.69,34.8,12.00,0.00,23.7,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-18-2019,13:00:00,842.48,83,270,1.60,25.27,999.97,24.3,8.00,0.00,21.3,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-18-2019,13:00:00,958.15,45,000,1.10,27.65,999.96,36.7,15.00,0.00,22.7,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-18-2019,13:00:00,956.41,44,080,0.00,26.82,1000.10,36.3,15.00,0.00,22.2,3.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-18-2019,13:00:00,965.44,41,000,0.00,24.96,1001.60,36.5,12.00,0.00,21.1,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-18-2019,13:00:00,970.34,45,170,0.00,27.23,1014.19,36.5,12.00,0.00,22.5,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-18-2019,13:00:00,975.37,43,180,0.01,28.21,1000.95,37.8,12.00,0.00,23.1,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-18-2019,13:00:00,980.92,43,170,0.01,25.37,1001.90,36.0,13.00,0.00,21.3,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-18-2019,13:00:00,980.62,63,000,0.00,30.08,1004.21,32.0,10.00,0.00,24.1,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-18-2019,13:00:00,968.10,42,110,0.00,24.89,1001.34,35.9,10.00,0.00,21.0,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-18-2019,13:00:00,974.50,40,000,0.00,25.55,1000.89,37.5,10.00,0.00,21.4,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-18-2019,13:00:00,968.82,45,000,0.00,27.52,1001.08,36.5,12.00,0.00,22.7,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-18-2019,13:00:00,983.41,47,240,0.00,28.82,1001.20,36.7,15.00,0.00,23.4,9.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-18-2019,13:00:00,978.97,45,000,0.00,28.41,1000.88,37.2,10.00,0.00,23.2,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-18-2019,13:00:00,972.04,49,000,0.00,28.26,1000.87,35.6,12.00,0.00,23.1,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-18-2019,13:00:00,967.01,46,000,0.00,26.03,1001.29,35.2,10.00,0.00,21.7,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-18-2019,13:00:00,971.48,48,120,0.00,29.20,1000.02,36.6,15.00,0.00,23.6,11.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-18-2019,13:00:00,995.48,48,210,0.00,28.43,1002.53,36.1,12.00,0.00,23.2,11.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-18-2019,13:00:00,982.01,63,220,0.00,35.87,1001.26,35.2,20.00,0.00,27.1,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,07-18-2019,13:00:00,973.18,41,110,0.01,25.96,1000.71,37.0,17.00,0.00,21.7,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-18-2019,13:00:00,982.06,53,250,0.00,30.27,1001.57,35.3,15.00,0.00,24.2,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-18-2019,13:00:00,981.37,55,180,37.20,31.24,1002.41,35.2,12.00,0.00,24.8,3.7
