WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,WindSpeed,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,75,10-01-2019,10:00:00,23.7,10.00,28.5,0.00,29.33,0.00,000,0.0,981.29,1012.11
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,86,10-01-2019,10:00:00,18.1,8.00,20.5,0.00,20.73,0.00,270,18.5,849.14,1010.05
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,63,10-01-2019,10:00:00,21.7,10.00,29.6,0.00,26.01,0.00,000,0.0,967.92,1011.16
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,65,10-01-2019,10:00:00,22.1,15.00,29.5,0.00,26.62,0.00,000,0.0,966.05,1011.19
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,77,10-01-2019,10:00:00,23.6,8.00,28.0,0.00,29.19,0.00,000,0.0,974.71,1012.26
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,71,10-01-2019,10:00:00,23.7,8.00,29.5,0.00,29.33,0.00,090,5.6,966.73,1011.44
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,79,10-01-2019,10:00:00,22.7,10.00,26.7,0.00,27.60,0.00,000,0.0,986.03,1012.85
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,68,10-01-2019,10:00:00,23.5,5.00,30.0,0.00,28.91,0.00,240,5.6,989.89,1011.48
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,78,10-01-2019,10:00:00,24.7,8.00,29.0,0.00,31.13,0.00,000,0.0,988.43,1012.45
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,64,10-01-2019,10:00:00,22.7,10.00,30.2,0.00,27.66,0.00,000,0.0,977.41,1011.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,70,10-01-2019,10:00:00,23.7,10.00,29.8,0.00,29.36,0.00,000,0.0,984.60,1011.94
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,71,10-01-2019,10:00:00,23.2,10.00,29.0,0.00,28.37,0.00,000,0.0,978.28,1011.68
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,73,10-01-2019,10:00:00,24.6,3.00,30.0,0.00,30.87,0.00,000,0.0,993.18,1011.55
48331,NAN,น่าน,น่าน,18.77972,100.77778,71,10-01-2019,10:00:00,23.3,10.00,29.1,0.00,28.56,0.00,000,0.0,989.29,1012.02
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,80,10-01-2019,10:00:00,23.4,12.00,27.2,0.00,28.78,0.00,000,0.0,982.13,1012.07
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,73,10-01-2019,10:00:00,23.9,8.00,29.2,0.00,29.57,0.00,000,0.0,976.63,1011.95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,75,10-01-2019,10:00:00,24.5,7.00,29.5,0.00,30.72,0.00,250,7.4,981.68,1011.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,70,10-01-2019,10:00:00,24.6,8.00,30.7,0.00,30.86,0.00,000,0.0,1004.44,1011.68
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,66,10-01-2019,10:00:00,24.4,7.00,31.5,0.00,30.49,0.00,000,0.0,991.97,1011.65
48353,LOEI,เลย,เลย,17.45000,101.73333,67,10-01-2019,10:00:00,22.9,3.50,29.6,0.00,27.88,0.00,190,7.4,982.92,1011.42
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,59,10-01-2019,10:00:00,22.6,10.00,31.5,0.00,27.41,0.00,290,3.7,992.04,1012.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,67,10-01-2019,10:00:00,24.1,4.00,31.0,0.00,30.05,0.00,000,0.0,990.05,1011.58
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,61,10-01-2019,10:00:00,22.9,8.00,31.3,0.00,27.85,0.00,130,5.6,992.40,1011.69
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,55,10-01-2019,10:00:00,20.4,9.00,30.5,0.00,23.96,0.00,030,1.9,995.23,1011.85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,59,10-01-2019,10:00:00,21.0,7.00,30.0,0.00,24.89,0.00,000,0.0,995.13,1012.45
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,62,10-01-2019,10:00:00,23.5,7.00,31.6,0.00,28.99,0.00,000,0.0,985.15,1010.62
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,72,10-01-2019,10:00:00,26.2,8.00,31.9,0.00,33.97,0.00,000,0.0,1005.25,1010.97
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,73,10-01-2019,10:00:00,26.4,{'@attributes': {'Unit': 'km'}},32.0,0.00,34.49,0.00,180,5.6,1005.10,1011.21
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,66,10-01-2019,10:00:00,23.4,9.00,30.5,0.00,28.78,0.00,000,0.0,996.47,1012.81
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,69,10-01-2019,10:00:00,23.2,10.00,29.6,0.30,28.42,0.00,000,0.0,988.44,1010.65
48376,TAK,ตาก,ตาก,16.87833,99.14333,66,10-01-2019,10:00:00,24.9,8.00,32.1,0.00,31.44,0.00,000,0.0,997.74,1011.95
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,66,10-01-2019,10:00:00,24.9,8.00,32.0,0.60,31.52,0.00,000,0.0,995.42,1011.61
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,71,10-01-2019,10:00:00,25.3,8.00,31.2,0.00,32.18,0.00,110,5.6,1006.43,1011.61
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,69,10-01-2019,10:00:00,24.1,10.00,30.6,0.00,30.09,0.00,000,0.0,997.46,1010.54
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,66,10-01-2019,10:00:00,25.0,6.00,32.1,0.00,31.73,0.00,020,3.7,1002.20,1011.41
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,63,10-01-2019,10:00:00,23.0,6.00,31.0,0.00,28.09,0.00,220,5.6,990.00,1011.50
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,59,10-01-2019,10:00:00,22.8,10.00,32.0,0.00,27.82,0.00,000,0.0,994.55,1011.85
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,63,10-01-2019,10:00:00,23.0,12.00,31.0,0.00,28.09,0.00,070,3.7,995.49,1011.18
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,66,10-01-2019,10:00:00,23.8,5.00,31.0,0.00,29.48,0.00,270,3.7,992.07,1010.77
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,69,10-01-2019,10:00:00,22.0,11.00,28.2,0.00,26.37,0.00,000,0.0,962.02,1013.13
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,75,10-01-2019,10:00:00,26.3,3.00,31.2,0.00,34.24,0.00,090,7.4,1007.55,1011.47
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,78,10-01-2019,10:00:00,20.9,7.00,25.0,1.20,24.69,0.00,240,5.6,917.39,1011.89
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,75,10-01-2019,10:00:00,24.7,8.00,29.7,0.00,31.12,0.00,260,5.6,995.80,1011.72
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,79,10-01-2019,10:00:00,26.8,2.00,30.8,0.00,35.17,0.00,190,3.7,1007.81,1011.82
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,75,10-01-2019,10:00:00,26.1,7.00,31.0,0.00,33.81,0.00,190,3.7,1002.16,1012.75
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,73,10-01-2019,10:00:00,25.5,8.00,31.0,0.00,32.63,0.00,180,3.7,1010.09,1012.01
