WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,StationPressure,MeanSeaLevelPressure,VaporPressure,WindSpeed,AirTemperature,WindDirection,Rainfall,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.7,08-09-2019,01:00:00,94,973.67,1004.54,31.08,0.0,25.7,000,11.00,12.00,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.4,08-09-2019,01:00:00,95,841.82,1001.51,22.52,18.5,20.2,280,0.00,0.30,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.1,08-09-2019,01:00:00,85,957.94,1001.00,31.84,0.0,27.8,000,0.00,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.8,08-09-2019,01:00:00,88,956.72,1001.80,31.38,0.0,27.0,000,0.00,0.00,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.0,08-09-2019,01:00:00,97,964.73,1002.20,31.71,0.0,25.6,000,0.00,0.00,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.1,08-09-2019,01:00:00,89,957.49,1002.30,30.03,0.0,26.0,000,0.00,0.00,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.9,08-09-2019,01:00:00,91,975.50,1001.96,33.50,0.0,27.5,000,0.00,0.01,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.2,08-09-2019,01:00:00,81,981.13,1002.69,30.26,3.7,27.7,320,0.00,0.10,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,08-09-2019,01:00:00,94,980.99,1005.06,31.65,0.0,26.0,000,0.00,1.50,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.6,08-09-2019,01:00:00,77,968.53,1002.67,29.19,0.0,28.0,000,0.00,0.01,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.4,08-09-2019,01:00:00,81,975.63,1002.89,30.56,0.0,28.0,000,0.00,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.9,08-09-2019,01:00:00,81,969.34,1002.60,29.60,0.0,27.5,000,0.00,0.01,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.1,08-09-2019,01:00:00,85,983.34,1001.66,31.95,3.7,28.0,270,0.00,0.00,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.8,08-09-2019,01:00:00,89,979.11,1001.71,33.25,0.0,27.8,000,0.00,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,08-09-2019,01:00:00,87,972.79,1002.45,31.22,0.0,27.2,000,0.00,0.00,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.5,08-09-2019,01:00:00,90,967.75,1002.99,32.61,0.0,27.2,000,0.00,0.00,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.1,08-09-2019,01:00:00,84,971.07,1000.53,30.02,0.0,27.0,000,0.00,0.00,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.4,08-09-2019,01:00:00,79,995.15,1002.38,30.51,0.0,28.4,000,0.00,0.00,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.8,08-09-2019,01:00:00,78,980.41,999.96,33.17,0.0,30.0,000,0.00,0.00,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,22.8,08-09-2019,01:00:00,67,972.69,1000.90,27.69,0.0,29.5,000,0.00,0.00,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.7,08-09-2019,01:00:00,78,980.34,1000.23,31.13,0.0,29.0,000,0.00,0.00,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.0,08-09-2019,01:00:00,93,979.90,1001.55,31.76,5.6,26.2,140,13.50,13.50,4.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.3,08-09-2019,01:00:00,82,981.54,1000.78,32.22,11.1,28.7,210,0.00,0.00,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.2,08-09-2019,01:00:00,90,985.20,1001.97,28.48,0.0,25.0,000,1.90,2.30,7.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.0,08-09-2019,01:00:00,93,984.74,1002.15,29.89,0.0,25.2,000,13.40,13.40,8.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.2,08-09-2019,01:00:00,86,974.76,1000.38,30.26,0.0,26.7,000,0.00,0.00,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.6,08-09-2019,01:00:00,82,996.19,1001.93,30.84,7.4,28.0,260,0.00,0.10,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.2,08-09-2019,01:00:00,78,995.95,1002.08,30.15,0.0,28.5,000,0.00,0.30,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.5,08-09-2019,01:00:00,83,986.70,1003.03,30.81,5.6,27.7,170,0.00,0.00,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.6,08-09-2019,01:00:00,94,981.43,1003.86,29.07,0.0,24.6,000,0.60,2.80,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.2,08-09-2019,01:00:00,75,989.11,1003.39,28.39,16.7,28.0,260,0.00,0.60,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.3,08-09-2019,01:00:00,73,986.13,1002.35,28.62,0.0,28.7,000,0.00,0.00,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.6,08-09-2019,01:00:00,82,997.68,1002.86,30.84,3.7,28.0,120,0.00,0.30,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.7,08-09-2019,01:00:00,82,988.38,1001.46,31.11,0.0,28.0,000,0.00,0.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.1,08-09-2019,01:00:00,88,993.28,1002.55,31.77,0.0,27.2,000,0.01,0.80,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.6,08-09-2019,01:00:00,77,979.85,1001.34,29.19,5.6,28.0,230,0.00,0.00,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.1,08-09-2019,01:00:00,84,984.19,1001.60,30.02,14.8,27.0,230,0.00,0.00,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.5,08-09-2019,01:00:00,81,985.06,1000.69,32.55,0.0,29.0,000,0.00,0.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.6,08-09-2019,01:00:00,77,981.61,1000.31,29.19,3.7,28.0,190,0.00,0.30,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.8,08-09-2019,01:00:00,96,955.03,1006.59,27.66,0.0,23.5,000,0.40,31.20,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.8,08-09-2019,01:00:00,89,998.98,1002.91,33.25,0.0,27.8,000,0.00,1.10,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.3,08-09-2019,01:00:00,99,909.28,1004.10,25.38,7.4,21.5,230,0.30,5.30,.05
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.4,08-09-2019,01:00:00,88,985.37,1001.23,32.36,0.0,27.5,000,0.00,0.00,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.1,08-09-2019,01:00:00,88,999.18,1003.20,31.77,5.6,27.2,230,0.01,0.80,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.1,08-09-2019,01:00:00,89,993.60,1004.28,30.03,0.0,26.0,000,0.00,0.40,5.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.8,08-09-2019,01:00:00,88,1001.84,1003.77,29.50,13.0,26.0,210,0.80,9.20,3.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.8,08-09-2019,01:00:00,77,981.44,1002.18,27.72,9.3,27.2,240,0.00,0.00,10.00
