WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,WindDirection,AirTemperature,DewPoint,LandVisibility,Rainfall,RelativeHumidity,Rainfall24Hr,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.52,08-01-2019,04:00:00,1004.12,000,25.0,23.8,6.00,0.30,93,36.20,973.19,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.87,08-01-2019,04:00:00,1003.20,260,18.4,17.4,8.00,0.00,94,7.00,842.35,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.09,08-01-2019,04:00:00,1003.82,190,22.7,21.8,10.00,25.20,95,30.20,959.92,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.41,08-01-2019,04:00:00,1003.69,000,23.2,22.6,1.00,28.80,96,54.20,957.95,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.74,08-01-2019,04:00:00,1004.35,000,22.8,22.8,5.00,0.00,100,63.60,966.45,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.78,08-01-2019,04:00:00,1003.83,000,24.0,23.4,10.00,5.40,97,54.30,958.66,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.49,08-01-2019,04:00:00,1004.41,000,24.4,23.8,6.00,0.40,97,116.60,977.60,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.28,08-01-2019,04:00:00,1003.67,100,26.2,23.1,11.00,0.00,83,0.20,981.98,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.53,08-01-2019,04:00:00,1005.23,000,24.0,23.3,6.00,7.20,96,9.00,980.99,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.25,08-01-2019,04:00:00,1004.60,000,25.5,24.8,9.00,0.40,96,9.30,970.12,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.25,08-01-2019,04:00:00,1004.17,000,25.5,24.8,7.00,4.00,96,8.60,976.65,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.23,08-01-2019,04:00:00,1003.90,000,25.1,24.2,8.00,2.20,95,7.10,970.33,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.49,08-01-2019,04:00:00,1004.04,000,23.1,22.6,3.00,12.40,97,48.40,985.38,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.13,08-01-2019,04:00:00,1003.54,000,24.2,23.6,10.00,0.50,97,79.10,980.63,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.53,08-01-2019,04:00:00,1004.24,000,24.0,23.3,5.00,1.50,96,71.10,974.21,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.79,08-01-2019,04:00:00,1004.03,000,25.4,24.5,6.00,4.80,95,7.20,968.55,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.97,08-01-2019,04:00:00,1001.79,000,25.1,24.1,12.00,0.00,94,1.90,972.12,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.30,08-01-2019,04:00:00,1003.80,000,24.0,23.7,6.00,23.30,98,28.50,996.45,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.69,08-01-2019,04:00:00,1002.15,000,25.2,24.5,10.00,0.00,96,10.30,982.25,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,29.23,08-01-2019,04:00:00,1002.69,000,26.0,23.7,10.00,0.00,87,2.60,974.11,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.12,08-01-2019,04:00:00,1003.03,210,24.6,24.2,2.50,15.00,97,41.50,982.79,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.70,08-01-2019,04:00:00,1002.78,000,24.1,23.4,12.00,4.50,96,17.30,980.95,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.41,08-01-2019,04:00:00,1002.23,000,24.5,23.8,10.00,0.00,96,8.00,982.69,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.89,08-01-2019,04:00:00,1002.85,000,24.5,23.5,10.00,0.00,94,0.40,986.05,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.85,08-01-2019,04:00:00,1003.25,000,24.6,24.0,10.00,0.00,97,28.80,985.78,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.80,08-01-2019,04:00:00,1002.16,080,25.3,24.0,8.00,3.20,92,12.40,976.38,9.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.47,08-01-2019,04:00:00,1003.85,250,27.5,22.6,10.00,0.00,75,0.00,998.09,9.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.97,08-01-2019,04:00:00,1003.01,000,27.5,24.6,10.00,0.00,84,0.00,996.86,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.25,08-01-2019,04:00:00,1004.24,000,24.7,23.7,8.00,1.20,94,17.10,987.73,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.66,08-01-2019,04:00:00,1004.48,000,23.5,22.8,8.00,0.30,96,22.20,981.96,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.79,08-01-2019,04:00:00,1004.62,270,27.0,21.0,8.00,0.00,70,5.00,990.27,14.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.06,08-01-2019,04:00:00,1003.38,000,27.0,21.8,8.00,0.00,73,0.00,987.06,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.82,08-01-2019,04:00:00,1004.19,000,26.8,25.1,10.00,0.00,90,0.01,998.97,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.13,08-01-2019,04:00:00,1002.95,000,24.9,24.2,10.00,0.00,96,10.50,989.71,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.07,08-01-2019,04:00:00,1004.13,000,25.3,24.1,10.00,0.60,93,5.60,994.78,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.66,08-01-2019,04:00:00,1003.20,150,24.2,23.9,7.00,0.30,98,7.70,981.40,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.85,08-01-2019,04:00:00,1003.54,000,25.0,24.6,10.00,5.00,97,27.80,985.99,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.74,08-01-2019,04:00:00,1003.20,000,24.1,23.9,7.00,32.20,99,48.20,987.28,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.44,08-01-2019,04:00:00,1002.19,210,25.5,24.3,8.00,0.30,93,1.40,983.30,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.50,08-01-2019,04:00:00,1008.17,000,22.0,20.8,5.00,7.00,93,13.30,956.27,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.08,08-01-2019,04:00:00,1004.49,000,24.9,23.6,4.00,2.40,92,2.40,1000.51,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.99,08-01-2019,04:00:00,1005.81,220,19.9,19.7,.10,0.90,99,33.10,910.35,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.66,08-01-2019,04:00:00,1003.58,000,24.2,23.9,2.00,6.50,98,23.80,987.51,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.72,08-01-2019,04:00:00,1004.58,000,25.4,23.9,7.00,1.30,92,1.50,1000.54,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.60,08-01-2019,04:00:00,1006.43,000,24.5,22.7,7.00,0.20,90,4.40,995.67,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.29,08-01-2019,04:00:00,1005.72,120,25.5,22.5,9.00,0.00,84,1.20,1003.79,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.11,08-01-2019,04:00:00,1004.08,230,24.5,23.0,10.00,0.00,91,2.70,983.11,9.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.48,08-01-2019,04:00:00,1003.46,000,25.0,23.2,10.00,0.01,90,9.20,985.74,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.23,08-01-2019,04:00:00,1003.00,000,25.1,24.2,10.00,0.00,95,19.00,986.81,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.25,08-01-2019,04:00:00,1004.13,200,24.7,23.7,10.00,0.80,94,9.40,990.03,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.72,08-01-2019,04:00:00,1004.16,000,24.7,23.4,9.00,0.30,92,10.10,989.26,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.49,08-01-2019,04:00:00,1004.20,240,24.4,23.8,6.00,1.80,97,8.90,989.44,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.47,08-01-2019,04:00:00,1005.04,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.6,23.2,10.00,0.20,82,0.20,1002.02,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.28,08-01-2019,04:00:00,1004.82,000,24.3,23.1,6.00,2.00,93,3.40,996.81,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.23,08-01-2019,04:00:00,1005.93,180,26.9,23.1,6.00,0.00,80,0.00,1004.82,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.00,08-01-2019,04:00:00,1004.35,000,25.0,23.5,8.00,0.00,92,15.50,989.61,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.81,08-01-2019,04:00:00,1007.92,280,17.7,17.4,8.00,0.00,98,18.50,872.05,13.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.37,08-01-2019,04:00:00,1005.33,000,25.1,22.6,10.00,0.10,86,4.10,999.42,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.20,08-01-2019,04:00:00,1006.89,240,26.5,21.2,8.00,0.00,73,0.00,1006.09,7.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.36,08-01-2019,04:00:00,1006.07,000,27.8,23.7,10.00,0.00,79,0.00,1005.63,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.42,08-01-2019,04:00:00,1007.08,000,23.8,22.6,4.00,0.00,93,13.80,995.65,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.77,08-01-2019,04:00:00,1006.07,000,26.5,22.8,10.00,0.00,80,0.00,1005.06,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.54,08-01-2019,04:00:00,1005.76,180,26.4,21.4,7.00,0.00,74,0.00,1003.93,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.98,08-01-2019,04:00:00,1005.67,000,26.2,22.3,6.00,0.00,79,0.01,1004.90,0.0
