WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,MeanSeaLevelPressure,WindDirection,MaximumTemperature,WindSpeed,StationPressure,AirTemperature,DewPoint,Rainfall24Hr,RelativeHumidity,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.00,09-09-2019,19:00:00,30.07,1005.61,000,31.4,0.0,974.67,25.3,24.1,38.90,93,29.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-09-2019,19:00:00,22.87,1002.92,120,24.0,3.7,843.19,20.6,19.7,0.60,94,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-09-2019,19:00:00,30.80,1002.48,130,33.6,3.7,959.58,29.4,24.5,0.01,75,0.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-09-2019,19:00:00,30.01,1002.51,000,33.2,0.0,957.54,28.0,24.1,0.00,79,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,09-09-2019,19:00:00,34.73,1004.60,000,31.5,0.0,967.26,27.4,26.6,8.50,95,8.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,09-09-2019,19:00:00,30.21,1003.40,170,33.0,7.4,958.99,29.1,24.2,0.00,75,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,09-09-2019,19:00:00,32.80,1003.91,000,33.3,0.0,977.43,28.0,25.6,1.60,87,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,13.00,09-09-2019,19:00:00,28.67,1004.80,210,33.1,3.7,983.30,29.3,23.3,0.00,70,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,09-09-2019,19:00:00,32.16,1006.81,000,29.5,0.0,982.80,27.4,25.3,2.10,88,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-09-2019,19:00:00,32.12,1004.19,000,32.3,0.0,969.98,27.8,25.2,1.80,86,1.80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-09-2019,19:00:00,29.80,1004.47,000,34.3,0.0,977.30,29.6,24.0,0.00,72,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-09-2019,19:00:00,26.64,1004.09,230,34.3,9.3,971.03,29.8,22.1,0.00,64,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,09-09-2019,19:00:00,30.07,1004.57,270,33.4,3.7,986.04,25.3,24.1,9.70,93,9.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-09-2019,19:00:00,31.80,1003.65,000,34.0,0.0,981.16,29.9,25.1,0.30,75,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,09-09-2019,19:00:00,31.95,1003.85,000,33.4,0.0,974.23,28.0,25.1,0.00,85,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,09-09-2019,19:00:00,28.37,1003.75,000,32.5,0.0,968.69,29.0,23.2,0.00,71,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,14.00,09-09-2019,19:00:00,31.31,1003.35,000,35.0,0.0,973.91,28.1,24.8,0.00,82,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,09-09-2019,19:00:00,29.81,1004.79,000,35.6,0.0,997.59,30.6,24.0,0.00,68,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,14.00,09-09-2019,19:00:00,34.30,1003.12,200,34.8,3.7,983.60,31.5,26.3,0.00,74,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,09-09-2019,19:00:00,28.50,1003.44,280,34.0,5.6,975.25,30.5,23.2,0.00,65,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,09-09-2019,19:00:00,33.21,1003.53,000,33.5,0.0,983.66,30.3,25.8,0.00,77,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,09-09-2019,19:00:00,34.81,1004.19,000,33.9,0.0,982.61,28.0,26.6,4.10,92,4.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,09-09-2019,19:00:00,33.74,1003.65,210,33.7,1.9,984.39,29.3,26.1,0.00,83,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,09-09-2019,19:00:00,32.46,1004.58,000,33.4,0.0,988.04,29.8,25.4,0.01,77,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,09-09-2019,19:00:00,33.20,1004.91,000,32.5,0.0,987.62,28.2,25.8,0.00,87,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,09-09-2019,19:00:00,35.30,1003.27,000,32.8,0.0,977.79,29.2,26.8,0.00,87,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-09-2019,19:00:00,31.13,1004.85,260,34.0,9.3,999.12,29.0,24.7,0.00,78,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,09-09-2019,19:00:00,29.88,1005.01,260,33.2,9.3,998.89,29.5,24.0,0.00,72,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-09-2019,19:00:00,28.26,1005.31,000,34.7,0.0,989.05,29.8,23.1,0.00,67,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-09-2019,19:00:00,26.87,1006.32,000,30.6,0.0,983.90,25.4,22.3,20.50,83,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.00,09-09-2019,19:00:00,26.37,1005.98,270,32.3,16.7,991.66,28.2,22.0,0.00,69,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10.00,09-09-2019,19:00:00,27.20,1005.60,260,32.4,11.1,989.34,28.8,22.5,0.00,69,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-09-2019,19:00:00,30.31,1004.99,000,33.0,0.0,999.82,30.0,24.3,0.00,71,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,09-09-2019,19:00:00,31.72,1003.84,000,33.6,0.0,990.82,30.0,25.0,0.50,75,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-09-2019,19:00:00,30.29,1005.12,000,32.9,0.0,995.87,29.0,24.3,0.00,76,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,09-09-2019,19:00:00,34.03,1004.16,000,33.5,0.0,982.65,28.6,26.2,0.90,87,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,4.00,09-09-2019,19:00:00,30.32,1005.07,220,34.5,5.6,987.49,25.0,24.3,26.10,96,5.70
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-09-2019,19:00:00,32.02,1004.17,240,33.0,3.7,988.47,28.6,25.2,0.00,82,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,09-09-2019,19:00:00,33.53,1003.43,000,33.9,0.0,984.71,28.5,26.0,0.00,86,0.00
