WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,Rainfall,AirTemperature,RelativeHumidity,LandVisibility,VaporPressure,WindDirection,Rainfall24Hr,MinimumTemperature,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.2,10-17-2019,07:00:00,1014.59,0.00,23.1,95,5.00,26.74,000,0.01,.0,983.15,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.5,10-17-2019,07:00:00,1013.91,0.00,17.8,98,8.00,19.94,000,0.00,17.5,851.05,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.6,10-17-2019,07:00:00,1015.20,0.00,22.7,94,10.00,25.84,000,0.00,22.1,970.80,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.0,10-17-2019,07:00:00,1014.94,0.00,21.9,95,13.00,24.82,000,0.00,20.6,968.50,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.0,10-17-2019,07:00:00,1016.39,0.00,21.0,100,7.00,24.85,000,2.30,20.5,977.81,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.8,10-17-2019,07:00:00,1015.57,0.00,23.5,96,5.00,27.66,000,0.00,22.0,969.80,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.8,10-17-2019,07:00:00,1016.09,0.00,22.4,96,5.00,26.09,000,0.00,22.1,988.80,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.5,10-17-2019,07:00:00,1014.57,0.00,23.9,97,6.00,28.86,000,2.10,23.7,992.47,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.9,10-17-2019,07:00:00,1014.18,0.00,23.8,95,6.00,27.92,000,0.00,21.5,989.70,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.8,10-17-2019,07:00:00,1014.85,0.00,23.8,89,10.00,26.17,000,0.00,23.5,979.82,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.0,10-17-2019,07:00:00,1015.15,0.00,23.5,97,10.00,28.17,000,0.00,23.0,987.15,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.5,10-17-2019,07:00:00,1014.83,0.00,23.0,97,7.00,27.32,000,18.20,22.8,980.66,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.2,10-17-2019,07:00:00,1014.44,0.00,24.1,95,5.00,28.44,000,4.20,23.3,995.65,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.0,10-17-2019,07:00:00,1015.49,0.00,23.5,97,.40,28.17,000,1.60,23.0,992.26,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.2,10-17-2019,07:00:00,1015.63,0.00,23.0,96,.80,26.83,000,2.40,22.6,985.16,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.4,10-17-2019,07:00:00,1015.11,0.00,22.7,98,6.00,27.07,000,3.00,22.5,978.91,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,21.1,10-17-2019,07:00:00,1015.04,0.00,21.6,97,4.00,25.07,000,0.00,21.1,984.62,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.8,10-17-2019,07:00:00,1014.28,0.00,25.0,88,8.00,27.70,000,2.70,24.9,1006.88,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,22.0,10-17-2019,07:00:00,1015.07,0.00,25.0,83,10.00,26.43,020,0.00,24.0,994.90,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,21.5,10-17-2019,07:00:00,1015.29,0.00,23.0,91,2.50,25.60,000,0.10,22.0,986.06,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,21.4,10-17-2019,07:00:00,1015.09,0.00,24.0,86,15.00,25.51,050,8.00,22.2,994.57,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.5,10-17-2019,07:00:00,1014.84,0.00,22.9,92,12.00,25.68,000,0.40,22.0,992.66,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.1,10-17-2019,07:00:00,1014.70,0.00,23.3,93,12.00,26.58,000,2.00,22.5,994.84,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.2,10-17-2019,07:00:00,1015.14,0.00,25.0,80,10.00,25.19,000,0.00,23.1,998.15,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.0,10-17-2019,07:00:00,1015.45,0.00,24.2,93,7.00,28.10,000,0.00,21.2,997.74,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,20.4,10-17-2019,07:00:00,1013.47,0.00,25.0,76,10.00,23.96,000,0.01,23.7,987.37,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.8,10-17-2019,07:00:00,1013.59,0.00,25.1,98,10.00,31.31,000,0.00,24.4,1007.73,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.2,10-17-2019,07:00:00,1013.95,0.00,24.5,98,8.00,30.20,000,0.50,24.5,1007.66,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,21.6,10-17-2019,07:00:00,1015.22,0.00,24.5,84,12.00,25.84,000,17.00,24.2,998.52,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.5,10-17-2019,07:00:00,1012.04,0.00,24.0,91,8.00,27.25,070,0.00,23.0,989.39,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.5,10-17-2019,07:00:00,1014.90,0.00,24.2,96,7.00,28.88,000,26.00,23.7,1000.27,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,10-17-2019,07:00:00,1014.77,0.00,24.5,96,7.00,29.41,000,20.00,24.0,998.13,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.3,10-17-2019,07:00:00,1013.73,0.00,25.6,93,10.00,30.36,030,0.00,25.1,1008.44,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.2,10-17-2019,07:00:00,1012.51,0.00,25.5,93,12.00,30.17,000,1.40,24.6,999.18,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.8,10-17-2019,07:00:00,1014.04,0.00,24.7,95,12.00,29.51,000,4.10,24.0,1004.58,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.2,10-17-2019,07:00:00,1014.39,0.00,24.5,82,8.00,25.10,020,0.60,23.8,992.37,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,22.7,10-17-2019,07:00:00,1014.61,0.00,24.5,90,10.00,27.60,000,3.00,23.2,996.83,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,21.9,10-17-2019,07:00:00,1013.24,0.00,25.2,82,10.00,26.27,070,0.00,23.5,997.22,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,21.4,10-17-2019,07:00:00,1013.27,0.00,24.0,86,8.00,25.51,040,2.10,23.0,994.08,3.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.2,10-17-2019,07:00:00,1015.48,0.00,21.0,95,.10,23.69,000,0.00,20.5,963.03,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.5,10-17-2019,07:00:00,1013.53,0.00,25.5,94,3.00,30.71,290,0.40,24.5,1009.53,5.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.8,10-17-2019,07:00:00,1014.50,0.00,20.7,94,6.00,23.02,300,13.70,19.5,918.46,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,21.9,10-17-2019,07:00:00,1014.19,0.00,24.3,86,8.00,26.26,000,0.01,22.8,997.95,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,23.9,10-17-2019,07:00:00,1013.61,0.00,25.2,92,9.00,29.62,000,0.00,24.6,1009.53,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.0,10-17-2019,07:00:00,1014.35,0.00,25.0,94,9.00,29.79,000,0.00,24.7,1003.53,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.8,10-17-2019,07:00:00,1013.86,0.00,25.7,89,10.00,29.48,330,2.10,25.3,1011.91,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.0,10-17-2019,07:00:00,1013.48,0.00,26.0,70,10.00,23.38,030,0.00,24.8,992.42,7.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,21.4,10-17-2019,07:00:00,1013.68,0.00,24.7,82,10.00,25.43,050,0.00,23.5,995.77,9.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.8,10-17-2019,07:00:00,1013.48,0.00,24.5,85,10.00,26.09,000,0.00,24.2,997.08,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.2,10-17-2019,07:00:00,1013.55,0.00,24.7,86,10.00,26.68,010,0.00,23.9,999.32,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.4,10-17-2019,07:00:00,1013.22,0.00,24.3,89,7.00,27.01,000,0.00,23.3,998.17,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.2,10-17-2019,07:00:00,1013.57,0.00,25.0,90,8.00,28.48,060,0.00,23.2,998.71,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.7,10-17-2019,07:00:00,1013.57,0.00,26.5,85,10.00,29.35,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,25.0,1010.53,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.3,10-17-2019,07:00:00,1013.36,0.00,25.5,88,10.00,28.59,000,0.00,25.2,1005.32,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.1,10-17-2019,07:00:00,1012.73,0.00,27.0,84,6.00,30.02,050,0.00,25.3,1011.61,13.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.3,10-17-2019,07:00:00,1013.31,0.00,25.0,85,8.00,26.94,090,0.20,24.0,998.43,7.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.4,10-17-2019,07:00:00,1014.01,0.00,18.4,100,.05,21.14,050,0.00,17.3,877.62,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,22.3,10-17-2019,07:00:00,1013.53,0.00,26.0,80,10.00,26.88,050,0.00,24.5,1007.59,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.6,10-17-2019,07:00:00,1012.17,0.00,27.2,81,9.00,29.04,030,0.00,26.3,1011.36,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,22.6,10-17-2019,07:00:00,1011.60,0.00,28.5,71,8.00,27.44,120,0.00,27.5,1011.15,16.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,22.5,10-17-2019,07:00:00,1013.08,0.00,23.3,96,6.00,27.33,000,0.00,23.1,1001.57,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.1,10-17-2019,07:00:00,1013.04,0.00,26.9,85,7.00,30.10,040,0.00,26.1,1012.02,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,21.4,10-17-2019,07:00:00,1012.87,0.00,27.7,69,8.00,25.49,050,0.00,26.6,1011.04,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.4,10-17-2019,07:00:00,1012.81,0.00,26.4,89,8.00,30.51,000,0.00,25.6,1012.04,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.9,10-17-2019,07:00:00,1012.19,0.00,28.2,73,10.00,27.95,030,0.00,26.4,1011.48,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,21.7,10-17-2019,07:00:00,1011.54,0.00,28.1,68,8.00,25.93,040,0.00,27.5,1010.84,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.2,10-17-2019,07:00:00,1013.91,0.00,25.0,84,9.00,26.69,060,0.00,24.5,992.48,3.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.5,10-17-2019,07:00:00,1013.56,0.00,24.6,88,7.00,27.27,000,0.00,23.1,996.61,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,22.9,10-17-2019,07:00:00,1013.87,0.00,24.4,91,6.00,27.94,040,0.00,23.0,997.18,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.5,10-17-2019,07:00:00,1013.78,0.00,24.6,88,10.00,27.27,000,0.00,24.0,991.61,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.7,10-17-2019,07:00:00,1013.59,0.00,24.4,80,8.00,24.45,070,0.00,23.5,969.70,18.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.6,10-17-2019,07:00:00,1013.43,0.00,24.5,89,9.00,27.35,010,0.00,24.4,992.57,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.8,10-17-2019,07:00:00,1015.34,0.00,24.5,96,8.00,29.41,010,0.00,23.5,994.18,5.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.5,10-17-2019,07:00:00,1012.03,0.00,27.0,87,10.00,30.83,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.10,25.4,1011.59,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.3,10-17-2019,07:00:00,1011.72,0.00,25.8,92,8.00,30.46,080,0.00,25.5,1010.29,3.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.4,10-17-2019,07:00:00,1012.27,0.00,25.0,97,7.00,30.58,000,0.00,25.0,1007.28,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.1,10-17-2019,07:00:00,1012.62,0.00,27.6,76,10.00,28.18,060,0.00,24.0,1009.31,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.1,10-17-2019,07:00:00,1012.51,0.00,27.0,84,10.00,30.02,350,0.00,25.0,1011.40,1.9
