WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,Rainfall24Hr,LandVisibility,WindSpeed,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,10-11-2019,04:00:00,000,1.20,5.00,0.0,0.40,1011.96,980.59,21.9,23.1,26.25
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,10-11-2019,04:00:00,120,4.10,6.00,9.3,0.00,1010.99,848.29,17.0,17.2,19.40
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,89,10-11-2019,04:00:00,360,1.40,8.00,9.3,1.40,1010.93,967.02,22.9,24.8,27.87
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,89,10-11-2019,04:00:00,000,0.00,12.00,0.0,0.00,1010.90,964.99,22.3,24.2,26.84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,98,10-11-2019,04:00:00,000,0.00,5.00,0.0,0.00,1011.93,973.65,21.7,22.0,25.93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,94,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1010.77,965.29,23.0,24.0,28.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,94,10-11-2019,04:00:00,000,0.00,4.00,0.0,0.00,1011.77,984.67,22.2,23.3,26.83
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,97,10-11-2019,04:00:00,000,6.30,5.00,0.0,0.70,1011.19,989.06,22.0,22.5,26.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,97,10-11-2019,04:00:00,000,5.00,5.00,0.0,1.50,1012.08,987.62,22.8,23.3,27.83
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,91,10-11-2019,04:00:00,000,3.50,10.00,0.0,0.00,1012.39,977.47,22.5,24.0,27.25
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,91,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1011.49,983.66,22.7,24.3,27.51
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,95,10-11-2019,04:00:00,000,15.60,10.00,0.0,0.00,1012.22,978.15,22.2,23.1,26.74
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,90,10-11-2019,04:00:00,170,0.10,5.00,5.6,0.10,1010.87,992.19,23.0,24.8,28.13
48331,NAN,น่าน,น่าน,18.77972,100.77778,91,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.72,987.67,23.0,24.5,28.11
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,93,10-11-2019,04:00:00,000,0.00,5.00,0.0,0.00,1009.87,979.58,21.8,23.0,26.09
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,94,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1010.97,975.10,23.2,24.2,28.36
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,98,10-11-2019,04:00:00,000,1.80,7.00,0.0,0.00,1010.15,980.02,22.7,23.0,27.57
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,93,10-11-2019,04:00:00,000,30.60,7.00,0.0,30.60,1010.87,1003.47,23.3,24.5,28.63
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,88,10-11-2019,04:00:00,100,0.00,5.00,3.7,0.00,1010.49,990.45,23.5,25.7,28.95
48353,LOEI,เลย,เลย,17.45000,101.73333,94,10-11-2019,04:00:00,000,0.50,4.00,0.0,0.00,1010.66,981.68,23.2,24.2,28.36
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,92,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.94,990.57,23.4,24.9,28.82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,91,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1011.40,989.38,22.5,24.0,27.25
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,84,10-11-2019,04:00:00,170,0.00,10.00,5.6,0.00,1010.77,991.12,22.5,25.5,27.29
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,91,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1009.86,983.73,22.0,23.5,26.42
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,96,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.89,1005.04,24.5,25.2,30.69
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,95,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1010.71,1004.47,24.7,25.6,31.17
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,93,10-11-2019,04:00:00,000,2.20,8.00,0.0,0.90,1011.25,994.64,23.8,25.0,29.52
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,95,10-11-2019,04:00:00,130,62.50,8.00,5.6,0.00,1009.54,986.86,22.0,22.9,26.41
48376,TAK,ตาก,ตาก,16.87833,99.14333,94,10-11-2019,04:00:00,000,12.40,6.00,0.0,0.00,1011.11,996.51,22.8,23.8,27.67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,99,10-11-2019,04:00:00,000,50.90,6.00,0.0,0.80,1011.04,994.38,22.9,23.1,27.99
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,92,10-11-2019,04:00:00,340,0.00,10.00,7.4,0.00,1010.82,1005.55,24.4,25.9,30.65
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,96,10-11-2019,04:00:00,000,11.80,10.00,0.0,0.00,1009.41,996.10,24.3,25.0,30.32
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,89,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.41,1000.99,23.0,24.9,28.04
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,92,10-11-2019,04:00:00,000,0.00,8.00,0.0,0.00,1010.43,988.53,23.5,25.0,29.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,83,10-11-2019,04:00:00,000,0.00,8.00,0.0,0.00,1010.76,993.08,22.0,25.0,26.43
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,83,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.08,994.12,22.5,25.6,27.21
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,92,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1009.80,990.73,23.6,24.9,29.08
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,10-11-2019,04:00:00,000,44.60,5.00,0.0,0.00,1011.65,959.41,19.4,21.0,22.54
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,94,10-11-2019,04:00:00,000,0.10,8.00,0.0,0.00,1010.06,1006.08,25.2,26.2,32.04
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,97,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1011.90,915.80,19.2,19.7,22.26
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,93,10-11-2019,04:00:00,000,0.00,5.00,0.0,0.00,1010.82,994.65,23.5,24.7,28.98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,94,10-11-2019,04:00:00,210,12.90,8.00,1.9,0.00,1010.61,1006.55,24.9,25.9,31.46
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,96,10-11-2019,04:00:00,000,0.00,6.00,0.0,0.00,1011.64,1000.85,24.3,25.0,30.32
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,89,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.69,1008.75,24.5,26.4,30.78
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,96,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.09,988.96,23.3,24.0,28.53
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,96,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.26,992.46,24.8,25.5,31.25
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,93,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.03,993.80,25.1,26.4,31.88
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,89,10-11-2019,04:00:00,000,0.00,10.00,0.0,0.00,1010.11,995.99,24.0,25.9,29.84
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,95,10-11-2019,04:00:00,000,0.00,7.00,0.0,0.00,1010.55,995.58,24.3,25.2,30.42
