WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindDirection,VaporPressure,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,StationPressure,AirTemperature,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.00,09-11-2019,16:00:00,000,30.67,0.0,24.5,1008.83,80,978.08,28.2,8.00,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.90,09-11-2019,16:00:00,120,20.51,13.0,17.9,1004.93,81,845.22,21.3,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,13.30,09-11-2019,16:00:00,160,28.28,11.1,23.1,1008.96,83,965.34,26.2,12.00,2.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.40,09-11-2019,16:00:00,190,28.10,5.6,23.0,1008.74,76,963.45,27.7,15.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,9.60,09-11-2019,16:00:00,000,29.48,0.0,23.8,1010.46,83,972.86,27.0,8.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.90,09-11-2019,16:00:00,000,29.19,0.0,23.6,1009.39,77,964.55,28.0,12.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.70,09-11-2019,16:00:00,000,31.38,0.0,24.8,1010.96,88,984.21,27.0,7.00,0.40
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.60,09-11-2019,16:00:00,220,29.21,3.7,23.6,1010.68,82,988.89,27.0,8.00,0.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,3.00,09-11-2019,16:00:00,000,29.33,0.0,23.7,1010.14,86,985.96,26.2,6.00,3.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.80,09-11-2019,16:00:00,190,27.06,5.6,22.4,1009.61,72,975.23,28.0,8.00,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.20,09-11-2019,16:00:00,000,28.70,0.0,23.4,1010.13,73,982.73,28.6,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,2.20,09-11-2019,16:00:00,000,26.39,0.0,22.0,1009.44,68,976.06,28.5,10.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.10,09-11-2019,16:00:00,250,30.10,3.7,24.1,1009.76,76,991.35,28.9,4.00,0.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-11-2019,16:00:00,000,29.19,0.0,23.6,1009.71,73,987.03,29.0,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.01,09-11-2019,16:00:00,040,29.96,1.9,24.1,1009.82,77,980.06,28.4,12.00,0.01
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.60,09-11-2019,16:00:00,000,29.69,0.0,23.9,1010.00,81,974.54,27.4,7.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.90,09-11-2019,16:00:00,020,31.32,3.7,24.8,1008.82,75,979.39,29.8,15.00,0.00
