WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,WindDirection,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-28-2019,13:00:00,5.6,0.00,1012.46,26.34,030,10.00,32.8,21.9,53,990.90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-28-2019,13:00:00,18.5,0.00,1012.50,20.76,030,10.00,30.4,18.1,48,969.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-28-2019,13:00:00,9.3,0.00,1012.64,25.91,100,11.00,32.0,21.7,54,992.30
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-28-2019,13:00:00,13.0,0.00,1014.61,30.54,050,8.00,30.4,24.4,70,993.87
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-28-2019,13:00:00,0.0,0.00,1012.22,27.75,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,33.1,22.8,55,1011.79
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-28-2019,13:00:00,0.0,0.00,1011.62,26.12,000,11.00,33.4,21.8,51,1010.23
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-28-2019,13:00:00,0.0,15.00,1011.82,29.66,000,8.00,33.2,23.9,58,1006.96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-28-2019,13:00:00,7.4,0.00,1012.74,26.34,040,8.00,32.8,21.9,53,1009.49
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-28-2019,13:00:00,7.4,0.00,1012.73,27.97,040,10.00,32.5,22.9,57,1011.63
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-28-2019,13:00:00,11.1,0.00,1011.73,26.68,030,10.00,34.4,22.2,49,1011.43
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-28-2019,13:00:00,5.6,0.01,1011.56,26.60,040,10.00,34.5,22.1,49,1010.89
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-28-2019,13:00:00,5.6,0.00,1013.32,30.11,120,10.00,33.0,24.2,60,1012.84
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-28-2019,13:00:00,13.0,0.01,1012.37,27.03,020,10.00,33.3,22.4,53,1010.98
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-28-2019,13:00:00,5.6,0.00,1012.34,29.60,090,5.00,31.2,23.9,65,1010.67
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-28-2019,13:00:00,3.7,0.00,1013.54,25.63,360,15.00,34.0,21.5,48,1005.66
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-28-2019,13:00:00,11.1,4.70,1011.79,25.77,090,10.00,34.5,21.6,47,1011.52
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-28-2019,13:00:00,7.4,14.30,1011.74,28.25,320,10.00,32.5,23.1,58,1008.65
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-28-2019,13:00:00,7.4,13.80,1012.08,30.32,330,8.00,31.7,24.3,65,1005.21
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-28-2019,13:00:00,5.6,18.00,1012.41,30.53,090,10.00,33.2,24.4,60,1006.90
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-28-2019,13:00:00,5.6,1.80,1012.77,30.57,340,3.00,33.5,24.4,59,1003.60
