WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,StationPressure,Rainfall24Hr,DewPoint,RelativeHumidity,WindDirection,Rainfall,AirTemperature,LandVisibility,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-24-2019,01:00:00,0.0,983.58,0.00,21.0,91,000,0.00,22.5,8.00,1015.10,24.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-24-2019,01:00:00,14.8,851.14,0.00,14.3,82,150,0.00,17.4,8.00,1014.27,16.24
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-24-2019,01:00:00,0.0,971.20,0.00,19.8,88,000,0.00,21.8,12.00,1015.76,23.03
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-24-2019,01:00:00,0.0,969.11,0.00,19.6,92,000,0.00,21.0,12.00,1015.72,22.77
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-24-2019,01:00:00,0.0,977.82,0.00,20.6,96,000,0.00,21.2,5.00,1016.37,24.22
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-24-2019,01:00:00,0.0,969.97,0.00,20.7,89,000,0.00,22.7,10.00,1015.88,24.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-24-2019,01:00:00,0.0,988.86,0.00,22.2,91,000,0.00,23.7,6.00,1016.04,26.75
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-24-2019,01:00:00,0.0,992.70,0.80,22.7,95,000,0.00,23.6,11.00,1014.83,27.58
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-24-2019,01:00:00,0.0,989.93,0.00,22.5,91,000,0.00,24.0,6.00,1014.39,27.25
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-24-2019,01:00:00,0.0,980.18,0.80,22.1,84,000,0.00,24.9,10.00,1015.10,26.52
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-24-2019,01:00:00,0.0,987.25,0.00,22.1,90,000,0.00,23.9,10.00,1015.22,26.58
