WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,AirTemperature,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,DewPoint
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,14.00,08-12-2019,13:00:00,8.00,27.2,350,3.7,1008.76,5.50,29.85,83,1007.98,24.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,84.60,08-12-2019,13:00:00,6.00,25.4,060,5.6,1009.06,11.40,31.60,97,1008.60,25.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,14.20,08-12-2019,13:00:00,8.00,30.0,170,9.3,1007.68,4.00,30.31,71,1007.01,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,11.40,08-12-2019,13:00:00,7.00,30.2,190,7.4,1007.71,1.60,31.27,73,1006.19,24.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,53.70,08-12-2019,13:00:00,10.00,30.5,210,7.4,1008.09,0.00,31.31,72,1007.18,24.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-12-2019,13:00:00,10.00,30.1,150,13.0,1009.64,0.00,31.07,73,1008.96,24.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,08-12-2019,13:00:00,10.00,33.2,270,7.4,1007.70,0.00,33.50,66,1006.92,25.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-12-2019,13:00:00,10.00,34.5,180,5.6,1007.13,0.00,27.17,50,1006.51,22.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.30,08-12-2019,13:00:00,12.00,35.2,210,11.1,1007.47,0.00,32.76,58,1007.07,25.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-12-2019,13:00:00,8.00,33.0,240,11.1,1009.31,0.00,28.12,56,1005.17,23.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.70,08-12-2019,13:00:00,10.00,32.0,250,9.3,1007.70,0.00,29.79,63,1006.11,24.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,4.60,08-12-2019,13:00:00,12.00,33.0,000,0.0,1008.16,0.00,29.25,58,1004.75,23.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.01,08-12-2019,13:00:00,10.00,32.5,110,13.0,1007.57,0.00,32.87,67,1006.24,25.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,12.70,08-12-2019,13:00:00,10.00,31.5,240,14.8,1008.06,0.00,34.00,74,1007.19,26.2
