WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,19.29897,97.97578,25.0,07-08-2019,04:00:00,23.4,0.0,975.70,0.00,1006.70,1.80,8.00,28.74,000,91
48302,DOI ANG KANG,\u0e14\u0e2d\u0e22\u0e2d\u0e48\u0e32\u0e07\u0e02\u0e32\u0e07,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,19.93139,99.04833,18.9,07-08-2019,04:00:00,17.1,13.0,843.89,0.00,1004.74,1.50,8.00,19.46,300,89
48303,CHIANG RAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.96139,99.88139,25.8,07-08-2019,04:00:00,22.5,0.0,961.95,0.00,1005.48,0.00,12.00,27.30,000,82
48304,CHAING RAI AGROMET.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.87083,99.78278,24.9,07-08-2019,04:00:00,23.3,0.0,959.86,0.00,1005.42,2.00,12.00,28.56,000,91
48307,THUNG CHANG,\u0e17\u0e38\u0e48\u0e07\u0e0a\u0e49\u0e32\u0e07,\u0e19\u0e48\u0e32\u0e19,19.41194,100.88353,24.4,07-08-2019,04:00:00,24.1,0.0,969.17,0.00,1006.96,0.80,7.00,30.02,000,98
48310,PHAYAO,\u0e1e\u0e30\u0e40\u0e22\u0e32,\u0e1e\u0e30\u0e40\u0e22\u0e32,19.13333,99.90000,26.0,07-08-2019,04:00:00,23.8,11.1,960.83,0.00,1005.80,0.00,10.00,29.50,130,88
48315,THA WANGPHA,\u0e17\u0e48\u0e32\u0e27\u0e31\u0e07\u0e1c\u0e32,\u0e19\u0e48\u0e32\u0e19,19.11056,100.80250,25.5,07-08-2019,04:00:00,24.0,0.0,980.18,0.00,1006.96,7.90,7.00,29.91,000,92
48324,THOEN,\u0e40\u0e16\u0e34\u0e19,\u0e25\u0e33\u0e1b\u0e32\u0e07,17.63661,99.24475,25.6,07-08-2019,04:00:00,23.5,3.7,985.33,0.00,1007.15,0.00,10.00,29.03,090,88
48325,MAE SARIANG,\u0e41\u0e21\u0e48\u0e2a\u0e30\u0e40\u0e23\u0e35\u0e22\u0e07,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,18.16667,97.93333,23.8,07-08-2019,04:00:00,22.9,0.0,983.27,0.00,1007.59,15.80,6.00,27.92,000,95
48327,CHIANG MAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,18.79000,98.97694,26.4,07-08-2019,04:00:00,21.3,0.0,972.23,0.00,1006.69,0.01,10.00,25.29,000,74
48328,LAMPANG,\u0e25\u0e33\u0e1b\u0e32\u0e07,\u0e25\u0e33\u0e1b\u0e32\u0e07,18.28333,99.51667,27.0,07-08-2019,04:00:00,21.8,0.0,980.29,0.00,1007.78,0.00,10.00,26.06,000,73
48329,LAMPHUN,\u0e25\u0e33\u0e1e\u0e39\u0e19,\u0e25\u0e33\u0e1e\u0e39\u0e19,18.56722,99.03389,26.2,07-08-2019,04:00:00,22.2,0.0,973.01,0.00,1006.55,0.00,10.00,26.72,000,79
48330,PHRAE,\u0e41\u0e1e\u0e23\u0e48,\u0e41\u0e1e\u0e23\u0e48,18.16667,100.16667,26.9,07-08-2019,04:00:00,22.5,0.0,987.99,0.00,1006.46,0.01,12.00,27.18,000,77
48331,NAN,\u0e19\u0e48\u0e32\u0e19,\u0e19\u0e48\u0e32\u0e19,18.77972,100.77778,26.5,07-08-2019,04:00:00,23.1,0.0,983.69,0.00,1006.49,0.00,10.00,28.29,000,82
48333,NAN AGROMET.,\u0e19\u0e48\u0e32\u0e19 \u0e2a\u0e01\u0e29.,\u0e19\u0e48\u0e32\u0e19,18.86667,100.75000,24.8,07-08-2019,04:00:00,23.6,0.0,976.88,0.00,1006.91,3.10,6.00,29.16,000,93
48334,LAMPANG AGROMET.,\u0e25\u0e33\u0e1b\u0e32\u0e07 \u0e2a\u0e01\u0e29.,\u0e25\u0e33\u0e1b\u0e32\u0e07,18.31667,99.28333,26.6,07-08-2019,04:00:00,22.5,0.0,971.27,0.00,1006.70,0.00,6.00,27.16,000,78
48350,LOEI AGROMET.,\u0e40\u0e25\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e25\u0e22,17.40000,101.73333,24.8,07-08-2019,04:00:00,22.1,0.0,975.81,0.00,1005.63,0.00,10.00,26.60,000,85
48351,UTTARADIT,\u0e2d\u0e38\u0e15\u0e23\u0e14\u0e34\u0e15\u0e16\u0e4c,\u0e2d\u0e38\u0e15\u0e23\u0e14\u0e34\u0e15\u0e16\u0e4c,17.61667,100.10000,27.4,07-08-2019,04:00:00,24.1,0.0,1000.09,0.00,1007.38,0.30,9.00,29.96,000,82
48352,NONG KHAI,\u0e2b\u0e19\u0e2d\u0e07\u0e04\u0e32\u0e22,\u0e2b\u0e19\u0e2d\u0e07\u0e04\u0e32\u0e22,17.86717,102.73303,27.3,07-08-2019,04:00:00,24.7,5.6,985.55,0.00,1005.39,0.90,10.00,31.14,220,86
48354,UDON THANI,\u0e2d\u0e38\u0e14\u0e23\u0e18\u0e32\u0e19\u0e35,\u0e2d\u0e38\u0e14\u0e23\u0e18\u0e32\u0e19\u0e35,17.38333,102.80000,27.3,07-08-2019,04:00:00,23.5,1.9,986.00,0.00,1006.12,0.00,12.00,28.96,220,80
48355,SAKON NAKHON AGROMET.,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23 \u0e2a\u0e01\u0e29.,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23,17.12503,104.06100,27.3,07-08-2019,04:00:00,22.4,9.3,984.78,0.00,1006.46,0.00,10.00,27.11,230,75
48356,SAKON NAKHON,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23,\u0e2a\u0e01\u0e25\u0e19\u0e04\u0e23,17.15000,104.13333,28.0,07-08-2019,04:00:00,22.9,3.7,986.52,0.00,1005.91,0.00,10.00,27.85,190,74
48357,NAKHON PHANOM,\u0e19\u0e04\u0e23\u0e1e\u0e19\u0e21,\u0e19\u0e04\u0e23\u0e1e\u0e19\u0e21,17.41083,104.78250,27.3,07-08-2019,04:00:00,24.9,0.0,989.92,0.00,1006.63,3.50,12.00,31.41,000,87
48358,NAKHON PHANOM AGROMET.,\u0e19\u0e04\u0e23\u0e1e\u0e19\u0e21 \u0e2a\u0e01\u0e29.,\u0e19\u0e04\u0e23\u0e1e\u0e19\u0e21,17.44306,104.77361,26.0,07-08-2019,04:00:00,25.3,0.0,989.41,0.00,1006.86,23.70,10.00,32.20,000,96
48360,NONG BUA LAM PHU,\u0e2b\u0e19\u0e2d\u0e07\u0e1a\u0e31\u0e27\u0e25\u0e33\u0e20\u0e39,\u0e2b\u0e19\u0e2d\u0e07\u0e1a\u0e31\u0e27\u0e25\u0e33\u0e20\u0e39,17.23250,102.42944,26.6,07-08-2019,04:00:00,23.8,3.7,978.76,0.00,1004.49,0.00,11.00,29.54,150,85
48372,SUKHOTHAI*,\u0e2a\u0e38\u0e42\u0e02\u0e17\u0e31\u0e22,\u0e2a\u0e38\u0e42\u0e02\u0e17\u0e31\u0e22,17.10611,99.80000,27.0,07-08-2019,04:00:00,24.1,0.0,1000.92,0.00,1006.71,0.00,10.00,30.02,000,84
48373,SI SAMRONG AGROMET.,\u0e28\u0e23\u0e35\u0e2a\u0e33\u0e42\u0e23\u0e07 \u0e2a\u0e01\u0e29.,\u0e2a\u0e38\u0e42\u0e02\u0e17\u0e31\u0e22,17.16136,99.86167,28.0,07-08-2019,04:00:00,23.9,0.0,998.35,0.00,1004.50,0.00,10.00,29.74,000,79
48374,LOM SAK,\u0e2b\u0e25\u0e48\u0e21\u0e2a\u0e31\u0e01,\u0e40\u0e1e\u0e0a\u0e23\u0e1a\u0e39\u0e23\u0e13\u0e4c,16.77361,101.24944,26.1,07-08-2019,04:00:00,23.0,0.0,991.23,0.00,1007.73,0.00,8.00,28.10,000,83
48375,MAE SOT,\u0e41\u0e21\u0e48\u0e2a\u0e2d\u0e14,\u0e15\u0e32\u0e01,16.65917,98.55083,24.5,07-08-2019,04:00:00,23.8,0.0,983.61,4.60,1006.09,9.00,6.00,29.41,000,96
48376,TAK,\u0e15\u0e32\u0e01,\u0e15\u0e32\u0e01,16.87833,99.14333,27.5,07-08-2019,04:00:00,23.3,0.0,992.98,0.00,1007.35,1.40,8.00,28.53,000,78
48377,BHUMIBOL DAM,\u0e40\u0e02\u0e37\u0e48\u0e2d\u0e19\u0e20\u0e39\u0e21\u0e34\u0e1e\u0e25,\u0e15\u0e32\u0e01,17.24389,99.00250,26.5,07-08-2019,04:00:00,22.3,0.0,990.12,0.00,1006.52,0.00,7.00,26.99,000,78
48378,PHITSANULOK,\u0e1e\u0e34\u0e29\u0e13\u0e38\u0e42\u0e25\u0e01,\u0e1e\u0e34\u0e29\u0e13\u0e38\u0e42\u0e25\u0e01,16.79481,100.27930,27.5,07-08-2019,04:00:00,25.4,0.0,1001.94,0.00,1007.16,0.00,10.00,32.36,000,88
48379,PHETCHABUN,\u0e40\u0e1e\u0e0a\u0e23\u0e1a\u0e39\u0e23\u0e13\u0e4c,\u0e40\u0e1e\u0e0a\u0e23\u0e1a\u0e39\u0e23\u0e13\u0e4c,16.43333,101.15000,26.5,07-08-2019,04:00:00,24.0,0.0,992.93,0.00,1006.13,0.00,10.00,29.89,000,86
48380,KAMPHAENG PHET,\u0e01\u0e33\u0e41\u0e1e\u0e07\u0e40\u0e1e\u0e0a\u0e23,\u0e01\u0e33\u0e41\u0e1e\u0e07\u0e40\u0e1e\u0e0a\u0e23,16.48681,99.52697,26.7,07-08-2019,04:00:00,24.8,3.7,997.40,0.00,1006.72,0.00,10.00,31.35,040,90
48381,KHON KAEN,\u0e02\u0e2d\u0e19\u0e41\u0e01\u0e48\u0e19,\u0e02\u0e2d\u0e19\u0e41\u0e01\u0e48\u0e19,16.46111,102.78972,26.6,07-08-2019,04:00:00,22.1,5.6,984.95,0.00,1006.65,0.00,10.00,26.65,220,77
48382,MAHASARAKHAM,\u0e21\u0e2b\u0e32\u0e2a\u0e32\u0e23\u0e04\u0e32\u0e21,\u0e21\u0e2b\u0e32\u0e2a\u0e32\u0e23\u0e04\u0e32\u0e21,16.24722,103.06805,27.7,07-08-2019,04:00:00,23.5,5.6,989.72,0.00,1007.18,0.00,10.00,28.90,230,78
48383,MUKDAHAN,\u0e21\u0e38\u0e01\u0e14\u0e32\u0e2b\u0e32\u0e23,\u0e21\u0e38\u0e01\u0e14\u0e32\u0e2b\u0e32\u0e23,16.54139,104.72889,26.6,07-08-2019,04:00:00,24.3,0.0,989.88,0.00,1005.71,0.00,10.00,30.34,000,87
48384,THA PHRA AGROMET.,\u0e17\u0e48\u0e32\u0e1e\u0e23\u0e30 \u0e2a\u0e01\u0e29.,\u0e02\u0e2d\u0e19\u0e41\u0e01\u0e48\u0e19,16.33333,102.81667,27.1,07-08-2019,04:00:00,24.8,0.0,986.78,0.00,1005.63,0.00,8.00,31.30,000,87
48385,UMPHANG,\u0e2d\u0e38\u0e49\u0e21\u0e1c\u0e32\u0e07,\u0e15\u0e32\u0e01,16.02472,98.86444,23.2,07-08-2019,04:00:00,22.3,0.0,957.44,0.00,1009.19,2.70,6.00,26.91,000,95
48386,PICHIT AGROMET.,\u0e1e\u0e34\u0e08\u0e34\u0e15\u0e23 \u0e2a\u0e01\u0e29.,\u0e1e\u0e34\u0e08\u0e34\u0e15\u0e23,16.43806,100.29250,26.9,07-08-2019,04:00:00,25.5,5.6,1002.97,0.00,1006.93,0.00,7.00,32.58,080,92
48387,DOI MU SOE AGROMET.,\u0e14\u0e2d\u0e22\u0e21\u0e39\u0e40\u0e0b\u0e2d\u0e23\u0e4c \u0e2a\u0e01\u0e29.,\u0e15\u0e32\u0e01,16.75000,98.93333,21.4,07-08-2019,04:00:00,20.2,9.3,912.58,0.00,1007.77,2.40,4.00,23.59,230,93
