WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,DewPoint,Rainfall,MaximumTemperature,LandVisibility,StationPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,43,08-06-2019,19:00:00,0.00,19.9,0.00,35.3,10.00,983.59,5.6,34.3,23.21,210,1003.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,62,08-06-2019,19:00:00,0.00,23.3,0.00,33.7,10.00,985.75,0.0,31.4,28.59,000,1003.09
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,71,08-06-2019,19:00:00,0.00,25.8,0.00,34.0,10.00,986.57,0.0,31.7,33.24,000,1002.41
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,58,08-06-2019,19:00:00,0.60,21.8,0.00,32.4,10.00,989.29,0.0,31.1,26.11,000,1003.08
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,82,08-06-2019,19:00:00,1.00,26.5,0.00,32.5,8.00,989.37,0.0,30.0,34.64,000,1004.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,86,08-06-2019,19:00:00,0.01,24.4,0.01,33.2,8.00,989.61,3.7,27.0,30.56,200,1004.24
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,68,08-06-2019,19:00:00,0.70,24.5,0.00,32.5,10.00,1001.17,0.0,31.2,30.73,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.14
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,68,08-06-2019,19:00:00,0.00,24.0,0.00,33.6,10.00,996.30,0.0,30.6,29.81,000,1004.14
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,71,08-06-2019,19:00:00,6.60,24.3,0.00,33.7,6.00,1003.67,9.3,30.0,30.31,220,1004.76
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,79,08-06-2019,19:00:00,18.10,23.9,0.00,33.0,8.00,990.25,0.0,28.0,29.74,000,1004.86
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,08-06-2019,19:00:00,18.80,19.5,0.00,23.1,.05,872.45,7.4,19.8,22.62,280,1007.35
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,69,08-06-2019,19:00:00,0.90,23.7,0.00,34.2,10.00,999.07,0.0,30.1,29.39,000,1004.87
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,73,08-06-2019,19:00:00,6.50,24.8,0.00,33.4,8.00,1004.75,0.0,30.2,31.27,000,1005.54
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,75,08-06-2019,19:00:00,1.60,24.5,0.00,31.0,10.00,1006.25,7.4,29.4,30.80,210,1006.69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,90,08-06-2019,19:00:00,62.00,25.0,0.00,28.5,4.00,994.54,0.0,26.7,31.63,000,1005.84
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,96,08-06-2019,19:00:00,17.50,25.0,14.40,33.2,10.00,1004.64,0.0,25.7,31.63,000,1005.66
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,71,08-06-2019,19:00:00,5.70,24.3,0.00,33.0,9.00,1003.32,0.0,30.0,30.31,000,1005.12
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,93,08-06-2019,19:00:00,3.40,25.7,0.50,31.7,7.00,1004.52,0.0,27.0,33.06,000,1005.29
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,78,08-06-2019,19:00:00,5.80,24.1,0.01,32.7,10.00,1005.37,7.4,28.3,30.04,210,1006.07
