WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,WindDirection,AirTemperature,MeanSeaLevelPressure,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,8.00,08-16-2019,01:00:00,0.0,24.4,30.59,0.00,89,000,26.3,1005.01,974.19,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,.10,08-16-2019,01:00:00,22.2,19.4,22.51,0.00,100,300,19.4,1003.30,842.92,22.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-16-2019,01:00:00,5.6,22.9,27.94,0.00,91,240,24.4,1004.27,960.60,6.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,7.00,08-16-2019,01:00:00,0.0,23.1,28.18,0.20,96,000,23.8,1004.38,958.71,5.50
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,4.00,08-16-2019,01:00:00,0.0,23.6,29.04,0.70,97,000,24.0,1006.17,968.36,21.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.00,08-16-2019,01:00:00,0.0,24.4,30.60,0.80,95,000,25.3,1005.53,978.78,13.40
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,14.00,08-16-2019,01:00:00,7.4,23.1,28.24,0.00,78,180,27.2,1004.96,983.31,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-16-2019,01:00:00,0.0,24.1,30.07,0.00,93,000,25.3,1006.81,982.64,0.80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-16-2019,01:00:00,0.0,22.6,27.41,0.00,80,000,26.3,1004.92,970.52,0.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-16-2019,01:00:00,0.0,24.5,30.72,0.00,87,000,26.8,1004.64,977.22,0.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-16-2019,01:00:00,0.0,23.3,28.54,0.00,84,000,26.2,1003.67,970.23,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.00,08-16-2019,01:00:00,0.0,23.5,28.92,0.01,91,000,25.1,1004.81,986.26,0.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,6.00,08-16-2019,01:00:00,0.0,23.6,29.15,0.10,95,000,24.5,1005.36,982.43,11.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.00,08-16-2019,01:00:00,0.0,22.8,27.76,0.00,93,000,24.0,1005.35,975.28,9.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-16-2019,01:00:00,0.0,24.8,31.38,0.00,93,000,26.0,1004.61,969.18,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,08-16-2019,01:00:00,0.0,24.9,31.49,0.00,93,000,26.2,1002.92,973.32,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,08-16-2019,01:00:00,0.0,24.5,30.72,0.00,82,000,27.8,1004.40,997.13,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10.00,08-16-2019,01:00:00,3.7,26.0,33.70,0.00,88,170,28.3,1002.69,982.98,8.40
48353,LOEI,เลย,เลย,17.45000,101.73333,12.00,08-16-2019,01:00:00,0.0,25.2,32.05,0.00,89,000,27.2,1003.43,974.93,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-16-2019,01:00:00,5.6,24.5,30.67,0.40,85,170,27.2,1003.47,983.40,0.40
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-16-2019,01:00:00,0.0,24.2,30.17,0.00,93,000,25.5,1005.44,983.66,4.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-16-2019,01:00:00,3.7,24.9,31.41,0.00,92,170,26.3,1003.19,983.75,7.30
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,08-16-2019,01:00:00,0.0,23.6,29.18,1.50,92,000,25.1,1005.05,988.24,9.90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-16-2019,01:00:00,0.0,24.1,30.03,12.30,97,000,24.7,1005.15,987.65,55.90
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-16-2019,01:00:00,0.0,24.3,30.30,0.00,90,000,26.0,1002.54,976.81,0.80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-16-2019,01:00:00,5.6,24.4,30.56,0.00,81,250,28.0,1004.74,998.99,0.20
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-16-2019,01:00:00,0.0,25.3,32.22,0.00,82,000,28.7,1004.20,998.06,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,08-16-2019,01:00:00,0.0,24.1,30.02,0.00,84,000,27.0,1005.32,988.91,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,08-16-2019,01:00:00,18.5,22.2,26.71,0.00,70,260,28.1,1005.76,991.44,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,08-16-2019,01:00:00,0.0,23.1,28.29,0.00,70,000,29.1,1004.01,987.79,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-16-2019,01:00:00,0.0,25.7,33.01,0.00,90,000,27.4,1004.91,999.71,0.30
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-16-2019,01:00:00,0.0,24.6,30.97,0.00,84,000,27.5,1003.71,990.58,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.00,08-16-2019,01:00:00,0.0,25.8,33.21,0.00,90,000,27.5,1004.75,995.47,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,08-16-2019,01:00:00,3.7,25.6,32.77,0.00,92,230,27.0,1003.88,982.27,1.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.00,08-16-2019,01:00:00,5.6,24.1,30.02,0.00,84,230,27.0,1002.76,985.34,5.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-16-2019,01:00:00,0.0,24.6,30.84,0.40,92,000,26.0,1003.90,988.07,1.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-16-2019,01:00:00,0.0,25.3,32.21,0.00,90,000,27.0,1003.17,984.36,6.50
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,08-16-2019,01:00:00,0.0,23.3,28.62,0.00,95,000,24.2,1006.80,955.34,7.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-16-2019,01:00:00,0.0,25.4,32.53,0.00,90,000,27.3,1004.87,1000.92,0.00
