WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,WindDirection,AirTemperature,MeanSeaLevelPressure,StationPressure,Rainfall24Hr
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.00,08-16-2019,01:00:00,7.4,20.3,23.82,0.00,94,240,21.4,1007.39,912.24,0.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.00,08-16-2019,01:00:00,0.0,25.5,32.59,0.00,96,000,26.2,1004.43,988.45,3.30
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,8.00,08-16-2019,01:00:00,0.0,24.3,30.39,0.00,84,000,27.2,1004.53,1000.50,0.70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,08-16-2019,01:00:00,0.0,25.4,32.36,0.00,88,000,27.5,1006.06,995.41,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.00,08-16-2019,01:00:00,0.0,24.1,30.02,0.00,84,000,27.0,1005.76,1003.83,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-16-2019,01:00:00,0.0,23.7,29.22,0.00,76,000,28.3,1005.03,984.31,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-16-2019,01:00:00,0.0,25.7,32.94,0.00,94,000,26.8,1004.54,986.91,15.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-16-2019,01:00:00,5.6,25.4,32.36,0.00,88,200,27.5,1003.84,987.76,0.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-16-2019,01:00:00,3.7,23.8,29.44,0.00,79,180,27.7,1005.33,991.36,0.01
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.00,08-16-2019,01:00:00,0.0,24.4,30.56,0.00,86,000,27.0,1006.19,991.37,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,08-16-2019,01:00:00,0.0,25.2,32.12,0.00,86,000,27.8,1005.54,990.93,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,08-16-2019,01:00:00,0.0,26.2,34.11,0.00,95,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.1,1005.20,1002.19,12.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,08-16-2019,01:00:00,0.0,25.2,32.13,0.00,90,000,27.1,1005.01,997.08,0.01
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,08-16-2019,01:00:00,11.1,26.5,34.62,0.00,85,180,29.3,1006.02,1004.92,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-16-2019,01:00:00,0.0,22.9,27.88,0.00,78,000,27.0,1006.07,991.40,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-16-2019,01:00:00,9.3,20.9,24.77,51.80,99,200,21.1,1007.09,872.76,54.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-16-2019,01:00:00,3.7,26.3,34.19,0.00,92,190,27.7,1005.58,999.72,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-16-2019,01:00:00,9.3,25.4,32.46,0.00,81,250,29.1,1006.24,1005.44,0.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-16-2019,01:00:00,11.1,25.1,31.85,0.00,77,230,29.5,1006.55,1006.11,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-16-2019,01:00:00,0.0,24.6,30.84,0.00,92,000,26.0,1007.87,996.52,0.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-16-2019,01:00:00,0.0,25.0,31.59,0.00,83,000,28.1,1005.86,1004.85,0.30
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-16-2019,01:00:00,0.0,25.1,31.79,0.00,83,000,28.2,1005.93,1004.11,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,08-16-2019,01:00:00,0.0,23.9,29.63,0.00,79,000,27.8,1005.76,1005.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-16-2019,01:00:00,9.3,24.9,31.57,0.00,80,210,28.8,1006.28,1005.58,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-16-2019,01:00:00,3.7,25.7,32.96,0.20,85,170,28.5,1006.18,1005.49,1.60
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-16-2019,01:00:00,9.3,23.7,29.33,0.00,75,240,28.5,1005.21,984.20,0.40
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,08-16-2019,01:00:00,0.0,24.8,31.33,0.00,86,000,27.4,1005.85,989.47,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-16-2019,01:00:00,0.0,24.0,29.90,0.00,80,000,27.8,1005.69,983.92,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,08-16-2019,01:00:00,14.8,23.5,28.97,0.00,86,240,26.0,1006.26,962.92,0.40
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-16-2019,01:00:00,0.0,24.4,30.56,0.00,86,000,27.0,1005.55,985.03,11.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,08-16-2019,01:00:00,14.8,25.6,32.86,0.00,93,200,26.9,1006.62,985.80,0.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-16-2019,01:00:00,3.7,25.8,33.12,0.00,86,330,28.3,1006.50,1006.07,3.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,08-16-2019,01:00:00,0.0,25.5,32.61,0.00,90,000,27.2,1006.52,1005.11,0.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-16-2019,01:00:00,0.0,25.4,32.49,0.00,91,000,27.0,1006.82,1001.88,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-16-2019,01:00:00,0.0,23.3,28.62,0.00,73,000,28.7,1006.30,1003.03,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-16-2019,01:00:00,1.9,24.5,30.67,0.00,85,230,27.2,1006.53,1005.43,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-16-2019,01:00:00,5.6,26.3,34.16,0.00,83,310,29.5,1006.56,1006.26,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-16-2019,01:00:00,0.0,26.9,35.46,0.00,89,000,29.0,1006.65,1006.17,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-16-2019,01:00:00,14.8,26.0,33.58,0.00,81,250,29.5,1006.49,1005.10,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-16-2019,01:00:00,3.7,25.1,31.79,0.00,92,180,26.5,1008.17,1000.15,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-16-2019,01:00:00,0.0,26.4,34.32,0.00,88,000,28.6,1006.37,1006.09,0.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-16-2019,01:00:00,5.6,25.5,32.55,0.00,81,200,29.0,1006.58,1003.47,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-16-2019,01:00:00,11.1,25.2,32.02,0.00,82,230,28.6,1006.91,1000.01,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-16-2019,01:00:00,0.0,24.6,30.89,0.00,84,000,27.6,1006.29,1000.71,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,08-16-2019,01:00:00,0.0,24.4,30.59,0.00,89,000,26.3,1007.19,1005.93,5.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-16-2019,01:00:00,5.6,23.8,29.52,0.00,80,220,27.6,1006.69,1006.26,16.80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,08-16-2019,01:00:00,0.0,23.6,29.11,0.00,89,000,25.5,1007.40,995.08,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-16-2019,01:00:00,0.0,23.6,29.11,0.00,77,000,28.1,1007.28,1006.57,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-16-2019,01:00:00,11.1,25.4,32.46,0.00,81,220,29.1,1006.78,1004.36,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-16-2019,01:00:00,9.3,26.3,34.24,0.00,87,250,28.7,1007.56,1007.05,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,08-16-2019,01:00:00,3.7,25.6,32.79,0.00,83,260,28.7,1006.96,1001.84,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-16-2019,01:00:00,0.0,26.0,33.61,0.00,87,000,28.4,1007.69,1007.28,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-16-2019,01:00:00,3.7,26.1,33.78,0.00,92,150,27.5,1007.74,1004.97,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-16-2019,01:00:00,0.0,23.2,28.51,0.00,79,000,27.2,1008.60,1007.81,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.00,08-16-2019,01:00:00,5.6,26.3,34.27,2.20,93,270,27.6,1007.92,1007.47,2.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,08-16-2019,01:00:00,0.0,24.6,31.00,0.00,93,000,25.8,1008.68,1007.99,4.80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-16-2019,01:00:00,0.0,25.0,31.76,0.40,93,000,26.2,1009.05,1007.52,0.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-16-2019,01:00:00,7.4,24.5,30.81,18.30,93,180,25.7,1009.19,1008.27,36.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-16-2019,01:00:00,0.0,24.8,31.35,0.00,90,000,26.7,1009.21,1008.52,5.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,6.00,08-16-2019,01:00:00,5.6,24.9,31.49,0.30,98,190,25.2,1009.67,1008.86,4.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-16-2019,01:00:00,0.0,24.3,30.44,0.00,93,000,25.5,1008.74,1008.10,2.60
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-16-2019,01:00:00,0.0,24.3,30.42,0.00,95,000,25.2,1008.77,1008.36,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-16-2019,01:00:00,0.0,23.6,29.11,0.00,89,000,25.5,1010.85,1006.60,3.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-16-2019,01:00:00,0.0,23.9,29.66,0.00,98,000,24.2,1009.74,1008.11,9.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,08-16-2019,01:00:00,0.0,23.8,29.41,0.00,96,000,24.5,1009.93,1006.41,2.40
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-16-2019,01:00:00,0.0,22.3,26.88,0.00,80,000,26.0,1009.74,1008.38,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-16-2019,01:00:00,14.8,24.6,30.97,5.00,89,240,26.5,1010.24,1009.35,18.70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-16-2019,01:00:00,0.0,24.6,30.93,0.00,98,000,24.9,1009.39,1005.80,14.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-16-2019,01:00:00,0.0,23.7,29.33,1.00,86,000,26.2,1009.52,1009.09,16.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,7.00,08-16-2019,01:00:00,0.0,23.8,29.44,2.00,79,000,27.7,1009.44,1008.45,28.30
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-16-2019,01:00:00,22.2,25.6,32.84,0.00,85,260,28.3,1009.12,1008.31,43.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-16-2019,01:00:00,0.0,23.4,28.78,0.00,97,000,24.0,1009.86,1008.03,39.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-16-2019,01:00:00,3.7,23.1,28.33,0.00,87,250,25.5,1009.63,1008.87,4.60
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-16-2019,01:00:00,11.1,23.6,29.10,0.00,91,240,25.2,1009.75,1005.72,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-16-2019,01:00:00,0.0,23.9,29.70,1.00,93,000,25.1,1010.24,1009.55,17.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-16-2019,01:00:00,0.0,23.8,29.54,0.00,92,000,25.3,1009.65,1008.53,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-16-2019,01:00:00,0.0,23.4,28.79,0.00,95,000,24.3,1009.91,1006.96,15.00
