WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,RelativeHumidity,WindDirection,Rainfall,WindSpeed
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.5,09-22-2019,22:00:00,25.0,29.00,977.79,1013.66,0.00,6.00,92,000,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,21.9,09-22-2019,22:00:00,23.7,26.25,983.44,1013.61,0.00,7.00,90,000,0.00,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.1,09-22-2019,22:00:00,27.5,28.26,1005.83,1013.17,0.00,9.00,77,000,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,22.9,09-22-2019,22:00:00,28.0,27.85,994.11,1014.07,0.00,7.00,74,110,0.00,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,23.0,09-22-2019,22:00:00,25.5,28.07,984.52,1013.46,0.00,8.00,86,000,0.00,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.6,09-22-2019,22:00:00,27.0,27.36,993.95,1014.25,0.00,10.00,77,090,0.00,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.1,09-22-2019,22:00:00,24.9,26.52,992.88,1014.91,0.00,10.00,84,150,0.00,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.8,09-22-2019,22:00:00,25.4,26.11,994.68,1014.40,0.00,10.00,81,120,0.00,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,18.7,09-22-2019,22:00:00,26.5,21.53,997.86,1014.75,0.00,10.00,62,000,0.00,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.9,09-22-2019,22:00:00,24.0,24.78,997.54,1015.26,0.00,10.00,83,000,0.00,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.0,09-22-2019,22:00:00,25.4,28.15,987.57,1013.63,0.00,9.00,87,000,0.00,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.3,09-22-2019,22:00:00,25.9,32.29,1007.30,1013.14,4.50,10.00,97,000,0.00,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.6,09-22-2019,22:00:00,26.0,30.84,1006.39,1012.63,0.00,10.00,92,000,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.1,09-22-2019,22:00:00,27.5,28.26,997.04,1013.55,0.00,10.00,77,000,0.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.6,09-22-2019,22:00:00,27.0,27.36,989.06,1011.47,0.00,10.00,77,000,0.00,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.6,09-22-2019,22:00:00,24.9,29.08,999.61,1014.19,10.30,6.00,92,000,5.00,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.0,09-22-2019,22:00:00,26.5,29.89,997.09,1013.61,1.60,6.00,86,000,0.50,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.3,09-22-2019,22:00:00,25.8,30.46,1007.81,1013.09,0.00,10.00,92,000,0.00,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.1,09-22-2019,22:00:00,26.3,30.05,998.55,1011.84,0.00,10.00,88,000,0.00,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.6,09-22-2019,22:00:00,24.8,29.16,1003.86,1013.31,17.30,10.00,93,000,10.00,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.1,09-22-2019,22:00:00,26.1,26.55,992.07,1013.97,1.70,7.00,79,090,0.00,13.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.4,09-22-2019,22:00:00,26.8,28.84,996.36,1013.99,0.00,10.00,82,030,0.00,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,20.6,09-22-2019,22:00:00,25.6,24.20,998.06,1014.07,0.00,10.00,74,030,0.00,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.1,09-22-2019,22:00:00,25.7,30.01,993.90,1012.97,0.00,8.00,91,000,0.00,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,09-22-2019,22:00:00,23.9,27.08,960.30,1012.07,21.60,6.00,91,000,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,09-22-2019,22:00:00,26.0,31.38,1008.63,1012.63,33.80,6.00,93,000,0.00,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.1,09-22-2019,22:00:00,21.2,23.52,918.31,1014.17,0.50,2.00,94,030,0.50,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,22.8,09-22-2019,22:00:00,26.5,27.77,997.55,1013.67,0.00,8.00,80,060,0.00,9.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.1,09-22-2019,22:00:00,25.8,29.93,1008.98,1013.06,17.60,9.00,90,210,0.00,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.0,09-22-2019,22:00:00,27.7,28.10,1002.72,1013.43,0.00,6.00,76,060,0.00,7.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.8,09-22-2019,22:00:00,27.0,29.48,1011.61,1013.55,9.20,8.00,83,000,0.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.2,09-22-2019,22:00:00,27.8,26.70,992.18,1013.10,2.60,10.00,71,060,0.00,9.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,20.8,09-22-2019,22:00:00,26.4,24.53,995.83,1013.64,0.00,10.00,71,070,0.00,9.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.4,09-22-2019,22:00:00,26.8,25.46,997.16,1013.43,0.00,10.00,72,100,0.00,11.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.5,09-22-2019,22:00:00,25.8,28.87,992.83,1006.92,17.30,10.00,87,000,0.00,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.6,09-22-2019,22:00:00,25.5,29.11,998.82,1013.82,0.00,7.00,89,000,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.2,09-22-2019,22:00:00,25.5,32.07,999.01,1013.85,7.70,6.00,98,000,6.40,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.2,09-22-2019,22:00:00,27.2,32.05,1009.94,1012.97,6.60,8.00,89,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.01,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.8,09-22-2019,22:00:00,26.7,31.35,1004.80,1012.81,0.01,8.00,90,120,0.01,3.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.3,09-22-2019,22:00:00,25.8,30.46,1011.47,1012.59,11.50,7.00,92,120,0.00,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.1,09-22-2019,22:00:00,26.5,31.79,999.26,1014.07,4.40,8.00,92,000,0.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.6,09-22-2019,22:00:00,18.8,21.46,877.26,1013.40,15.00,.10,99,150,0.80,11.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.9,09-22-2019,22:00:00,26.4,29.70,1007.04,1012.96,0.00,8.00,86,000,0.00,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.3,09-22-2019,22:00:00,25.0,30.32,1011.70,1012.51,7.80,8.00,96,120,7.00,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.8,09-22-2019,22:00:00,25.0,29.52,1011.76,1012.21,3.20,8.00,93,150,0.30,3.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.6,09-22-2019,22:00:00,24.8,29.16,1002.00,1013.46,38.00,4.00,93,000,0.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.7,09-22-2019,22:00:00,26.0,31.11,1011.70,1012.72,25.20,10.00,93,000,0.20,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.1,09-22-2019,22:00:00,26.1,29.95,1010.67,1012.51,9.90,7.00,89,000,0.00,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.7,09-22-2019,22:00:00,25.0,31.12,1012.00,1012.77,32.80,5.00,98,000,6.60,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.8,09-22-2019,22:00:00,24.7,29.51,1011.54,1012.25,2.00,8.00,95,350,0.60,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.3,09-22-2019,22:00:00,25.0,30.32,1011.75,1012.47,38.90,6.00,96,090,5.70,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.1,09-22-2019,22:00:00,24.0,28.27,992.73,1014.24,10.40,6.00,95,110,5.50,9.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.5,09-22-2019,22:00:00,25.3,29.01,996.86,1013.79,23.00,6.00,90,000,0.80,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.2,09-22-2019,22:00:00,25.0,28.48,997.43,1014.08,27.70,5.00,90,050,2.00,11.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.0,09-22-2019,22:00:00,25.6,29.82,991.81,1013.92,4.80,10.00,91,000,0.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.4,09-22-2019,22:00:00,23.5,25.43,968.88,1012.86,9.10,8.00,88,060,0.00,5.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,09-22-2019,22:00:00,25.2,28.83,992.39,1013.20,31.40,10.00,90,000,0.00,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.5,09-22-2019,22:00:00,24.5,30.73,994.30,1015.47,1.80,7.00,100,090,0.80,3.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.5,09-22-2019,22:00:00,25.4,30.79,1011.83,1012.27,97.20,10.00,95,020,0.00,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.2,09-22-2019,22:00:00,24.5,30.20,1011.34,1012.78,93.80,6.00,98,050,0.80,3.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.8,09-22-2019,22:00:00,24.0,29.56,1008.72,1013.74,17.20,7.00,99,000,0.01,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.3,09-22-2019,22:00:00,25.0,30.32,1009.80,1013.14,19.30,3.00,96,000,2.50,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.9,09-22-2019,22:00:00,25.1,31.58,1011.61,1012.73,8.60,8.00,99,120,0.30,7.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.1,09-22-2019,22:00:00,25.8,29.93,1011.90,1012.20,1.80,8.00,90,320,0.10,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.5,09-22-2019,22:00:00,25.5,30.71,1011.51,1012.00,0.90,8.00,94,290,0.30,1.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.4,09-22-2019,22:00:00,24.4,30.54,1011.25,1012.68,7.80,5.00,100,090,4.20,3.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.1,09-22-2019,22:00:00,24.4,30.02,1006.44,1014.58,8.00,5.00,98,000,1.60,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.6,09-22-2019,22:00:00,26.0,30.84,1011.71,1012.00,83.80,10.00,92,000,0.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.6,09-22-2019,22:00:00,26.8,31.00,1008.93,1012.08,19.50,10.00,88,000,0.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.3,09-22-2019,22:00:00,26.5,30.43,1005.29,1012.28,4.20,10.00,88,210,0.00,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.8,09-22-2019,22:00:00,24.5,29.41,1007.03,1012.70,125.10,7.00,96,000,2.60,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.3,09-22-2019,22:00:00,25.0,30.32,1011.70,1012.98,82.70,8.00,96,320,0.00,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.7,09-22-2019,22:00:00,25.5,29.38,1011.77,1012.20,7.10,11.00,90,000,0.00,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.9,09-22-2019,22:00:00,24.3,29.57,1000.50,1012.94,14.70,10.00,97,000,0.30,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.1,09-22-2019,22:00:00,24.7,30.03,1011.51,1012.23,37.70,10.00,97,000,0.00,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.5,09-22-2019,22:00:00,25.0,29.00,1010.32,1012.79,44.00,5.00,92,200,36.00,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.0,09-22-2019,22:00:00,25.6,29.82,1012.49,1013.02,17.00,6.00,91,230,2.50,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.2,09-22-2019,22:00:00,24.6,30.12,1007.27,1012.50,10.00,7.00,97,000,0.30,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.6,09-22-2019,22:00:00,24.3,29.05,1013.18,1013.60,28.50,6.00,96,000,7.80,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.1,09-22-2019,22:00:00,24.5,29.93,1010.27,1013.08,35.50,8.00,97,000,3.10,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.1,09-22-2019,22:00:00,24.1,28.19,1011.60,1012.40,34.50,10.00,94,000,0.01,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.0,09-22-2019,22:00:00,25.0,29.79,1012.69,1013.15,8.80,7.00,94,000,0.20,0.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.7,09-22-2019,22:00:00,25.1,31.04,1012.03,1012.72,19.60,7.00,97,270,0.01,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.8,09-22-2019,22:00:00,25.0,29.52,1010.26,1011.80,10.00,7.00,93,000,0.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.6,09-22-2019,22:00:00,26.5,29.08,1011.65,1012.57,0.00,10.00,84,030,0.00,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.1,09-22-2019,22:00:00,27.0,31.94,1012.79,1013.48,0.50,7.00,90,000,0.00,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.3,09-22-2019,22:00:00,23.9,28.61,1013.11,1013.92,14.30,6.00,97,000,5.80,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.3,09-22-2019,22:00:00,24.7,30.30,1011.72,1012.36,54.20,7.00,97,000,3.00,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.8,09-22-2019,22:00:00,25.5,31.25,1012.06,1012.47,0.00,6.00,96,000,0.00,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,09-22-2019,22:00:00,24.4,28.97,1011.32,1015.60,11.50,4.00,95,000,11.50,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.4,09-22-2019,22:00:00,24.6,28.81,1010.46,1012.09,10.40,10.00,93,000,4.80,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,09-22-2019,22:00:00,24.2,28.88,1009.00,1012.52,2.50,6.00,96,000,2.20,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.9,09-22-2019,22:00:00,25.8,31.55,1011.84,1013.21,0.20,7.00,95,000,0.00,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.0,09-22-2019,22:00:00,25.5,29.91,1011.56,1012.45,0.00,10.00,92,000,0.00,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.0,09-22-2019,22:00:00,24.7,29.77,1009.12,1012.73,3.60,10.00,96,030,1.80,5.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.6,09-22-2019,22:00:00,26.0,30.84,1011.56,1012.00,2.60,8.00,92,000,0.40,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.7,09-22-2019,22:00:00,25.3,31.14,1010.80,1011.80,17.60,7.00,97,000,1.40,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.4,09-22-2019,22:00:00,26.4,30.51,1011.37,1012.19,5.40,8.00,89,000,0.00,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.1,09-22-2019,22:00:00,25.8,31.82,1010.41,1012.24,32.00,4.00,96,000,0.10,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.2,09-22-2019,22:00:00,27.8,32.12,1011.54,1012.29,0.00,7.00,86,030,0.00,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.1,09-22-2019,22:00:00,27.0,30.02,1008.45,1012.47,0.00,7.00,84,990,0.00,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.8,09-22-2019,22:00:00,25.5,31.25,1011.99,1012.68,3.10,3.00,96,000,0.00,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.4,09-22-2019,22:00:00,27.1,30.48,1010.70,1011.82,0.00,8.00,85,000,0.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.8,09-22-2019,22:00:00,25.5,31.25,1009.34,1012.29,8.00,10.00,96,000,0.00,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.8,09-22-2019,22:00:00,27.1,33.26,1011.43,1012.12,0.00,5.00,93,000,0.00,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.6,09-22-2019,22:00:00,24.9,29.08,1008.62,1012.80,20.20,5.00,92,000,0.00,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.3,09-22-2019,22:00:00,27.3,32.25,1010.94,1011.53,2.30,7.00,89,000,0.00,0.0
