WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,RelativeHumidity,WindDirection,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.5,09-22-2019,22:00:00,25.0,29.00,982.28,1013.50,0.00,10.00,92,000,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,14.0,09-22-2019,22:00:00,18.4,16.01,850.86,1013.33,0.00,8.00,76,150,0.00,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.4,09-22-2019,22:00:00,24.8,23.88,970.22,1014.27,0.00,10.00,76,040,0.00,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,20.1,09-22-2019,22:00:00,23.8,23.50,968.21,1014.34,0.00,12.00,80,000,0.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.2,09-22-2019,22:00:00,25.0,26.69,976.40,1014.39,0.00,6.00,84,000,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.7,09-22-2019,22:00:00,25.2,27.54,969.04,1014.51,4.20,10.00,86,000,0.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.3,09-22-2019,22:00:00,26.0,30.30,987.40,1014.32,0.00,8.00,90,000,0.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.2,09-22-2019,22:00:00,25.2,30.15,992.20,1014.20,0.00,7.00,94,130,0.00,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,09-22-2019,22:00:00,26.4,28.11,989.62,1013.87,0.00,8.00,82,000,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.1,09-22-2019,22:00:00,26.3,28.19,978.90,1013.60,0.20,10.00,82,000,0.00,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.4,09-22-2019,22:00:00,24.8,30.48,986.02,1013.87,14.00,10.00,97,000,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.5,09-22-2019,22:00:00,26.2,30.67,979.29,1013.04,0.00,10.00,90,000,0.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.1,09-22-2019,22:00:00,27.5,31.80,994.37,1012.92,0.00,7.00,87,000,0.00,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.8,09-22-2019,22:00:00,26.8,31.27,990.72,1013.66,14.40,10.00,89,000,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.1,09-22-2019,22:00:00,26.4,31.88,983.54,1013.60,0.00,10.00,93,000,0.00,0.0
