WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindDirection,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,AirTemperature,WindSpeed,LandVisibility
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.4,09-18-2019,10:00:00,2.20,190,1010.62,0.00,30.57,76,1009.09,29.0,5.6,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,09-18-2019,10:00:00,35.20,210,1012.17,0.00,29.03,76,1011.26,28.2,7.4,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.9,09-18-2019,10:00:00,4.40,270,1011.35,0.00,31.53,78,1010.66,29.2,7.4,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.2,09-18-2019,10:00:00,5.70,240,1011.69,0.00,30.15,78,1010.89,28.5,3.7,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.0,09-18-2019,10:00:00,0.00,130,1011.12,0.00,28.15,64,1010.49,30.6,5.6,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,26.4,09-18-2019,10:00:00,17.40,000,1010.99,0.00,34.33,76,1010.59,31.1,0.0,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.9,09-18-2019,10:00:00,3.40,250,1013.30,0.00,29.74,79,1009.08,28.0,9.3,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.3,09-18-2019,10:00:00,8.40,210,1012.06,0.00,28.53,78,1010.45,27.5,9.3,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.6,09-18-2019,10:00:00,2.20,270,1011.89,0.00,30.97,84,1008.40,27.5,5.6,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.3,09-18-2019,10:00:00,0.00,220,1011.48,0.00,28.54,72,1010.13,28.8,5.6,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.4,09-18-2019,10:00:00,16.10,000,1011.36,1.00,32.36,88,1010.48,27.5,0.0,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.7,09-18-2019,10:00:00,29.60,000,1012.30,29.00,31.14,97,1008.70,25.3,0.0,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.0,09-18-2019,10:00:00,9.80,000,1011.72,4.60,29.91,92,1011.28,25.5,0.0,8.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.3,09-18-2019,10:00:00,53.50,000,1011.35,17.30,30.44,93,1010.35,25.5,0.0,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.8,09-18-2019,10:00:00,23.60,000,1012.33,20.60,31.38,93,1011.51,26.0,0.0,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.2,09-18-2019,10:00:00,0.20,270,1012.38,0.20,30.23,83,1010.56,27.4,13.0,8.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.2,09-18-2019,10:00:00,0.70,240,1011.87,0.00,28.37,71,1011.12,29.0,5.6,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.2,09-18-2019,10:00:00,0.01,290,1011.80,0.00,30.14,70,1007.83,30.2,3.7,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.6,09-18-2019,10:00:00,0.00,000,1012.01,0.00,30.85,77,1011.33,29.0,0.0,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.1,09-18-2019,10:00:00,6.80,000,1011.72,0.00,29.94,70,1010.61,30.1,0.0,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.1,09-18-2019,10:00:00,0.00,040,1011.93,0.00,31.77,80,1009.01,28.9,3.7,11.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.9,09-18-2019,10:00:00,0.00,000,1009.51,0.00,29.63,64,1008.83,31.5,0.0,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.8,09-18-2019,10:00:00,0.00,000,1012.28,0.00,31.38,80,1008.16,28.7,0.0,5.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.4,09-18-2019,10:00:00,0.00,000,1011.73,0.00,30.56,81,1011.14,28.0,0.0,10.00
