WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,DewPoint,StationPressure,VaporPressure,Rainfall24Hr
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-26-2019,13:00:00,000,10.00,0.40,27.5,84,1005.69,24.6,989.31,30.97,1.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,08-26-2019,13:00:00,240,10.00,0.00,27.8,77,1004.31,23.4,982.11,28.82,16.10
48376,TAK,ตาก,ตาก,16.87833,99.14333,13.0,08-26-2019,13:00:00,260,10.00,0.00,31.7,59,1005.23,22.7,991.09,27.52,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-26-2019,13:00:00,000,12.00,0.00,33.8,55,1003.94,23.5,987.97,28.88,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,08-26-2019,13:00:00,170,10.00,0.00,30.7,74,1005.13,25.5,999.97,32.59,4.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,9.3,08-26-2019,13:00:00,190,12.00,0.00,29.8,79,1003.87,25.9,990.83,33.33,3.80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,08-26-2019,13:00:00,270,13.00,0.00,32.0,64,1004.64,24.3,995.49,30.36,1.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,08-26-2019,13:00:00,240,10.00,0.00,29.4,72,1004.83,23.9,983.36,29.68,6.30
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,14.8,08-26-2019,13:00:00,230,10.00,0.00,31.0,69,1004.25,24.6,987.02,30.90,13.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,08-26-2019,13:00:00,200,12.00,0.00,28.5,78,1004.53,24.3,988.81,30.42,72.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,08-26-2019,13:00:00,170,10.00,0.00,29.8,72,1003.93,24.2,985.27,30.19,2.70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-26-2019,13:00:00,000,10.00,1.80,27.5,81,1007.08,23.9,956.15,29.60,16.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,14.8,08-26-2019,13:00:00,190,10.00,0.00,31.0,71,1004.91,25.2,1001.02,32.05,0.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,08-26-2019,13:00:00,230,.50,0.10,23.4,87,1005.92,21.1,911.50,25.03,10.90
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.4,08-26-2019,13:00:00,270,8.00,0.00,30.0,78,1004.65,25.6,988.86,32.88,69.30
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.6,08-26-2019,13:00:00,230,10.00,0.00,30.5,71,1005.65,24.7,1001.66,31.03,6.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-26-2019,13:00:00,000,10.00,0.00,31.0,69,1006.49,24.6,995.97,30.90,0.70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,08-26-2019,13:00:00,180,9.00,0.00,30.8,69,1005.60,24.4,1003.70,30.49,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,08-26-2019,13:00:00,250,10.00,0.00,30.1,66,1004.76,23.0,984.16,28.01,3.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,14.8,08-26-2019,13:00:00,280,11.00,0.00,29.4,75,1004.69,24.5,987.21,30.80,112.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,08-26-2019,13:00:00,200,10.00,0.00,29.7,73,1004.52,24.2,988.54,30.27,106.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.3,08-26-2019,13:00:00,220,10.00,0.01,28.5,75,1006.00,23.6,992.05,29.05,8.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.7,08-26-2019,13:00:00,220,10.00,0.00,29.2,76,1006.48,24.6,991.77,30.96,8.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,08-26-2019,13:00:00,200,8.00,0.50,27.8,88,1005.88,25.5,991.26,32.68,8.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-26-2019,13:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,0.01,30.8,71,1005.75,25.0,1002.77,31.64,14.90
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,9.3,08-26-2019,13:00:00,180,10.00,0.00,30.5,65,1005.17,23.2,997.33,28.50,0.20
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.4,08-26-2019,13:00:00,210,9.00,0.00,31.3,65,1006.23,23.8,1005.14,29.52,1.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,08-26-2019,13:00:00,100,9.00,0.00,29.9,86,1004.43,27.3,989.92,36.22,9.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.3,08-26-2019,13:00:00,280,.05,0.20,19.5,100,1007.66,19.5,872.59,22.65,74.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-26-2019,13:00:00,000,10.00,0.00,29.9,79,1005.93,25.8,1000.11,33.25,14.10
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.3,08-26-2019,13:00:00,230,8.00,0.00,31.0,66,1006.63,24.0,1005.84,29.76,12.30
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,5.6,08-26-2019,13:00:00,240,10.00,0.00,31.5,66,1006.70,24.4,1006.26,30.49,5.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,5.6,08-26-2019,13:00:00,350,7.00,1.20,29.2,73,1007.44,23.9,996.22,29.57,17.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,13.0,08-26-2019,13:00:00,190,12.00,0.00,32.3,63,1006.08,24.3,1005.09,30.40,2.60
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-26-2019,13:00:00,250,8.00,0.00,31.5,64,1006.05,23.7,1004.26,29.35,3.20
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.4,08-26-2019,13:00:00,230,9.00,0.00,30.9,65,1006.28,23.5,1005.53,29.01,1.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,14.8,08-26-2019,13:00:00,220,10.00,0.00,30.5,67,1006.46,23.7,1005.76,29.33,7.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,08-26-2019,13:00:00,240,7.00,0.00,31.5,66,1006.39,24.4,1005.70,30.49,27.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,13.0,08-26-2019,13:00:00,260,10.00,0.00,31.5,59,1005.51,22.6,984.70,27.41,36.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.4,08-26-2019,13:00:00,220,9.00,0.00,30.3,72,1005.49,24.6,988.98,30.91,38.50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,08-26-2019,13:00:00,270,9.00,0.00,30.3,73,1005.97,24.9,989.73,31.48,60.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,08-26-2019,13:00:00,240,10.00,0.00,31.0,63,1005.55,23.0,984.02,28.09,4.30
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,08-26-2019,13:00:00,210,10.00,0.01,27.4,74,1006.38,22.4,963.23,27.03,1.40
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,16.7,08-26-2019,13:00:00,210,10.00,0.00,31.0,60,1005.51,22.2,985.25,26.73,4.80
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,11.1,08-26-2019,13:00:00,260,9.00,0.00,29.3,79,1007.12,25.3,986.46,32.30,4.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,11.1,08-26-2019,13:00:00,240,10.00,0.00,29.8,69,1006.93,23.6,1006.50,29.08,6.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.6,08-26-2019,13:00:00,270,11.00,0.00,30.0,73,1006.86,24.6,1005.46,30.87,47.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.4,08-26-2019,13:00:00,270,8.00,0.00,29.8,74,1006.33,24.7,1001.45,31.03,21.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,08-26-2019,13:00:00,250,12.00,0.01,31.4,66,1006.39,24.3,1003.14,30.28,10.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-26-2019,13:00:00,250,10.00,0.00,30.9,68,1006.69,24.3,1005.60,30.41,3.60
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,08-26-2019,13:00:00,250,10.00,0.00,31.4,63,1006.39,23.5,1006.09,28.87,6.70
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,9.3,08-26-2019,13:00:00,240,10.00,0.00,31.8,61,1006.34,23.4,1005.67,28.82,5.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,9.3,08-26-2019,13:00:00,300,10.00,0.00,32.0,61,1006.16,23.7,1005.68,29.22,5.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.1,08-26-2019,13:00:00,270,10.00,0.00,31.8,60,1006.47,22.9,1005.08,27.99,11.40
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.1,08-26-2019,13:00:00,240,12.00,0.00,28.6,83,1007.03,25.5,1005.36,32.59,2.90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,08-26-2019,13:00:00,230,10.00,0.00,31.0,63,1008.24,23.0,1000.33,28.09,5.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-26-2019,13:00:00,000,10.00,0.00,31.0,63,1007.16,23.0,1006.88,28.09,2.40
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,9.3,08-26-2019,13:00:00,300,10.00,0.30,29.0,68,1007.25,22.4,1004.14,27.03,0.80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,08-26-2019,13:00:00,250,12.00,0.01,28.5,73,1007.61,23.2,1000.70,28.51,4.30
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,14.8,08-26-2019,13:00:00,240,7.00,0.00,31.5,69,1006.31,25.1,1000.80,31.93,11.80
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,20.4,08-26-2019,13:00:00,280,10.00,0.01,29.4,68,1008.49,23.0,999.24,28.04,24.50
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-26-2019,13:00:00,000,14.00,0.00,30.5,69,1007.96,24.2,1006.72,30.18,6.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,9.3,08-26-2019,13:00:00,270,11.00,0.00,29.4,70,1007.23,23.3,1006.80,28.59,7.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-26-2019,13:00:00,000,8.00,0.60,26.7,83,1007.30,23.5,995.03,28.92,6.80
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,08-26-2019,13:00:00,240,9.00,0.40,27.6,82,1007.18,24.3,1006.47,30.34,5.70
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,14.8,08-26-2019,13:00:00,240,10.00,0.01,30.5,59,1007.93,21.6,1005.52,25.80,3.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,11.1,08-26-2019,13:00:00,290,10.00,0.01,29.6,69,1007.88,23.4,1007.37,28.69,0.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.1,08-26-2019,13:00:00,240,14.00,0.00,31.3,55,1007.39,21.2,1002.31,25.14,2.70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.4,08-26-2019,13:00:00,230,8.00,0.00,30.2,70,1007.78,24.0,1007.37,29.86,1.60
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,11.1,08-26-2019,13:00:00,240,8.00,0.40,29.3,83,1007.72,26.1,1004.97,33.74,2.50
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-26-2019,13:00:00,000,8.00,0.70,27.0,84,1007.98,24.1,1007.20,30.02,7.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,11.1,08-26-2019,13:00:00,290,8.00,0.00,29.0,77,1008.06,24.6,1007.60,30.85,13.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,11.1,08-26-2019,13:00:00,280,7.00,1.00,26.7,81,1009.13,23.2,1008.45,28.39,1.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,18.5,08-26-2019,13:00:00,270,8.00,0.20,27.6,73,1009.25,22.3,1007.72,26.86,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,11.1,08-26-2019,13:00:00,290,10.00,1.00,28.1,80,1010.66,24.4,1009.75,30.48,1.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-26-2019,13:00:00,000,10.00,0.00,31.0,63,1009.43,23.0,1008.75,28.09,1.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,11.1,08-26-2019,13:00:00,270,10.00,0.00,32.1,66,1009.26,24.9,1008.47,31.44,2.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,08-26-2019,13:00:00,310,10.00,0.01,30.8,63,1008.70,22.9,1008.08,27.98,0.01
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,14.8,08-26-2019,13:00:00,240,12.00,0.00,34.8,54,1008.88,24.0,1008.49,29.80,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,16.7,08-26-2019,13:00:00,240,6.00,0.00,30.8,59,1011.09,22.0,1006.92,26.35,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-26-2019,13:00:00,000,10.00,6.80,25.0,96,1010.10,24.3,1008.47,30.32,6.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,13.0,08-26-2019,13:00:00,300,5.00,1.70,24.0,89,1010.73,22.0,1007.21,26.50,1.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,11.1,08-26-2019,13:00:00,300,10.00,0.00,31.7,58,1009.18,22.5,1007.84,27.24,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.4,08-26-2019,13:00:00,300,10.00,2.00,27.0,90,1009.97,25.1,1009.09,31.94,11.10
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.6,08-26-2019,13:00:00,260,10.00,1.10,27.5,85,1009.52,24.8,1005.96,31.25,1.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,11.1,08-26-2019,13:00:00,280,10.00,0.00,31.5,66,1009.32,24.4,1008.89,30.49,0.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,14.8,08-26-2019,13:00:00,250,2.00,0.00,31.1,65,1010.09,23.8,1009.11,29.40,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.6,08-26-2019,13:00:00,280,10.00,0.00,29.5,83,1009.41,26.3,1008.60,34.16,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-26-2019,13:00:00,000,10.00,0.00,30.0,79,1009.38,25.9,1007.58,33.46,2.20
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,08-26-2019,13:00:00,190,11.00,0.00,32.3,56,1009.42,22.5,1008.68,27.30,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,18.5,08-26-2019,13:00:00,240,10.00,0.00,32.7,57,1008.79,23.0,1004.87,28.08,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,11.1,08-26-2019,13:00:00,270,10.00,0.00,32.0,63,1009.54,24.1,1008.87,30.08,15.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,9.3,08-26-2019,13:00:00,280,12.00,0.00,31.6,62,1009.19,23.5,1008.09,28.99,3.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-26-2019,13:00:00,000,12.00,0.00,31.8,64,1009.90,24.2,1007.02,30.24,1.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.4,08-26-2019,13:00:00,240,10.00,0.00,32.2,68,1008.73,25.6,1008.05,32.82,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,9.3,08-26-2019,13:00:00,240,10.00,0.00,32.5,61,1009.37,23.9,1005.32,29.66,1.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,11.1,08-26-2019,13:00:00,070,10.00,0.00,31.9,63,1009.12,24.0,1008.54,29.87,0.90
