WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,WindDirection,StationPressure,MeanSeaLevelPressure,Rainfall,LandVisibility,VaporPressure,Rainfall24Hr,DewPoint,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-12-2019,22:00:00,86,000,979.18,1010.17,0.00,10.00,29.33,0.00,23.7,26.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.3,10-12-2019,22:00:00,91,200,850.73,1011.25,0.00,8.00,23.58,0.00,20.1,21.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-12-2019,22:00:00,80,000,966.76,1010.40,0.00,12.00,27.77,0.00,22.8,26.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-12-2019,22:00:00,88,000,964.83,1010.53,0.00,12.00,28.59,0.00,23.3,25.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-12-2019,22:00:00,91,000,973.47,1011.28,0.00,7.00,29.64,0.00,23.9,25.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-12-2019,22:00:00,92,000,965.61,1010.80,0.00,10.00,30.84,0.00,24.6,26.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-12-2019,22:00:00,92,000,984.85,1011.76,0.00,8.00,29.99,0.00,24.1,25.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-12-2019,22:00:00,95,000,988.46,1010.35,0.00,9.00,30.98,12.30,24.6,25.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-12-2019,22:00:00,92,000,986.75,1011.02,0.00,8.00,29.99,0.00,24.1,25.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-12-2019,22:00:00,84,000,975.93,1010.38,0.00,10.00,30.89,0.80,24.6,27.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-12-2019,22:00:00,83,000,984.10,1011.52,0.00,10.00,32.71,0.00,25.5,28.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,5.6,10-12-2019,22:00:00,87,030,976.84,1010.39,0.00,10.00,31.49,0.00,24.9,27.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,10-12-2019,22:00:00,80,180,991.64,1010.23,0.00,7.00,27.06,0.00,22.4,26.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-12-2019,22:00:00,89,000,988.06,1010.97,0.00,10.00,30.51,2.00,24.4,26.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-12-2019,22:00:00,90,000,980.92,1011.03,0.00,9.00,28.83,0.00,23.4,25.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-12-2019,22:00:00,85,000,974.97,1010.62,0.00,7.00,28.70,0.00,23.4,26.0
