WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,AirTemperature,LandVisibility,Rainfall,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,StationPressure,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-14-2019,10:00:00,000,27.8,12.00,0.00,1.40,77,1007.08,976.34,28.82,23.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,14.8,07-14-2019,10:00:00,270,20.8,8.00,0.00,0.00,83,1003.62,843.87,20.48,17.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,07-14-2019,10:00:00,200,32.7,15.00,0.00,0.00,47,1003.80,961.30,23.20,19.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-14-2019,10:00:00,000,32.0,15.00,0.00,0.00,49,1003.94,959.48,23.25,19.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-14-2019,10:00:00,000,31.3,12.00,0.00,0.00,58,1006.62,969.68,26.48,22.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,07-14-2019,10:00:00,000,32.5,12.00,0.00,0.00,55,1004.51,960.53,26.86,22.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,13.0,07-14-2019,10:00:00,180,32.4,12.00,0.00,0.30,57,1005.88,979.73,27.49,22.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.6,07-14-2019,10:00:00,240,30.5,12.00,0.00,0.00,62,1006.86,985.40,26.87,22.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-14-2019,10:00:00,000,28.4,8.00,0.50,0.50,75,1008.21,984.25,28.86,23.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-14-2019,10:00:00,000,31.5,10.00,0.00,0.00,55,1005.76,971.90,25.51,21.4
