WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,DewPoint,VaporPressure,WindSpeed,Rainfall,MinimumTemperature,LandVisibility,WindDirection,AirTemperature,RelativeHumidity
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1013.34,10-07-2019,07:00:00,851.95,0.00,18.7,21.53,13.0,0.00,18.3,8.00,180,20.6,89
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1014.51,10-07-2019,07:00:00,970.07,0.01,21.0,24.81,1.9,0.00,21.5,8.00,330,22.2,93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1013.92,10-07-2019,07:00:00,967.51,0.00,21.2,25.14,0.0,0.00,20.0,8.00,000,21.8,96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1015.17,10-07-2019,07:00:00,976.70,0.90,21.5,25.62,0.0,0.00,20.5,8.00,000,21.5,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1014.18,10-07-2019,07:00:00,968.21,2.50,21.5,25.62,0.0,0.00,21.5,.20,000,21.8,98
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1014.40,10-07-2019,07:00:00,987.14,3.00,21.8,26.17,0.0,0.00,22.0,.60,000,22.3,97
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1012.69,10-07-2019,07:00:00,990.55,3.00,22.2,26.74,0.0,0.00,22.6,3.00,000,22.8,96
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1013.64,10-07-2019,07:00:00,989.14,0.90,22.5,27.33,0.0,0.00,21.0,5.00,000,23.3,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1013.91,10-07-2019,07:00:00,978.76,16.50,21.1,25.04,0.0,0.00,22.2,10.00,000,22.5,92
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1015.04,10-07-2019,07:00:00,986.92,0.10,21.9,26.25,0.0,0.00,21.6,.50,000,22.2,98
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1013.78,10-07-2019,07:00:00,979.60,0.00,22.0,26.41,0.0,0.00,22.3,6.00,000,22.6,96
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1012.82,10-07-2019,07:00:00,994.05,0.00,23.1,28.27,1.9,0.00,23.2,2.00,090,24.0,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,1013.87,10-07-2019,07:00:00,990.59,0.00,21.8,26.09,0.0,0.00,22.0,5.00,000,22.4,96
