WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,DewPoint,RelativeHumidity,Rainfall,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,WindSpeed,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-01-2019,01:00:00,974.01,23.1,92,0.00,24.4,1005.02,46.60,000,0.0,8.00,28.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-01-2019,01:00:00,842.35,17.7,99,0.00,17.9,1003.50,41.80,140,13.0,.10,20.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-01-2019,01:00:00,960.85,23.2,92,2.60,24.5,1004.52,7.30,170,3.7,9.00,28.37
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-01-2019,01:00:00,959.03,23.3,96,0.50,24.0,1004.69,39.10,000,0.0,10.00,28.53
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-01-2019,01:00:00,967.66,23.7,100,0.20,23.7,1005.49,28.80,000,0.0,5.00,29.29
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-01-2019,01:00:00,959.01,22.8,96,0.00,23.4,1004.29,28.30,000,0.0,7.00,27.75
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-01-2019,01:00:00,979.27,23.7,94,0.00,24.7,1006.09,7.80,000,0.0,6.00,29.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-01-2019,01:00:00,983.91,23.4,95,0.00,24.3,1005.79,28.80,000,0.0,10.00,28.79
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-01-2019,01:00:00,981.78,23.2,97,0.00,23.8,1006.06,47.40,000,0.0,5.00,28.43
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-01-2019,01:00:00,970.21,23.4,93,0.00,24.6,1004.81,6.60,000,0.0,10.00,28.81
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-01-2019,01:00:00,978.41,22.7,95,0.00,23.6,1006.16,33.30,000,0.0,10.00,27.58
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-01-2019,01:00:00,971.12,23.5,95,0.00,24.4,1004.80,116.40,000,0.0,10.00,28.97
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-01-2019,01:00:00,986.80,24.0,95,0.00,24.9,1005.37,29.80,000,0.0,10.00,29.87
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-01-2019,01:00:00,982.72,24.1,97,0.00,24.7,1005.64,26.90,000,0.0,10.00,30.03
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-01-2019,01:00:00,975.78,23.4,95,0.00,24.3,1005.82,30.10,000,0.0,5.00,28.79
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-01-2019,01:00:00,969.64,22.8,96,0.00,23.5,1005.40,33.10,000,0.0,6.00,27.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-01-2019,01:00:00,975.96,24.2,97,0.00,24.6,1005.80,20.30,000,0.0,10.00,30.12
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-01-2019,01:00:00,998.25,24.7,95,1.80,25.6,1005.58,8.90,000,0.0,8.00,31.17
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-01-2019,01:00:00,985.96,25.3,96,0.00,26.0,1005.89,16.80,130,13.0,10.00,32.20
48353,LOEI,เลย,เลย,17.45000,101.73333,09-01-2019,01:00:00,977.32,24.2,95,0.00,25.1,1006.09,19.00,000,0.0,10.00,30.23
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-01-2019,01:00:00,986.00,24.9,93,0.00,26.2,1006.20,7.50,100,3.7,12.00,31.49
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-01-2019,01:00:00,985.57,23.7,92,0.00,25.2,1007.41,31.70,000,0.0,12.00,29.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-01-2019,01:00:00,986.83,24.6,95,0.00,25.5,1006.39,22.40,180,3.7,10.00,30.98
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-01-2019,01:00:00,990.42,24.4,93,0.00,25.7,1007.23,45.60,000,0.0,10.00,30.54
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-01-2019,01:00:00,990.01,24.3,96,0.00,25.0,1007.53,54.00,000,0.0,10.00,30.32
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-01-2019,01:00:00,979.92,24.6,93,0.00,25.8,1005.75,6.20,000,0.0,10.00,31.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-01-2019,01:00:00,999.31,26.0,100,0.00,26.0,1005.10,3.90,000,0.0,10.00,33.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-01-2019,01:00:00,997.20,25.1,99,0.00,25.3,1003.40,2.90,000,0.0,7.00,31.96
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-01-2019,01:00:00,990.57,24.0,94,0.10,25.0,1007.11,21.80,000,0.0,8.00,29.79
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-01-2019,01:00:00,981.96,23.3,96,3.50,24.0,1004.44,51.10,000,0.0,7.00,28.53
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-01-2019,01:00:00,991.59,24.1,96,0.00,24.8,1006.07,33.70,000,0.0,5.00,29.95
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-01-2019,01:00:00,989.01,23.8,99,0.10,24.0,1005.53,37.00,000,0.0,6.00,29.56
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-01-2019,01:00:00,1000.59,24.4,90,0.00,26.1,1005.83,6.80,110,5.6,10.00,30.48
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-01-2019,01:00:00,992.10,24.3,96,0.00,25.0,1005.36,98.70,000,0.0,10.00,30.32
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-01-2019,01:00:00,995.80,25.8,98,0.00,26.1,1005.14,28.00,000,0.0,10.00,33.23
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-01-2019,01:00:00,984.94,24.7,94,0.00,25.7,1006.71,26.50,180,1.9,10.00,31.08
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-01-2019,01:00:00,987.14,22.8,80,0.00,26.5,1004.62,69.80,000,0.0,7.00,27.77
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-01-2019,01:00:00,990.01,24.3,96,0.00,25.0,1005.93,28.50,000,0.0,10.00,30.32
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-01-2019,01:00:00,986.86,24.6,92,0.00,26.0,1005.78,43.70,000,0.0,8.00,30.84
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-01-2019,01:00:00,952.64,22.2,96,0.00,23.0,1004.17,11.80,000,0.0,6.00,26.83
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-01-2019,01:00:00,1001.53,25.1,93,0.01,26.4,1005.49,26.10,100,11.1,5.00,31.88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-01-2019,01:00:00,910.92,20.1,97,0.40,20.6,1006.21,59.90,230,9.3,.50,23.55
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-01-2019,01:00:00,990.42,25.1,98,0.01,25.4,1006.48,8.60,000,0.0,6.00,31.87
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-01-2019,01:00:00,1001.65,24.8,89,0.00,26.8,1005.69,7.40,160,11.1,10.00,31.27
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-01-2019,01:00:00,996.41,24.9,92,0.00,26.3,1007.11,14.30,000,0.0,7.00,31.41
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-01-2019,01:00:00,1004.55,24.7,91,0.00,26.3,1006.48,2.90,150,5.6,9.00,31.13
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-01-2019,01:00:00,986.03,24.1,94,0.00,25.1,1007.01,25.20,000,0.0,10.00,29.97
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-01-2019,01:00:00,988.87,25.3,97,0.00,25.7,1006.60,6.90,180,7.4,10.00,32.18
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-01-2019,01:00:00,990.19,25.5,100,0.00,25.5,1006.42,4.10,150,5.6,10.00,32.62
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-01-2019,01:00:00,993.35,24.8,97,0.50,25.2,1007.47,14.00,000,0.0,9.00,31.22
