WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,LandVisibility,VaporPressure,AirTemperature,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,DewPoint,RelativeHumidity,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,981.98,09-23-2019,13:00:00,0.00,15.00,29.88,29.5,0.00,0.0,1012.72,24.0,72,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,850.79,09-23-2019,13:00:00,0.00,8.00,16.79,19.9,0.00,42.6,1012.36,14.8,72,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,970.14,09-23-2019,13:00:00,0.00,15.00,18.80,31.0,0.00,1.9,1013.27,16.5,42,040
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,968.36,09-23-2019,13:00:00,0.00,15.00,20.43,30.8,0.00,0.0,1013.41,17.9,46,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,975.09,09-23-2019,13:00:00,0.00,12.00,23.66,31.5,0.00,0.0,1012.22,20.2,51,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,968.73,09-23-2019,13:00:00,0.00,12.00,27.39,30.2,0.00,5.6,1013.43,22.6,64,250
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,987.44,09-23-2019,13:00:00,0.00,10.00,26.87,30.5,0.00,5.6,1013.97,22.3,62,090
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,990.93,09-23-2019,13:00:00,0.00,9.00,29.12,31.1,15.80,0.0,1012.46,23.6,64,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,988.26,09-23-2019,13:00:00,0.00,10.00,28.91,30.0,0.50,0.0,1012.19,23.5,68,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,979.49,09-23-2019,13:00:00,0.00,10.00,24.89,30.0,1.00,7.4,1013.79,21.0,59,020
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,986.02,09-23-2019,13:00:00,0.00,10.00,25.43,31.6,14.00,5.6,1013.24,21.4,55,330
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,979.64,09-23-2019,13:00:00,0.00,10.00,26.39,30.1,0.00,0.0,1012.96,22.0,62,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,994.17,09-23-2019,13:00:00,0.00,10.00,26.45,33.0,0.00,9.3,1012.39,22.0,53,020
48331,NAN,น่าน,น่าน,18.77972,100.77778,991.16,09-23-2019,13:00:00,0.00,10.00,27.21,29.1,3.40,0.0,1013.94,22.5,68,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,984.13,09-23-2019,13:00:00,0.00,12.00,28.59,30.4,0.20,0.0,1013.82,23.3,66,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,977.66,09-23-2019,13:00:00,0.00,8.00,26.21,30.0,0.20,0.0,1012.92,21.9,62,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,983.31,09-23-2019,13:00:00,0.00,9.00,24.81,31.7,0.00,13.0,1012.67,21.0,53,100
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.30,09-23-2019,13:00:00,0.00,9.00,24.46,33.1,0.00,0.0,1012.50,20.7,48,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,993.55,09-23-2019,13:00:00,0.00,9.00,21.56,32.8,0.00,11.1,1013.18,18.7,43,110
48353,LOEI,เลย,เลย,17.45000,101.73333,984.58,09-23-2019,13:00:00,0.00,12.00,21.12,32.1,0.00,11.1,1012.88,18.4,44,080
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,993.20,09-23-2019,13:00:00,0.00,13.00,20.35,31.5,0.00,11.1,1013.18,17.8,44,090
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,992.22,09-23-2019,13:00:00,0.00,8.00,24.07,31.0,0.00,3.7,1013.79,20.5,54,070
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,994.05,09-23-2019,13:00:00,0.00,15.00,22.86,30.9,0.00,5.6,1013.40,19.6,51,130
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,996.63,09-23-2019,13:00:00,0.00,11.00,21.72,32.6,0.00,9.3,1013.17,18.8,44,090
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,996.35,09-23-2019,13:00:00,0.00,10.00,25.39,31.0,0.00,3.7,1013.63,21.3,57,040
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,986.88,09-23-2019,13:00:00,0.00,9.00,22.95,30.8,0.00,13.0,1012.45,19.7,52,090
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.30,09-23-2019,13:00:00,0.00,10.00,28.41,32.3,4.50,5.6,1013.03,23.2,59,040
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1006.38,09-23-2019,13:00:00,0.00,12.00,28.45,32.6,0.00,9.3,1012.49,23.2,58,150
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,996.48,09-23-2019,13:00:00,0.00,12.00,20.30,33.4,0.00,7.4,1012.66,17.7,39,020
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,987.96,09-23-2019,13:00:00,0.00,10.00,23.01,32.3,0.00,18.5,1009.95,19.7,48,060
48376,TAK,ตาก,ตาก,16.87833,99.14333,998.99,09-23-2019,13:00:00,0.00,6.00,31.93,30.8,5.00,5.6,1013.28,25.1,72,200
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,996.25,09-23-2019,13:00:00,0.00,12.00,27.68,31.5,4.70,0.0,1012.48,22.8,60,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.35,09-23-2019,13:00:00,0.00,10.00,23.83,32.9,0.00,5.6,1012.50,20.3,48,180
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,998.02,09-23-2019,13:00:00,0.00,12.00,21.61,34.0,0.00,5.6,1010.97,18.7,41,090
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.00,09-23-2019,13:00:00,0.00,10.00,28.74,31.9,10.00,7.4,1012.23,23.4,61,310
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,991.58,09-23-2019,13:00:00,0.00,10.00,24.48,30.5,0.00,13.0,1013.14,20.8,56,100
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,996.56,09-23-2019,13:00:00,0.00,10.00,25.30,29.5,0.00,0.0,1014.03,21.3,61,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,997.12,09-23-2019,13:00:00,0.00,12.00,25.39,31.0,0.00,5.6,1012.83,21.3,57,040
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,993.79,09-23-2019,13:00:00,0.00,10.00,26.68,30.4,0.00,3.7,1012.57,22.2,61,350
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,961.85,09-23-2019,13:00:00,0.00,11.00,21.17,29.0,0.00,9.3,1012.82,18.4,53,160
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.21,09-23-2019,13:00:00,0.00,7.00,28.54,31.8,25.50,7.4,1012.13,23.3,61,120
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,917.76,09-23-2019,13:00:00,0.01,7.00,24.65,22.4,0.50,11.1,1013.16,20.9,91,080
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,997.45,09-23-2019,13:00:00,0.00,10.00,26.58,30.2,0.00,7.4,1013.37,22.1,62,100
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.88,09-23-2019,13:00:00,0.00,8.00,27.66,32.2,0.20,9.3,1012.87,22.7,58,090
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1002.80,09-23-2019,13:00:00,0.00,8.00,22.32,28.5,0.80,11.1,1013.49,19.3,57,030
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.34,09-23-2019,13:00:00,0.00,10.00,24.42,29.0,0.80,14.8,1013.27,20.7,61,060
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,992.48,09-23-2019,13:00:00,0.00,10.00,22.57,28.8,0.00,18.5,1013.34,19.4,57,050
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,995.38,09-23-2019,13:00:00,0.00,10.00,22.50,29.8,0.00,11.1,1012.98,19.4,54,080
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,996.64,09-23-2019,13:00:00,0.00,10.00,24.71,31.5,0.00,9.3,1012.65,20.9,53,030
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,998.62,09-23-2019,13:00:00,0.00,8.00,27.43,30.8,25.10,7.4,1012.56,22.6,62,030
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,998.15,09-23-2019,13:00:00,0.00,10.00,28.50,30.5,12.80,0.0,1012.90,23.2,65,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,998.14,09-23-2019,13:00:00,0.00,8.00,30.72,29.5,10.70,7.4,1012.78,24.5,75,110
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.56,09-23-2019,13:00:00,0.00,10.00,25.52,30.2,0.90,0.0,1012.56,21.4,59,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.71,09-23-2019,13:00:00,0.00,10.00,24.27,29.5,0.01,13.0,1012.64,20.6,59,040
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.89,09-23-2019,13:00:00,0.00,8.00,27.77,28.1,1.70,24.1,1012.00,22.8,73,050
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,998.38,09-23-2019,13:00:00,0.00,8.00,31.29,28.8,4.40,0.0,1013.07,24.8,79,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,877.08,09-23-2019,13:00:00,8.40,2.00,22.28,19.4,10.00,5.6,1012.90,19.2,99,160
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.42,09-23-2019,13:00:00,0.00,8.00,24.68,29.0,0.00,7.4,1012.29,20.9,62,070
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.89,09-23-2019,13:00:00,0.00,8.00,31.72,30.0,14.40,11.1,1012.69,25.0,75,050
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.84,09-23-2019,13:00:00,0.00,10.00,30.03,30.0,60.90,7.4,1011.28,24.1,71,140
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1000.40,09-23-2019,13:00:00,0.00,8.00,27.85,28.0,0.00,0.0,1011.71,22.9,74,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.27,09-23-2019,13:00:00,0.00,12.00,28.39,28.0,3.90,5.6,1012.28,23.2,75,060
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.36,09-23-2019,13:00:00,0.00,8.00,26.62,29.5,2.40,5.6,1012.18,22.1,65,090
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1011.39,09-23-2019,13:00:00,0.00,9.00,26.28,28.0,17.00,7.4,1012.15,21.9,70,040
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.05,09-23-2019,13:00:00,0.80,8.00,31.80,27.5,8.60,7.4,1011.76,25.1,87,090
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1011.03,09-23-2019,13:00:00,1.80,7.00,31.25,27.5,13.30,5.6,1011.73,24.8,85,100
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,991.66,09-23-2019,13:00:00,0.01,7.00,27.96,26.9,33.90,7.4,1012.94,22.9,79,070
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,995.96,09-23-2019,13:00:00,0.00,10.00,29.76,28.3,23.10,5.6,1012.69,24.0,77,030
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,996.89,09-23-2019,13:00:00,0.00,8.00,30.07,28.6,21.50,5.6,1013.34,24.1,77,090
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,990.71,09-23-2019,13:00:00,0.00,8.00,28.26,27.5,30.70,5.6,1012.64,23.1,77,050
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,968.71,09-23-2019,13:00:00,0.60,4.00,26.87,25.4,6.70,29.6,1012.40,22.3,83,050
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,991.97,09-23-2019,13:00:00,0.00,10.00,29.11,28.1,46.10,14.8,1012.57,23.6,77,050
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,993.95,09-23-2019,13:00:00,0.00,8.00,29.52,27.6,4.00,13.0,1014.88,23.8,80,050
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.92,09-23-2019,13:00:00,0.50,10.00,30.29,27.0,27.70,5.6,1011.35,24.3,85,130
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.21,09-23-2019,13:00:00,1.60,11.00,32.67,28.5,5.60,0.0,1011.63,25.5,84,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1007.18,09-23-2019,13:00:00,0.00,8.00,30.84,28.0,5.50,0.0,1012.12,24.6,82,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.59,09-23-2019,13:00:00,3.80,8.00,29.50,26.0,30.30,3.7,1011.91,23.8,88,110
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.92,09-23-2019,13:00:00,2.50,5.00,31.38,26.0,22.90,0.0,1012.03,24.8,93,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.27,09-23-2019,13:00:00,0.00,8.00,30.95,28.2,12.80,9.3,1011.57,24.6,81,050
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.66,09-23-2019,13:00:00,0.00,10.00,31.87,28.1,5.20,3.7,1011.35,25.1,84,070
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.95,09-23-2019,13:00:00,0.00,10.00,32.19,28.4,9.60,7.4,1011.44,25.3,83,090
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.23,09-23-2019,13:00:00,0.00,10.00,31.08,29.4,19.00,13.0,1011.64,24.7,76,090
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1010.41,09-23-2019,13:00:00,0.00,10.00,33.70,27.6,20.30,9.3,1012.09,26.0,91,090
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1005.47,09-23-2019,13:00:00,0.00,10.00,30.95,29.9,3.80,0.0,1013.44,24.6,73,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.84,09-23-2019,13:00:00,0.00,8.00,31.87,28.1,11.20,0.0,1011.12,25.1,84,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.27,09-23-2019,13:00:00,0.00,10.00,30.56,28.0,20.30,5.6,1011.41,24.4,81,320
