WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr,StationPressure,WindDirection,RelativeHumidity,DewPoint,Rainfall,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.0,08-20-2019,01:00:00,29.50,0.0,1007.40,0.00,976.47,000,88,23.8,0.00,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.0,08-20-2019,01:00:00,21.14,25.9,1004.15,0.00,843.93,270,90,18.4,0.00,10.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.4,08-20-2019,01:00:00,31.33,0.0,1004.69,0.00,961.42,000,86,24.8,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,26.5,08-20-2019,01:00:00,30.43,0.0,1005.35,0.00,960.04,000,88,24.3,0.00,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.2,08-20-2019,01:00:00,31.49,0.0,1006.36,0.00,968.69,000,98,24.9,0.00,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.5,08-20-2019,01:00:00,28.59,7.4,1004.63,0.80,959.64,110,88,23.3,0.00,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.8,08-20-2019,01:00:00,32.10,0.0,1006.26,0.00,979.62,000,91,25.2,0.00,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.2,08-20-2019,01:00:00,29.07,0.0,1007.43,0.00,985.65,000,85,23.6,0.00,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.2,08-20-2019,01:00:00,28.62,0.0,1008.33,42.90,984.03,000,95,23.3,0.70,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.5,08-20-2019,01:00:00,29.89,0.0,1006.37,2.30,971.93,000,86,24.0,0.00,10.00
