WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,WindSpeed,VaporPressure,LandVisibility,AirTemperature,DewPoint,MeanSeaLevelPressure,WindDirection,RelativeHumidity,MinimumTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-22-2019,07:00:00,0.01,0.0,29.31,12.00,25.9,23.7,1007.46,000,88,23.3,976.52
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-22-2019,07:00:00,11.40,18.5,20.21,8.00,18.5,17.7,1005.40,270,95,18.2,844.24
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-22-2019,07:00:00,40.20,0.0,29.00,15.00,25.0,23.5,1006.61,000,92,23.4,962.92
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-22-2019,07:00:00,3.80,0.0,28.01,12.00,23.7,23.0,1006.65,000,96,23.2,960.86
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-22-2019,07:00:00,15.50,0.0,29.66,8.00,24.2,23.9,1007.59,000,98,23.5,969.75
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-22-2019,07:00:00,4.20,0.0,28.72,8.00,24.7,23.4,1006.41,000,92,23.2,961.23
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-22-2019,07:00:00,0.70,0.0,30.15,10.00,25.2,24.2,1007.66,000,94,24.5,980.84
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-22-2019,07:00:00,0.00,3.7,27.27,14.00,27.1,22.5,1007.26,240,76,26.8,985.55
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.30,07-22-2019,07:00:00,0.40,0.0,29.11,5.00,25.5,23.6,1008.47,000,89,23.5,984.27
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-22-2019,07:00:00,2.50,0.0,29.05,12.00,25.9,23.6,1007.54,000,87,25.4,972.99
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-22-2019,07:00:00,26.00,0.0,30.87,10.00,25.3,24.6,1007.55,000,96,24.2,979.92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-22-2019,07:00:00,0.00,0.0,30.57,10.00,26.0,24.4,1006.74,000,91,25.5,973.18
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-22-2019,07:00:00,0.00,7.4,30.40,12.00,26.2,24.3,1006.62,270,89,26.0,988.11
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-22-2019,07:00:00,3.70,0.0,30.25,10.00,25.4,24.2,1007.12,000,93,24.7,984.22
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-22-2019,07:00:00,1.00,0.0,29.41,8.00,24.5,23.8,1006.94,000,96,24.3,976.88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-22-2019,07:00:00,7.80,0.0,29.66,6.00,24.2,23.9,1008.06,000,98,24.0,972.29
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-22-2019,07:00:00,1.70,0.0,29.56,10.00,24.0,23.8,1008.07,000,99,23.8,978.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.50,07-22-2019,07:00:00,0.50,0.0,29.76,10.00,26.0,24.0,1007.79,000,89,26.0,1000.45
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-22-2019,07:00:00,0.00,0.0,32.38,12.00,26.8,25.4,1006.54,000,92,26.2,986.65
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-22-2019,07:00:00,11.00,0.0,30.05,10.00,25.0,24.1,1007.09,000,95,24.6,978.29
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-22-2019,07:00:00,17.70,3.7,31.11,12.00,26.0,24.7,1006.83,170,93,25.5,986.62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-22-2019,07:00:00,7.30,0.0,30.57,12.00,26.0,24.4,1007.83,000,91,25.5,986.03
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-22-2019,07:00:00,0.60,3.7,31.33,15.00,26.4,24.8,1006.86,180,91,25.6,987.35
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-22-2019,07:00:00,1.00,0.0,30.84,9.00,26.0,24.6,1007.37,000,92,25.6,990.58
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.40,07-22-2019,07:00:00,0.40,0.0,30.15,10.00,25.2,24.2,1008.01,000,94,24.2,990.49
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-22-2019,07:00:00,0.80,0.0,31.08,12.00,25.7,24.7,1006.17,000,94,25.2,980.32
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-22-2019,07:00:00,6.90,0.0,33.04,10.00,26.0,25.7,1007.87,000,98,23.8,1002.05
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-22-2019,07:00:00,0.60,0.0,31.90,8.00,25.7,25.1,1007.12,000,97,25.4,1000.90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-22-2019,07:00:00,0.00,0.0,27.93,10.00,26.3,22.9,1008.35,000,82,25.1,991.86
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,07-22-2019,07:00:00,5.10,3.7,29.79,8.00,25.0,24.0,1007.25,180,94,24.4,984.78
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-22-2019,07:00:00,30.30,7.4,29.19,10.00,28.0,23.6,1008.21,270,77,26.8,993.86
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-22-2019,07:00:00,1.50,0.0,26.54,8.00,28.0,22.1,1007.39,000,70,27.4,991.06
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-22-2019,07:00:00,9.50,0.0,31.65,10.00,26.0,25.0,1007.43,000,94,24.7,1002.19
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-22-2019,07:00:00,0.00,0.0,29.77,10.00,27.3,24.0,1006.20,000,82,26.9,993.03
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,07-22-2019,07:00:00,6.70,0.0,33.02,8.00,26.7,25.7,1007.54,000,94,26.2,998.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-22-2019,07:00:00,0.00,3.7,31.96,9.00,26.3,25.1,1007.44,160,93,25.8,985.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-22-2019,07:00:00,24.30,0.0,30.84,10.00,26.0,24.6,1007.44,000,92,25.5,989.87
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-22-2019,07:00:00,0.00,0.0,30.43,10.00,26.5,24.3,1007.22,000,88,26.0,991.36
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-22-2019,07:00:00,0.40,5.6,32.86,8.00,26.9,25.6,1006.40,200,93,25.8,987.52
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-22-2019,07:00:00,6.30,0.0,26.58,8.00,23.0,22.1,1010.40,000,95,22.4,958.55
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-22-2019,07:00:00,10.30,7.4,32.94,5.00,26.8,25.7,1007.30,100,94,25.9,1003.34
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-22-2019,07:00:00,13.90,5.6,23.82,.90,21.4,20.3,1008.51,230,94,20.6,913.25
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-22-2019,07:00:00,17.40,0.0,33.07,6.00,26.3,25.7,1007.08,000,97,24.8,991.06
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-22-2019,07:00:00,0.00,0.0,32.76,12.00,27.7,25.6,1007.77,000,88,26.7,1003.74
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-22-2019,07:00:00,0.00,0.0,28.84,8.00,26.8,23.4,1008.95,000,82,25.9,998.25
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-22-2019,07:00:00,0.00,5.6,29.08,9.00,26.5,23.6,1008.42,150,84,26.3,1006.48
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-22-2019,07:00:00,0.00,5.6,26.86,10.00,27.6,22.3,1007.57,220,73,27.1,986.74
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-22-2019,07:00:00,22.40,3.7,31.93,10.00,26.0,25.1,1007.32,180,95,24.6,989.59
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.10,07-22-2019,07:00:00,22.80,7.4,33.51,10.00,26.1,25.9,1007.04,190,99,25.2,990.83
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.60,07-22-2019,07:00:00,15.00,3.7,30.23,10.00,25.1,24.2,1008.10,160,95,24.2,993.97
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.20,07-22-2019,07:00:00,15.60,0.0,29.51,6.00,24.7,23.8,1008.49,000,95,24.1,993.53
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-22-2019,07:00:00,16.60,0.0,31.63,8.00,25.7,25.0,1008.00,000,96,24.2,993.25
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-22-2019,07:00:00,0.00,0.0,27.28,10.00,28.7,22.5,1008.05,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",69,27.7,1005.05
