WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindDirection,AirTemperature,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.7,07-24-2019,07:00:00,27.60,1009.59,8.00,1006.80,000,25.5,96,0.0,24.8,54.60,31.25
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.1,07-24-2019,07:00:00,0.00,1009.50,12.00,1008.71,000,27.0,80,0.0,23.3,0.00,28.67
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.2,07-24-2019,07:00:00,13.20,1010.17,3.00,1009.71,070,24.0,96,5.6,23.3,42.70,28.53
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.5,07-24-2019,07:00:00,0.00,1009.70,8.00,1009.01,000,25.1,92,0.0,23.8,0.00,29.44
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.5,07-24-2019,07:00:00,0.00,1009.64,8.00,1008.09,000,23.5,96,0.0,22.8,0.00,27.66
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.8,07-24-2019,07:00:00,0.00,1010.02,10.00,1009.10,000,24.9,92,0.0,23.4,0.00,28.82
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.3,07-24-2019,07:00:00,0.00,1010.04,10.00,1009.23,000,23.4,96,0.0,22.8,0.00,27.75
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,07-24-2019,07:00:00,0.00,1009.54,10.00,1008.91,200,25.5,96,1.9,24.8,0.00,31.25
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.8,07-24-2019,07:00:00,0.00,1009.56,10.00,1009.15,240,25.4,96,7.4,24.7,0.00,31.06
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.3,07-24-2019,07:00:00,0.00,1011.52,5.00,1007.25,000,23.9,97,0.0,23.3,0.00,28.61
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.7,07-24-2019,07:00:00,0.00,1009.97,12.00,1008.34,000,24.3,98,0.0,24.0,0.00,29.84
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.3,07-24-2019,07:00:00,0.00,1009.99,7.00,1006.48,000,24.5,96,0.0,23.8,0.00,29.41
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.5,07-24-2019,07:00:00,0.00,1009.35,8.00,1007.98,000,24.5,96,0.0,23.8,0.00,29.41
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.5,07-24-2019,07:00:00,0.00,1008.87,10.00,1007.97,000,24.9,96,0.0,24.2,0.00,30.13
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.0,07-24-2019,07:00:00,0.00,1009.35,10.00,1005.76,000,24.6,96,0.0,23.9,0.00,29.59
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.2,07-24-2019,07:00:00,0.00,1009.49,10.00,1009.05,000,25.6,94,0.0,24.6,23.80,30.90
