WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,LandVisibility,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.7,08-20-2019,13:00:00,5.6,15.00,180,31.9,29.31,973.26,0.00,62,1003.48,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.9,08-20-2019,13:00:00,13.0,10.00,300,24.5,23.17,842.92,0.00,75,1000.38,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.2,08-20-2019,13:00:00,9.3,10.00,180,33.0,30.11,959.54,0.00,60,1001.92,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.9,08-20-2019,13:00:00,0.0,15.00,000,33.5,29.70,957.34,0.00,57,1001.47,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.6,08-20-2019,13:00:00,0.0,12.00,000,33.0,32.76,966.01,0.00,65,1002.60,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.3,08-20-2019,13:00:00,9.3,12.00,180,32.0,28.66,958.28,0.80,60,1002.23,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.3,08-20-2019,13:00:00,5.6,12.00,270,33.0,32.16,977.02,0.00,64,1003.04,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.1,08-20-2019,13:00:00,9.3,17.00,270,33.8,26.62,982.65,0.00,51,1003.82,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.9,08-20-2019,13:00:00,0.0,10.00,000,31.3,27.85,981.39,42.90,61,1005.05,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.3,08-20-2019,13:00:00,3.7,10.00,240,32.7,28.65,969.82,2.30,58,1003.47,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.7,08-20-2019,13:00:00,0.0,10.00,000,33.0,29.25,976.74,0.00,58,1003.58,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.3,08-20-2019,13:00:00,0.0,15.00,000,33.2,28.52,971.33,0.00,56,1004.03,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.7,08-20-2019,13:00:00,3.7,15.00,270,31.8,31.10,985.57,1.00,66,1003.69,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.1,08-20-2019,13:00:00,5.6,10.00,250,33.4,31.83,980.67,0.70,62,1002.88,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,08-20-2019,13:00:00,0.0,12.00,000,31.7,31.77,973.73,0.50,68,1002.98,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.0,08-20-2019,13:00:00,0.0,8.00,000,32.5,31.69,968.64,0.01,65,1003.29,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,08-20-2019,13:00:00,0.0,17.00,000,31.8,31.68,973.85,0.00,67,1002.92,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.9,08-20-2019,13:00:00,9.3,7.00,140,32.0,31.52,998.01,0.90,66,1005.18,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.5,08-20-2019,13:00:00,5.6,20.00,250,30.7,34.66,984.57,3.60,78,1004.15,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,24.2,08-20-2019,13:00:00,5.6,15.00,170,32.5,30.24,975.32,0.00,62,1003.32,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.3,08-20-2019,13:00:00,5.6,12.00,220,30.3,32.34,984.93,0.30,75,1004.82,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.5,08-20-2019,13:00:00,0.0,7.00,000,29.0,32.55,983.58,12.90,81,1005.10,1.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.3,08-20-2019,13:00:00,7.4,15.00,140,29.1,32.18,985.35,1.30,80,1004.64,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.6,08-20-2019,13:00:00,0.0,10.00,000,24.9,29.08,989.10,13.50,92,1005.93,3.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.1,08-20-2019,13:00:00,0.0,8.00,000,25.4,29.99,988.81,20.30,92,1006.29,1.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.9,08-20-2019,13:00:00,3.7,12.00,170,29.5,29.60,978.65,0.01,72,1004.13,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.8,08-20-2019,13:00:00,11.1,10.00,270,34.5,31.22,998.07,0.00,57,1003.70,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.9,08-20-2019,13:00:00,9.3,12.00,270,33.9,31.42,998.00,0.00,59,1004.04,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.9,08-20-2019,13:00:00,0.0,10.00,000,32.0,31.52,988.96,0.50,66,1005.09,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.8,08-20-2019,13:00:00,9.3,10.00,250,29.3,29.49,981.98,1.10,72,1004.06,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.7,08-20-2019,13:00:00,11.1,10.00,240,34.0,29.29,990.57,0.00,55,1004.60,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.2,08-20-2019,13:00:00,7.4,8.00,120,34.8,28.34,987.53,0.00,51,1003.44,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.5,08-20-2019,13:00:00,9.3,10.00,200,32.3,30.69,999.93,1.00,63,1005.06,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.4,08-20-2019,13:00:00,5.6,12.00,160,33.4,32.43,990.72,0.00,63,1003.60,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.8,08-20-2019,13:00:00,9.3,12.00,090,33.0,31.28,995.28,0.60,62,1004.40,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.1,08-20-2019,13:00:00,3.7,10.00,230,30.9,28.17,983.28,0.00,63,1004.63,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.9,08-20-2019,13:00:00,0.0,12.00,000,32.5,29.66,987.18,0.00,61,1004.32,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.5,08-20-2019,13:00:00,3.7,12.00,250,28.1,30.75,988.73,6.30,81,1004.46,0.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.3,08-20-2019,13:00:00,1.9,10.00,170,31.2,30.45,985.34,0.00,67,1003.91,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.9,08-20-2019,13:00:00,0.0,8.00,000,27.4,29.69,955.89,2.70,81,1006.82,1.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.7,08-20-2019,13:00:00,7.4,10.00,080,31.7,32.94,1000.97,15.00,70,1004.86,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.6,08-20-2019,13:00:00,11.1,7.00,220,24.6,25.76,911.16,0.60,83,1005.15,0.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.1,08-20-2019,13:00:00,7.4,10.00,230,31.3,31.80,988.97,0.00,70,1004.70,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.8,08-20-2019,13:00:00,3.7,10.00,160,33.1,33.28,1001.28,13.50,66,1005.23,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.6,08-20-2019,13:00:00,7.4,8.00,210,32.0,30.94,995.60,45.90,65,1006.09,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.1,08-20-2019,13:00:00,9.3,12.00,190,31.6,31.85,1004.36,30.10,69,1006.26,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.0,08-20-2019,13:00:00,5.6,10.00,240,29.4,28.04,984.56,9.80,68,1005.22,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.5,08-20-2019,13:00:00,14.8,11.00,270,31.3,30.65,986.90,0.01,67,1004.26,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.4,08-20-2019,13:00:00,11.1,10.00,200,32.2,30.48,988.43,0.00,63,1004.27,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.9,08-20-2019,13:00:00,7.4,10.00,250,30.6,31.51,991.37,24.50,72,1005.21,0.01
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.8,08-20-2019,13:00:00,5.6,8.00,150,29.2,33.24,992.15,18.20,82,1006.86,0.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.6,08-20-2019,13:00:00,5.6,8.00,230,31.7,34.73,990.82,2.70,74,1005.24,0.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.0,08-20-2019,13:00:00,0.0,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",32.7,28.08,1002.11,39.50,57,1005.07,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.7,08-20-2019,13:00:00,0.0,10.00,000,32.5,31.11,997.53,6.30,64,1005.33,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.4,08-20-2019,13:00:00,7.4,8.00,230,31.9,28.74,1006.14,0.50,61,1007.23,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.2,08-20-2019,13:00:00,0.0,8.00,000,31.5,28.51,991.50,0.00,62,1005.96,0.00
