WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,StationPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,60,09-19-2019,13:00:00,28.66,0.00,32.0,10.00,9.3,080,23.3,1008.24,2.20,994.42
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,70,09-19-2019,13:00:00,30.54,0.00,30.4,10.00,0.0,000,24.4,1008.74,4.30,994.05
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,77,09-19-2019,13:00:00,33.63,0.00,30.5,10.00,5.6,070,26.0,1008.76,1.20,994.23
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,71,09-19-2019,13:00:00,32.60,0.00,31.4,10.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.5,1008.80,33.00,1005.82
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,59,09-19-2019,13:00:00,27.71,0.00,31.8,10.00,7.4,010,22.8,1008.48,7.30,1000.64
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,83,09-19-2019,13:00:00,32.10,0.40,28.5,8.00,0.0,000,25.2,1009.53,2.90,1008.42
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,76,09-19-2019,13:00:00,34.90,0.00,31.5,8.00,0.0,000,26.6,1008.48,1.80,993.99
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,96,09-19-2019,13:00:00,23.03,0.20,20.4,2.00,5.6,060,19.8,1009.49,0.60,874.55
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,66,09-19-2019,13:00:00,31.52,0.00,32.0,10.00,7.4,010,24.9,1008.40,9.80,1002.61
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,75,09-19-2019,13:00:00,32.96,17.50,30.6,8.00,0.0,000,25.7,1009.05,49.00,1008.25
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,78,09-19-2019,13:00:00,32.13,0.00,29.5,10.00,5.6,140,25.2,1008.59,24.70,1008.14
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,64,09-19-2019,13:00:00,31.11,0.00,32.5,10.00,0.0,000,24.7,1008.59,4.00,997.47
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,74,09-19-2019,13:00:00,33.43,0.00,31.1,12.00,5.6,050,25.9,1009.05,8.90,1008.05
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,76,09-19-2019,13:00:00,32.09,0.01,29.9,7.00,0.0,000,25.2,1009.15,8.60,1007.34
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,66,09-19-2019,13:00:00,30.28,0.00,31.4,11.00,0.0,000,24.3,1008.67,0.20,1007.91
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,76,09-19-2019,13:00:00,31.28,0.01,29.5,8.00,9.3,350,24.8,1009.05,7.00,1008.35
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,78,09-19-2019,13:00:00,33.29,0.00,30.2,7.00,3.7,030,25.8,1008.56,38.30,1007.87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,68,09-19-2019,13:00:00,30.61,0.10,31.0,10.00,3.7,080,24.4,1008.33,0.20,987.43
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,63,09-19-2019,13:00:00,30.20,0.00,32.2,12.00,0.0,000,24.2,1008.19,8.50,991.74
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,66,09-19-2019,13:00:00,31.52,0.00,32.0,10.00,3.7,090,24.9,1008.81,12.90,992.61
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,69,09-19-2019,13:00:00,30.49,0.01,30.8,8.00,5.6,150,24.4,1008.80,0.01,987.18
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,93,09-19-2019,13:00:00,29.16,13.90,24.8,10.00,3.7,080,23.6,1009.65,23.80,965.99
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,94,09-19-2019,13:00:00,30.15,20.50,25.2,10.00,3.7,300,24.2,1008.82,21.00,988.10
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-19-2019,13:00:00,29.29,14.40,23.7,1.00,27.8,170,23.7,1010.84,14.40,989.72
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,66,09-19-2019,13:00:00,30.16,0.00,31.2,10.00,7.4,040,24.2,1008.39,1.50,1007.97
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,80,09-19-2019,13:00:00,31.86,0.00,28.8,8.00,0.0,000,25.1,1008.91,11.20,1007.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,87,09-19-2019,13:00:00,32.08,0.40,27.5,8.00,0.0,000,25.2,1008.52,99.80,1003.58
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,65,09-19-2019,13:00:00,31.48,0.00,32.4,9.00,9.3,020,24.9,1008.57,33.20,1005.33
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,75,09-19-2019,13:00:00,32.13,0.00,30.2,10.00,0.0,000,25.2,1008.80,26.50,1007.70
