WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,RelativeHumidity,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall24Hr,AirTemperature,LandVisibility,VaporPressure,WindDirection,WindSpeed
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.4,09-11-2019,07:00:00,71,0.00,1012.43,1011.75,22.2,1.00,27.8,7.00,26.70,000,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.6,09-11-2019,07:00:00,95,0.00,1012.01,1010.47,24.5,0.00,25.4,9.00,30.79,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.1,09-11-2019,07:00:00,92,0.00,1012.47,1011.54,23.1,0.01,24.4,10.00,28.20,000,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.2,09-11-2019,07:00:00,96,0.00,1012.73,1012.04,24.8,0.10,25.5,10.00,31.25,000,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,09-11-2019,07:00:00,97,0.00,1012.29,1011.48,23.9,1.60,24.3,5.00,29.57,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.8,09-11-2019,07:00:00,95,0.00,1012.47,1011.83,23.5,0.60,24.4,10.00,28.97,000,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.9,09-11-2019,07:00:00,97,0.00,1012.74,1012.33,24.2,30.80,24.6,10.00,30.12,000,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.0,09-11-2019,07:00:00,96,0.00,1014.58,1010.31,23.6,0.00,24.3,5.00,29.05,000,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.0,09-11-2019,07:00:00,98,0.00,1012.46,1010.83,24.2,0.00,24.5,4.00,30.20,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,09-11-2019,07:00:00,97,0.00,1012.48,1008.95,23.4,20.50,24.0,8.00,28.78,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.5,09-11-2019,07:00:00,99,0.00,1013.06,1011.68,23.6,4.20,23.8,8.00,29.20,000,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.5,09-11-2019,07:00:00,97,0.00,1011.07,1010.18,24.1,0.00,24.7,10.00,30.03,000,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.5,09-11-2019,07:00:00,93,0.00,1011.73,1008.13,23.3,0.00,24.5,10.00,28.63,000,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,.0,09-11-2019,07:00:00,91,0.00,1011.51,1011.07,24.9,0.00,26.5,10.00,31.52,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,21.9,09-11-2019,07:00:00,92,0.00,1010.97,1009.97,24.0,0.00,25.3,10.00,29.80,000,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.5,09-11-2019,07:00:00,93,0.00,1012.07,1011.25,24.8,0.00,26.0,10.00,31.38,000,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.3,09-11-2019,07:00:00,97,0.00,1012.74,1010.90,24.0,0.00,24.4,.20,29.75,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.1,09-11-2019,07:00:00,89,0.00,1013.09,1012.33,24.1,34.60,26.0,5.00,30.03,000,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.2,09-11-2019,07:00:00,96,0.00,1013.71,1009.65,23.9,0.00,24.6,5.00,29.59,240,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.7,09-11-2019,07:00:00,85,0.00,1012.63,1011.93,22.8,0.00,25.5,10.00,27.81,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.6,09-11-2019,07:00:00,93,0.00,1013.57,1012.44,24.6,0.00,25.8,10.00,31.00,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.9,09-11-2019,07:00:00,97,0.00,1013.61,1010.65,24.3,0.00,24.9,8.00,30.40,000,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.2,09-11-2019,07:00:00,99,0.00,1012.61,1011.92,24.8,0.30,25.0,6.00,31.39,000,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.6,09-11-2019,07:00:00,96,0.00,1013.83,1009.64,23.7,2.90,24.4,5.00,29.23,000,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,{'@attributes': {'Unit': 'celcius'}},09-11-2019,07:00:00,90,0.00,1012.88,1012.28,21.4,0.00,23.1,9.00,25.52,250,9.3
