WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,LandVisibility,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.2,07-22-2019,04:00:00,0.01,7.00,29.33,975.80,0.0,0.00,86,1006.69,23.7,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,07-22-2019,04:00:00,12.70,8.00,20.42,844.00,14.8,0.00,96,1005.11,17.8,250
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.3,07-22-2019,04:00:00,43.50,10.00,28.02,962.32,0.0,3.20,92,1006.09,23.0,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.8,07-22-2019,04:00:00,4.20,12.00,28.18,960.36,0.0,0.40,96,1006.12,23.1,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.7,07-22-2019,04:00:00,15.50,6.00,29.03,969.14,0.0,0.00,99,1007.02,23.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.8,07-22-2019,04:00:00,4.20,8.00,27.42,960.83,0.0,0.00,93,1006.14,22.6,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.8,07-22-2019,04:00:00,0.70,8.00,29.16,980.08,0.0,0.00,93,1006.91,23.6,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.8,07-22-2019,04:00:00,0.00,14.00,27.20,984.90,13.0,0.00,69,1006.47,22.5,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,07-22-2019,04:00:00,0.10,6.00,29.52,983.35,0.0,0.00,93,1007.57,23.8,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.7,07-22-2019,04:00:00,2.50,10.00,29.48,972.47,0.0,0.00,89,1007.02,23.8,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.2,07-22-2019,04:00:00,26.00,10.00,30.69,979.36,0.0,0.00,96,1006.98,24.5,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.0,07-22-2019,04:00:00,0.00,10.00,29.50,972.91,0.0,0.00,88,1006.47,23.8,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.3,07-22-2019,04:00:00,0.00,10.00,29.25,987.82,0.0,0.00,86,1006.33,23.7,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.0,07-22-2019,04:00:00,3.70,10.00,29.79,983.84,0.0,0.20,94,1006.76,24.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.8,07-22-2019,04:00:00,1.00,6.00,29.16,976.76,0.0,0.00,93,1006.79,23.6,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,07-22-2019,04:00:00,7.80,6.00,29.41,970.96,0.0,0.00,96,1006.64,23.8,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.9,07-22-2019,04:00:00,1.70,10.00,28.10,976.61,0.0,0.00,95,1006.54,23.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.2,07-22-2019,04:00:00,0.01,8.00,30.13,999.29,0.0,0.00,89,1006.61,24.2,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.5,07-22-2019,04:00:00,0.00,10.00,30.97,985.98,0.0,0.00,89,1005.88,24.6,000
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,07-22-2019,04:00:00,11.00,10.00,29.79,977.49,0.0,0.00,94,1006.27,24.0,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.5,07-22-2019,04:00:00,17.70,10.00,30.98,986.15,0.0,0.00,95,1006.39,24.6,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.0,07-22-2019,04:00:00,7.30,10.00,28.70,984.66,0.0,0.00,85,1006.42,23.4,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.3,07-22-2019,04:00:00,0.60,10.00,30.32,986.67,3.7,0.10,89,1006.17,24.3,300
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.1,07-22-2019,04:00:00,1.00,10.00,30.48,989.79,0.0,0.00,90,1006.57,24.4,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.2,07-22-2019,04:00:00,0.01,9.00,30.15,989.87,3.7,0.01,94,1007.38,24.2,220
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.2,07-22-2019,04:00:00,0.80,10.00,29.36,979.31,0.0,0.00,92,1005.17,23.7,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.9,07-22-2019,04:00:00,6.90,10.00,32.56,1000.73,0.0,0.00,97,1006.54,25.5,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,07-22-2019,04:00:00,0.60,6.00,30.71,999.01,0.0,0.20,94,1005.22,24.5,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.0,07-22-2019,04:00:00,0.00,9.00,27.66,990.41,0.0,0.00,82,1006.89,22.7,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.2,07-22-2019,04:00:00,4.90,10.00,29.62,983.99,3.7,0.30,92,1006.42,23.9,310
