WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,AirTemperature,WindDirection,Rainfall24Hr,StationPressure,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,15.00,10-01-2019,13:00:00,0.00,0.0,31.9,000,0.00,978.80,31.31,1009.20,66,24.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,10-01-2019,13:00:00,0.00,14.8,26.0,300,0.00,847.79,22.18,1005.31,66,19.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,10-01-2019,13:00:00,0.00,0.0,32.5,000,0.00,965.52,26.86,1008.23,55,22.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,10-01-2019,13:00:00,0.00,11.1,30.5,270,0.00,964.00,25.80,1008.89,59,21.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,10-01-2019,13:00:00,0.00,0.0,31.8,000,0.00,972.59,28.82,1009.58,61,23.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,10-01-2019,13:00:00,0.00,7.4,32.9,210,0.00,964.28,31.36,1008.37,63,24.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,10-01-2019,13:00:00,0.00,5.6,33.1,140,0.00,983.37,29.17,1009.56,58,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.00,10-01-2019,13:00:00,0.00,5.6,34.1,210,0.00,987.62,24.99,1008.87,47,21.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,10-01-2019,13:00:00,0.00,0.0,33.1,000,0.00,985.65,30.61,1009.28,61,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,10-01-2019,13:00:00,0.00,0.0,33.2,000,0.00,974.72,27.67,1008.49,54,22.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,10-01-2019,13:00:00,0.00,0.0,33.4,000,0.00,982.53,28.35,1009.49,55,23.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,10-01-2019,13:00:00,0.00,0.0,33.0,000,0.00,976.08,27.00,1008.96,54,22.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.00,10-01-2019,13:00:00,0.00,9.3,34.0,180,0.00,990.52,30.46,1008.60,57,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,10-01-2019,13:00:00,0.00,7.4,33.2,070,0.00,986.98,27.11,1009.36,53,22.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,10-01-2019,13:00:00,0.00,0.0,33.0,000,0.00,980.32,28.97,1009.64,58,23.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,10-01-2019,13:00:00,0.00,0.0,32.2,000,0.00,974.18,32.82,1009.06,68,25.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,8.00,10-01-2019,13:00:00,0.00,7.4,34.7,020,0.00,979.32,28.43,1008.27,51,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,10-01-2019,13:00:00,0.00,0.0,34.5,000,0.00,1002.44,28.30,1009.58,52,23.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,8.00,10-01-2019,13:00:00,0.00,3.7,34.2,280,0.00,989.08,29.71,1008.53,55,23.9
48353,LOEI,เลย,เลย,17.45000,101.73333,6.00,10-01-2019,13:00:00,0.00,9.3,34.6,200,0.00,980.54,23.77,1008.50,43,20.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,10-01-2019,13:00:00,0.00,5.6,34.8,280,0.00,989.57,26.36,1009.26,47,22.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,6.00,10-01-2019,13:00:00,0.00,0.0,33.0,000,0.00,987.86,27.84,1009.19,55,22.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,8.00,10-01-2019,13:00:00,0.00,13.0,33.0,040,0.00,989.85,26.45,1008.98,53,22.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,9.00,10-01-2019,13:00:00,0.00,3.7,33.5,060,0.00,993.19,24.67,1009.62,48,20.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,10-01-2019,13:00:00,0.00,3.7,33.0,090,0.00,992.91,23.74,1010.02,47,20.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.00,10-01-2019,13:00:00,0.00,3.7,33.3,310,0.00,982.59,26.20,1007.85,51,21.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,10-01-2019,13:00:00,0.00,0.0,33.6,000,0.00,1003.59,34.69,1009.27,67,26.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,10-01-2019,13:00:00,0.00,0.0,33.8,000,0.00,1002.96,33.91,1009.02,64,26.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,9.00,10-01-2019,13:00:00,0.00,0.0,35.5,000,0.00,993.50,25.78,1009.53,45,21.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,10-01-2019,13:00:00,0.00,3.7,32.0,240,0.30,985.92,28.66,1007.90,60,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,10-01-2019,13:00:00,0.00,3.7,35.1,190,0.00,995.28,29.26,1009.32,52,23.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,10-01-2019,13:00:00,0.00,0.0,34.6,000,0.60,992.64,27.94,1008.65,51,22.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,8.00,10-01-2019,13:00:00,0.00,7.4,34.0,160,0.00,1004.34,31.64,1009.46,59,25.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,10-01-2019,13:00:00,0.00,0.0,35.3,000,0.00,994.88,30.27,1007.74,53,24.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,6.00,10-01-2019,13:00:00,0.00,3.7,33.6,230,0.00,1000.16,31.37,1009.31,60,24.8
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,10-01-2019,13:00:00,0.00,3.7,33.5,140,0.00,987.88,27.43,1009.16,53,22.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,10-01-2019,13:00:00,0.00,0.0,35.0,000,0.00,992.24,28.47,1009.33,51,23.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,10-01-2019,13:00:00,0.00,3.7,33.6,020,0.00,993.06,27.06,1008.58,52,22.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,7.00,10-01-2019,13:00:00,0.00,1.9,34.0,270,0.00,989.89,26.46,1008.37,50,22.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,10-01-2019,13:00:00,0.00,0.0,32.0,000,0.00,958.98,24.57,1009.29,52,20.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.00,10-01-2019,13:00:00,0.00,7.4,33.6,130,0.00,1005.53,34.38,1009.41,66,26.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,9.00,10-01-2019,13:00:00,0.00,9.3,27.0,230,0.50,915.81,25.05,1009.49,70,21.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,10-01-2019,13:00:00,0.00,5.6,33.3,200,0.00,993.56,30.45,1009.26,60,24.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,6.00,10-01-2019,13:00:00,0.00,5.6,33.6,200,0.00,1005.69,34.69,1009.64,67,26.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,10-01-2019,13:00:00,0.00,3.7,34.0,190,0.00,1000.08,29.87,1010.55,56,24.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,12.00,10-01-2019,13:00:00,0.00,5.6,33.7,180,0.00,1008.08,33.08,1009.97,63,25.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.00,10-01-2019,13:00:00,0.00,5.6,34.4,230,0.00,988.31,28.10,1008.70,52,23.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,8.00,10-01-2019,13:00:00,0.00,5.6,32.7,200,0.00,991.73,28.65,1009.11,58,23.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,10-01-2019,13:00:00,0.00,9.3,33.3,190,0.00,992.94,27.03,1008.80,53,22.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.00,10-01-2019,13:00:00,0.00,5.6,32.5,130,0.00,995.81,26.58,1009.62,54,22.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.00,10-01-2019,13:00:00,0.00,0.0,33.2,000,0.00,995.33,26.56,1009.90,52,22.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,10-01-2019,13:00:00,0.00,5.6,33.5,200,0.00,995.52,31.75,1009.92,61,25.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,7.00,10-01-2019,13:00:00,0.00,0.0,34.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1006.78,31.17,1009.74,58,24.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,10-01-2019,13:00:00,0.00,0.0,34.6,000,0.00,1001.41,32.64,1009.18,59,25.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,10-01-2019,13:00:00,0.00,11.1,34.6,140,0.00,1008.42,31.44,1009.51,57,24.9
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,10-01-2019,13:00:00,0.00,0.0,33.5,000,0.00,995.00,32.65,1009.41,63,25.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,10-01-2019,13:00:00,0.00,9.3,23.9,190,0.00,876.04,24.86,1009.53,84,21.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,7.00,10-01-2019,13:00:00,0.00,0.0,33.7,000,0.00,1003.72,33.08,1009.48,63,25.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,10-01-2019,13:00:00,0.00,7.4,35.9,250,0.00,1008.94,31.27,1009.72,53,24.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,10-01-2019,13:00:00,0.00,13.0,31.0,210,60.20,1009.30,34.11,1009.74,76,26.2
