WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,AirTemperature,WindDirection,Rainfall24Hr,StationPressure,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,DewPoint
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.00,10-01-2019,13:00:00,0.00,0.0,34.0,000,0.00,999.00,28.43,1010.08,53,23.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,8.00,10-01-2019,13:00:00,0.00,3.7,34.4,170,0.00,1008.76,31.01,1009.75,57,24.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,10-01-2019,13:00:00,0.00,3.7,34.0,160,0.00,1008.00,31.04,1009.78,58,24.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,12.00,10-01-2019,13:00:00,0.00,0.0,34.9,000,0.00,1008.59,29.13,1009.34,52,23.6
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,10-01-2019,13:00:00,0.00,14.8,31.6,180,0.01,1009.53,31.56,1010.23,68,24.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,10-01-2019,13:00:00,0.00,3.7,35.0,210,3.20,1009.09,32.62,1009.78,58,25.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.00,10-01-2019,13:00:00,0.00,3.7,34.4,320,0.01,988.22,28.10,1008.91,52,23.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,10-01-2019,13:00:00,0.00,5.6,33.4,270,0.00,993.01,29.50,1009.42,57,23.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10.00,10-01-2019,13:00:00,0.00,0.0,33.0,000,0.00,994.26,28.97,1010.42,58,23.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,6.00,10-01-2019,13:00:00,0.00,7.4,33.7,300,0.00,987.50,28.96,1008.92,55,23.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,4.00,10-01-2019,13:00:00,0.00,18.5,31.7,110,0.00,966.65,27.52,1009.34,59,22.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,9.00,10-01-2019,13:00:00,0.00,0.0,33.1,000,0.00,989.03,30.61,1009.22,61,24.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,6.00,10-01-2019,13:00:00,0.00,5.6,33.5,250,0.00,990.85,33.86,1011.31,65,26.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,10-01-2019,13:00:00,0.00,0.0,31.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1009.53,31.60,1009.96,67,25.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,10-01-2019,13:00:00,0.00,0.0,34.0,000,0.00,1008.28,33.75,1009.67,63,26.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,10-01-2019,13:00:00,0.00,3.7,33.6,300,0.00,1004.51,31.08,1009.34,60,24.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,10-01-2019,13:00:00,0.00,7.4,35.0,210,0.00,1006.15,29.34,1009.36,52,23.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,10-01-2019,13:00:00,0.00,3.7,34.8,260,0.00,1008.56,29.80,1009.64,54,24.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,10-01-2019,13:00:00,0.00,3.7,32.7,200,1.70,1009.70,33.91,1009.99,69,26.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,10-01-2019,13:00:00,0.00,7.4,33.2,230,2.10,1009.21,35.02,1009.89,69,26.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,7.00,10-01-2019,13:00:00,0.00,3.7,33.5,100,3.70,1009.10,34.16,1009.58,66,26.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,8.00,10-01-2019,13:00:00,0.00,11.1,33.7,190,13.80,1008.30,31.29,1009.68,60,24.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,5.00,10-01-2019,13:00:00,0.00,20.4,30.5,200,2.10,1008.55,36.64,1010.22,84,27.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,12.00,10-01-2019,13:00:00,0.00,0.0,34.0,000,0.00,1003.40,29.87,1011.25,56,24.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,10-01-2019,13:00:00,0.00,14.8,33.5,300,0.00,1009.27,31.75,1009.55,61,25.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,10-01-2019,13:00:00,0.00,5.6,31.5,300,0.00,1006.97,33.40,1010.07,72,25.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,10-01-2019,13:00:00,0.00,14.8,31.0,240,0.00,1003.59,32.34,1010.46,72,25.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,10-01-2019,13:00:00,0.00,7.4,33.8,300,0.00,1004.03,31.50,1009.52,60,24.9
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,6.00,10-01-2019,13:00:00,0.00,16.7,31.7,230,0.00,1001.57,32.94,1010.77,70,25.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.00,10-01-2019,13:00:00,0.00,0.0,34.0,000,0.00,1009.48,31.64,1010.72,59,25.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,10-01-2019,13:00:00,0.00,7.4,35.0,170,0.00,1009.55,35.09,1009.97,62,26.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,4.00,10-01-2019,13:00:00,0.00,11.1,34.3,040,0.00,997.38,27.33,1009.38,51,22.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,6.00,10-01-2019,13:00:00,0.00,5.6,32.1,140,0.00,1009.49,31.44,1010.19,66,24.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,10-01-2019,13:00:00,0.00,14.8,33.0,220,0.00,1008.06,32.46,1010.46,65,25.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,10-01-2019,13:00:00,0.00,7.4,31.3,300,0.00,1010.23,33.27,1010.74,73,25.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,14.00,10-01-2019,13:00:00,0.00,5.6,31.8,190,0.10,1005.37,30.53,1010.46,65,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,10-01-2019,13:00:00,0.00,14.8,33.2,200,1.60,1009.76,32.00,1010.17,63,25.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,10-01-2019,13:00:00,0.00,3.7,30.5,230,4.30,1007.87,32.75,1010.62,75,25.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,10-01-2019,13:00:00,0.00,11.1,33.4,170,0.00,1009.46,33.63,1010.24,65,26.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,10-01-2019,13:00:00,0.00,11.1,32.1,210,15.50,1010.47,33.80,1010.92,71,26.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,12.00,10-01-2019,13:00:00,0.00,11.1,33.0,110,0.00,1009.39,30.40,1010.06,60,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.00,10-01-2019,13:00:00,0.00,7.4,34.0,060,0.40,1008.84,28.72,1010.34,54,23.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,10-01-2019,13:00:00,0.00,7.4,31.5,270,3.60,1010.27,30.49,1011.18,66,24.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,10-01-2019,13:00:00,0.00,9.3,30.0,130,0.00,1010.56,32.59,1011.25,77,25.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,10-01-2019,13:00:00,0.00,3.7,33.5,180,0.00,1009.93,32.35,1010.72,63,25.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,10-01-2019,13:00:00,0.00,11.1,31.7,090,0.00,1009.96,29.75,1010.59,64,24.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,12.00,10-01-2019,13:00:00,0.00,11.1,32.5,030,0.00,1010.13,31.69,1010.53,65,25.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10.00,10-01-2019,13:00:00,0.00,0.0,32.2,000,1.20,1008.37,30.20,1012.53,63,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,10-01-2019,13:00:00,0.00,5.6,33.0,150,27.40,1009.17,29.54,1010.75,59,23.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,10-01-2019,13:00:00,0.00,5.6,33.0,240,53.40,1007.04,31.28,1010.46,62,24.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,10-01-2019,13:00:00,0.00,9.3,32.2,120,0.00,1009.52,29.91,1010.85,62,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,10-01-2019,13:00:00,0.00,11.1,30.3,240,0.00,1010.25,33.50,1011.13,78,25.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,10-01-2019,13:00:00,0.00,9.3,31.7,210,1.20,1007.53,29.47,1011.04,63,23.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.00,10-01-2019,13:00:00,0.20,11.1,28.6,300,2.80,1010.80,30.62,1011.23,78,24.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,10-01-2019,13:00:00,0.00,7.4,31.2,270,0.20,1010.26,31.60,1011.25,70,25.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,10-01-2019,13:00:00,0.00,9.3,31.4,210,0.40,1010.70,34.38,1011.50,75,26.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,12.00,10-01-2019,13:00:00,0.00,16.7,30.3,230,92.80,1009.29,31.48,1011.09,73,24.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,12.00,10-01-2019,13:00:00,0.00,5.6,31.2,060,0.00,1009.72,30.16,1010.47,66,24.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,10-01-2019,13:00:00,0.80,11.1,32.3,230,36.60,1006.66,28.98,1010.60,60,23.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,6.00,10-01-2019,13:00:00,11.00,0.0,27.3,000,33.70,1011.03,32.53,1011.72,90,25.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,12.00,10-01-2019,13:00:00,0.00,5.6,32.5,240,11.00,1009.68,28.53,1010.78,58,23.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,12.00,10-01-2019,13:00:00,0.00,9.3,33.0,230,6.10,1007.85,31.28,1010.72,62,24.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,12.00,10-01-2019,13:00:00,0.00,3.7,33.3,350,0.00,1009.60,29.01,1010.28,57,23.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.00,10-01-2019,13:00:00,0.00,7.4,33.0,340,4.10,1006.34,29.83,1010.39,59,24.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,10-01-2019,13:00:00,0.00,14.8,32.0,020,0.00,1009.38,27.27,1009.96,57,22.5
