WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,DewPoint,LandVisibility,Rainfall,WindDirection,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,StationPressure,RelativeHumidity
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.0,07-27-2019,10:00:00,29.50,23.8,10.00,0.30,000,1008.59,0.0,7.90,995.33,88
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.9,07-27-2019,10:00:00,26.85,22.3,11.00,0.00,320,1009.48,1.9,0.90,1000.19,67
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.0,07-27-2019,10:00:00,30.87,24.6,10.00,0.00,280,1008.12,9.3,4.30,986.63,73
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.5,07-27-2019,10:00:00,31.31,24.8,12.00,0.00,220,1008.41,14.8,0.00,991.09,72
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.5,07-27-2019,10:00:00,28.78,23.4,12.00,0.00,330,1007.87,5.6,5.90,992.21,66
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.5,07-27-2019,10:00:00,30.74,24.5,10.00,0.00,000,1007.37,0.0,0.00,988.70,70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.0,07-27-2019,10:00:00,24.69,20.9,10.00,0.00,000,1009.60,0.0,2.90,958.13,78
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.5,07-27-2019,10:00:00,27.81,22.8,6.00,2.20,000,1009.82,0.0,5.00,1005.84,85
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.0,07-27-2019,10:00:00,21.95,19.0,5.00,0.20,180,1010.10,9.3,4.00,914.87,83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.9,07-27-2019,10:00:00,31.23,24.8,12.00,0.00,000,1008.24,0.0,0.00,992.39,74
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,28.6,07-27-2019,10:00:00,30.34,24.3,10.00,0.00,030,1009.91,5.6,0.00,1005.89,78
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.7,07-27-2019,10:00:00,25.14,21.2,9.00,0.00,000,1010.69,0.0,0.00,1000.07,60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.7,07-27-2019,10:00:00,27.25,22.5,12.00,0.00,150,1010.24,3.7,0.00,1008.32,62
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.7,07-27-2019,10:00:00,25.93,21.7,10.00,0.00,250,1008.84,7.4,0.01,988.13,62
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.3,07-27-2019,10:00:00,29.50,23.8,10.00,0.00,230,1007.94,13.0,0.10,990.45,68
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.8,07-27-2019,10:00:00,28.53,23.3,10.00,0.00,220,1008.05,14.8,0.10,992.08,64
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.7,07-27-2019,10:00:00,27.80,22.8,10.00,0.00,310,1009.05,9.3,0.01,995.11,67
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.8,07-27-2019,10:00:00,30.47,24.4,9.00,0.00,000,1010.08,0.0,2.00,995.34,73
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.5,07-27-2019,10:00:00,31.28,24.8,8.00,0.50,250,1009.65,11.1,0.50,995.07,76
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.0,07-27-2019,10:00:00,24.60,20.8,10.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.57,0.0,0.01,1006.59,55
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.7,07-27-2019,10:00:00,28.08,23.0,10.00,0.00,000,1009.71,0.0,0.40,1001.78,71
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.2,07-27-2019,10:00:00,27.39,22.6,9.00,0.00,000,1010.39,0.0,0.00,1009.29,64
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.0,07-27-2019,10:00:00,30.31,24.3,9.00,0.00,090,1008.12,3.7,0.00,993.57,71
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.7,07-27-2019,10:00:00,19.10,16.8,6.00,0.00,230,1008.53,5.6,17.60,874.26,74
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.5,07-27-2019,10:00:00,26.33,21.9,10.00,0.00,290,1009.79,7.4,0.20,1003.96,60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.1,07-27-2019,10:00:00,22.25,19.2,8.00,0.00,230,1010.35,5.6,0.00,1009.55,52
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.1,07-27-2019,10:00:00,26.65,22.1,10.00,0.00,210,1009.90,3.7,0.01,1009.46,59
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.8,07-27-2019,10:00:00,28.34,23.2,10.00,0.00,000,1011.26,0.0,4.30,999.87,85
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.2,07-27-2019,10:00:00,23.91,20.4,12.00,0.00,270,1009.80,3.7,0.00,1008.79,53
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.6,07-27-2019,10:00:00,25.19,21.2,10.00,0.00,210,1009.87,5.6,0.10,1008.07,57
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.5,07-27-2019,10:00:00,24.74,20.9,9.00,0.00,000,1009.95,0.0,0.00,1009.19,57
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.3,07-27-2019,10:00:00,25.70,21.5,10.00,0.01,310,1009.86,9.3,0.01,1009.16,60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.3,07-27-2019,10:00:00,31.48,24.9,8.00,0.00,300,1009.79,3.7,1.30,1009.09,73
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.8,07-27-2019,10:00:00,28.53,23.3,10.00,0.01,290,1009.24,9.3,0.01,988.31,64
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.5,07-27-2019,10:00:00,27.14,22.4,10.00,0.00,250,1009.11,9.3,0.00,992.55,62
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.5,07-27-2019,10:00:00,27.41,22.6,15.00,0.00,270,1009.63,9.3,0.00,993.35,63
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,30.4,07-27-2019,10:00:00,25.88,21.7,10.00,0.00,000,1009.33,0.0,0.00,987.66,60
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.5,07-27-2019,10:00:00,23.14,19.8,10.00,0.01,240,1010.03,14.8,0.01,966.74,63
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.7,07-27-2019,10:00:00,26.17,21.8,10.00,0.00,270,1008.68,9.3,0.00,988.33,59
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.8,07-27-2019,10:00:00,30.21,24.2,9.00,0.00,270,1010.62,11.1,0.00,989.99,68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.8,07-27-2019,10:00:00,27.98,22.9,10.00,0.00,150,1009.82,3.7,0.00,1009.39,67
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.4,07-27-2019,10:00:00,32.16,25.3,8.00,0.00,000,1009.65,0.0,14.80,1008.23,88
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,28.1,07-27-2019,10:00:00,33.00,25.7,8.00,0.01,000,1009.35,0.0,3.50,1004.43,87
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.0,07-27-2019,10:00:00,23.86,20.3,12.00,0.00,340,1010.12,5.6,0.20,1006.85,56
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.5,07-27-2019,10:00:00,22.68,19.5,10.00,0.00,260,1010.23,7.4,0.00,1009.13,52
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.4,07-27-2019,10:00:00,26.68,22.2,10.00,0.01,000,1009.99,0.0,0.01,1009.69,61
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.5,07-27-2019,10:00:00,28.50,23.2,10.00,0.00,230,1010.01,3.7,0.00,1009.32,65
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.0,07-27-2019,10:00:00,25.71,21.6,10.00,0.00,300,1009.92,5.6,0.00,1009.43,64
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.2,07-27-2019,10:00:00,25.25,21.3,10.00,0.00,270,1010.13,11.1,0.00,1008.73,59
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.0,07-27-2019,10:00:00,30.31,24.3,10.00,0.00,000,1009.94,0.0,0.00,1008.27,71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.9,07-27-2019,10:00:00,28.72,23.4,10.00,0.20,310,1011.19,7.4,0.20,1003.23,68
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.0,07-27-2019,10:00:00,29.48,23.8,12.00,0.00,270,1009.63,7.4,0.20,1009.35,66
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.5,07-27-2019,10:00:00,29.07,23.6,12.00,0.00,270,1009.80,5.6,0.00,1006.70,63
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.2,07-27-2019,10:00:00,29.88,24.0,12.00,0.00,000,1009.85,0.0,1.20,1002.98,66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.2,07-27-2019,10:00:00,31.25,24.8,7.00,0.00,280,1009.88,11.1,0.01,1004.31,77
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,33.7,07-27-2019,10:00:00,30.12,24.2,10.00,0.00,300,1010.67,5.6,0.00,1001.53,58
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.0,07-27-2019,10:00:00,28.91,23.5,14.00,0.00,300,1010.59,7.4,0.01,1009.33,72
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.3,07-27-2019,10:00:00,29.22,23.7,11.00,0.00,000,1009.88,0.0,0.00,1009.45,68
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.0,07-27-2019,10:00:00,27.01,22.4,10.00,0.00,000,1010.09,0.0,0.00,997.91,64
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.9,07-27-2019,10:00:00,30.98,24.6,10.00,0.00,000,1009.78,0.0,0.00,1009.07,69
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.1,07-27-2019,10:00:00,29.71,23.9,10.00,0.00,180,1010.05,18.5,1.40,1007.65,62
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.5,07-27-2019,10:00:00,31.31,24.8,12.00,0.00,230,1010.08,3.7,4.70,1009.56,72
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.4,07-27-2019,10:00:00,27.49,22.6,15.00,0.00,200,1009.76,3.7,0.20,1004.67,60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.8,07-27-2019,10:00:00,31.57,24.9,8.00,0.00,000,1010.37,0.0,16.30,1009.96,80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.5,07-27-2019,10:00:00,31.80,25.1,8.00,0.00,000,1010.30,0.0,10.40,1007.52,87
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,31.6,07-27-2019,10:00:00,27.60,22.7,12.00,0.00,290,1010.18,11.1,0.00,1009.40,59
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.9,07-27-2019,10:00:00,27.93,22.9,8.00,0.20,350,1010.27,9.3,20.80,1009.81,74
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.3,07-27-2019,10:00:00,31.19,24.7,8.00,0.00,000,1010.36,0.0,0.00,1009.69,72
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.2,07-27-2019,10:00:00,29.32,23.7,10.00,0.00,190,1010.31,3.7,1.20,1008.80,65
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.0,07-27-2019,10:00:00,33.08,25.7,10.00,0.50,010,1011.18,5.6,17.30,1010.26,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.5,07-27-2019,10:00:00,33.82,26.1,8.00,0.00,000,1010.78,0.0,26.80,1010.09,87
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.0,07-27-2019,10:00:00,33.17,25.8,9.00,0.00,240,1011.12,5.6,0.40,1010.33,78
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.7,07-27-2019,10:00:00,30.86,24.6,10.00,0.00,150,1010.59,5.6,0.00,1009.96,70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.5,07-27-2019,10:00:00,32.39,25.4,10.00,0.00,000,1011.02,0.0,0.00,1010.61,83
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.2,07-27-2019,10:00:00,30.96,24.6,7.00,0.00,220,1013.21,5.6,2.30,1009.00,76
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.5,07-27-2019,10:00:00,29.89,24.0,10.00,0.00,000,1010.68,0.0,0.00,1009.08,68
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.5,07-27-2019,10:00:00,29.06,23.6,8.00,0.00,270,1010.76,3.7,0.00,1007.32,67
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.0,07-27-2019,10:00:00,30.59,24.4,8.00,0.00,000,1011.08,0.0,0.00,1009.73,72
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.5,07-27-2019,10:00:00,31.31,24.8,10.00,0.00,270,1010.65,7.4,0.80,1009.77,72
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.4,07-27-2019,10:00:00,31.11,24.7,10.00,0.00,000,1010.99,0.0,0.00,1007.46,72
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.5,07-27-2019,10:00:00,28.78,23.4,10.00,0.00,260,1010.87,7.4,0.00,1010.43,66
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.5,07-27-2019,10:00:00,30.49,24.4,10.00,0.00,280,1010.40,11.1,0.00,1009.42,66
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.0,07-27-2019,10:00:00,30.59,24.4,10.00,0.00,270,1011.49,14.8,0.00,1010.68,72
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.0,07-27-2019,10:00:00,31.19,24.7,10.00,0.00,000,1011.49,0.0,0.00,1009.69,69
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.5,07-27-2019,10:00:00,29.63,23.9,10.00,0.00,320,1011.35,3.7,0.00,1010.60,64
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.2,07-27-2019,10:00:00,30.99,24.6,10.00,0.00,190,1011.28,5.6,43.20,1007.31,72
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.5,07-27-2019,10:00:00,31.93,25.1,10.00,0.00,000,1011.88,0.0,0.30,1011.20,69
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.9,07-27-2019,10:00:00,31.89,25.1,12.00,0.00,230,1012.33,5.6,1.60,1011.22,67
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.0,07-27-2019,10:00:00,34.11,26.2,11.00,0.00,230,1011.24,5.6,9.70,1008.35,76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,28.3,07-27-2019,10:00:00,32.55,25.5,8.00,0.00,000,1011.10,0.0,1.50,1010.41,85
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.3,07-27-2019,10:00:00,29.49,23.8,8.00,0.00,250,1011.58,7.4,0.01,1007.48,72
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.0,07-27-2019,10:00:00,27.55,22.7,12.00,0.00,000,1011.07,0.0,0.00,1010.49,65
