WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindSpeed,WindDirection,VaporPressure
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.40,10-08-2019,04:00:00,95,23.1,24.0,0.00,1009.42,10.00,1008.50,0.0,000,28.27
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-08-2019,04:00:00,92,24.6,26.0,0.00,1009.30,12.00,1008.61,0.0,000,30.84
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,13.90,10-08-2019,04:00:00,96,22.8,23.5,0.00,1009.51,6.00,1008.70,0.0,000,27.66
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1.20,10-08-2019,04:00:00,95,23.4,24.3,0.00,1009.37,10.00,1008.72,0.0,000,28.79
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,10-08-2019,04:00:00,93,23.2,24.4,0.00,1009.17,8.00,1008.76,0.0,000,28.45
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-08-2019,04:00:00,96,22.8,23.5,0.00,1011.45,5.00,1007.17,0.0,000,27.66
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.60,10-08-2019,04:00:00,96,23.3,24.0,0.00,1009.23,5.00,1007.60,0.0,000,28.53
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.50,10-08-2019,04:00:00,97,23.4,23.8,0.00,1009.81,5.00,1006.28,0.0,000,28.69
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-08-2019,04:00:00,97,24.1,24.5,0.00,1009.15,8.00,1007.78,0.0,000,29.93
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.60,10-08-2019,04:00:00,97,23.4,23.8,0.00,1008.82,10.00,1007.93,0.0,000,28.69
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.40,10-08-2019,04:00:00,98,22.7,23.0,0.00,1009.17,10.00,1005.56,0.0,000,27.57
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.80,10-08-2019,04:00:00,90,24.1,25.8,0.00,1008.74,10.00,1008.30,0.0,000,29.93
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,6.90,10-08-2019,04:00:00,94,24.2,25.2,0.00,1008.51,9.00,1007.51,0.0,000,30.15
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-08-2019,04:00:00,92,23.9,25.2,0.00,1008.50,10.00,1007.68,0.0,000,29.62
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.80,10-08-2019,04:00:00,98,24.0,24.3,0.00,1009.05,.50,1007.21,0.0,000,29.84
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,10-08-2019,04:00:00,86,22.7,25.2,0.00,1010.11,10.00,1009.36,3.7,200,27.54
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.20,10-08-2019,04:00:00,98,23.2,23.5,0.00,1009.36,10.00,1005.31,0.0,000,28.42
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.00,10-08-2019,04:00:00,91,22.5,24.0,0.00,1008.73,10.00,1008.04,0.0,000,27.25
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-08-2019,04:00:00,96,22.8,23.4,0.00,1009.18,10.00,1008.04,0.0,000,27.75
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.01,10-08-2019,04:00:00,97,24.4,24.8,0.00,1009.19,10.00,1006.25,0.0,000,30.48
