WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,WindDirection,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.95,08-13-2019,22:00:00,25.7,1008.84,26.8,32.94,0.20,94,0.0,8.00,000,0.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,846.27,08-13-2019,22:00:00,18.0,1006.70,20.4,20.59,0.00,86,18.5,8.00,270,27.30
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.81,08-13-2019,22:00:00,25.3,1007.14,27.7,32.20,0.00,87,0.0,10.00,000,31.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.99,08-13-2019,22:00:00,24.1,1007.32,27.0,30.02,0.00,84,0.0,12.00,000,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.67,08-13-2019,22:00:00,25.1,1008.26,26.5,31.79,0.00,92,0.0,8.00,000,17.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,963.05,08-13-2019,22:00:00,24.3,1008.12,26.0,30.30,0.00,90,7.4,10.00,110,3.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,982.22,08-13-2019,22:00:00,25.0,1008.85,27.7,31.64,0.00,85,11.1,8.00,180,3.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,987.31,08-13-2019,22:00:00,25.1,1009.07,26.8,31.82,0.00,90,0.0,10.00,000,0.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,986.48,08-13-2019,22:00:00,24.5,1010.74,25.5,30.71,2.50,94,0.0,6.00,000,9.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,973.70,08-13-2019,22:00:00,24.6,1007.98,28.3,30.87,0.00,80,0.0,10.00,000,5.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,982.48,08-13-2019,22:00:00,24.6,1009.98,27.5,30.97,0.00,84,0.0,10.00,000,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,974.67,08-13-2019,22:00:00,24.6,1008.14,27.3,30.86,0.00,85,0.0,10.00,000,0.40
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.94,08-13-2019,22:00:00,25.7,1008.46,26.7,33.02,0.00,94,5.6,8.00,270,3.50
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.76,08-13-2019,22:00:00,25.0,1008.55,27.3,31.69,0.00,87,0.0,10.00,000,0.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.63,08-13-2019,22:00:00,25.2,1008.53,26.6,31.99,0.00,92,0.0,10.00,000,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,974.16,08-13-2019,22:00:00,25.3,1009.78,26.0,32.20,0.00,96,0.0,7.00,000,1.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.99,08-13-2019,22:00:00,25.6,1007.71,26.5,32.91,0.00,95,0.0,12.00,000,3.90
