WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,WindSpeed,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,RelativeHumidity,LandVisibility,AirTemperature
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.42,10-09-2019,22:00:00,25.5,3.7,32.61,320,7.20,1011.85,0.80,90,10.00,27.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.48,10-09-2019,22:00:00,24.5,0.0,30.71,000,5.00,1011.48,2.40,94,9.00,25.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.49,10-09-2019,22:00:00,23.9,0.0,29.70,000,55.20,1012.32,0.00,93,10.00,25.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.54,10-09-2019,22:00:00,23.6,0.0,29.05,000,12.10,1012.38,5.10,96,10.00,24.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.83,10-09-2019,22:00:00,23.4,3.7,28.82,230,53.70,1012.59,0.00,83,10.00,26.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.80,10-09-2019,22:00:00,24.3,0.0,30.38,000,11.80,1012.85,0.00,98,10.00,24.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.82,10-09-2019,22:00:00,23.8,0.0,29.46,000,26.10,1012.51,0.10,91,10.00,25.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.25,10-09-2019,22:00:00,24.6,0.0,30.85,000,31.00,1012.38,0.00,97,10.00,25.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.92,10-09-2019,22:00:00,24.3,0.0,30.32,000,36.20,1012.88,0.00,96,10.00,25.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.43,10-09-2019,22:00:00,23.8,0.0,29.41,000,16.60,1012.12,5.00,96,7.00,24.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.12,10-09-2019,22:00:00,23.3,5.6,28.54,250,22.10,1013.31,0.00,94,7.00,24.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.93,10-09-2019,22:00:00,23.3,7.4,28.59,250,84.10,1011.52,0.00,88,8.00,25.5
