WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,RelativeHumidity,WindDirection,Rainfall,DewPoint,MeanSeaLevelPressure,VaporPressure,LandVisibility,WindSpeed,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,4.40,09-12-2019,04:00:00,980.48,95,000,0.00,23.2,1011.74,28.44,8.00,0.0,24.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,4.30,09-12-2019,04:00:00,846.97,96,120,0.00,17.3,1008.94,19.78,8.00,9.3,18.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,11.60,09-12-2019,04:00:00,967.32,92,000,0.00,23.0,1011.31,28.02,103.00,0.0,24.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.60,09-12-2019,04:00:00,965.40,93,000,0.00,22.6,1011.39,27.42,12.00,0.0,23.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.40,09-12-2019,04:00:00,973.41,98,000,0.00,23.7,1011.42,29.30,5.00,0.0,24.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.80,09-12-2019,04:00:00,966.29,94,000,0.00,23.0,1011.82,28.01,10.00,0.0,24.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.90,09-12-2019,04:00:00,985.04,96,000,0.00,23.8,1012.04,29.41,6.00,0.0,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.30,09-12-2019,04:00:00,989.80,98,000,0.00,23.2,1011.87,28.42,10.00,0.0,23.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,4.20,09-12-2019,04:00:00,987.75,98,000,0.00,22.7,1012.24,27.57,6.00,0.0,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.80,09-12-2019,04:00:00,977.50,87,000,0.00,22.6,1012.31,27.45,10.00,0.0,25.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.20,09-12-2019,04:00:00,984.77,95,000,0.00,23.2,1012.65,28.44,10.00,0.0,24.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.00,09-12-2019,04:00:00,977.65,96,000,0.00,23.8,1011.54,29.41,10.00,0.0,24.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.20,09-12-2019,04:00:00,992.84,96,000,0.00,23.8,1011.55,29.41,10.00,0.0,24.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-12-2019,04:00:00,989.37,93,000,0.00,23.6,1012.44,29.16,10.00,0.0,24.8
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.01,09-12-2019,04:00:00,981.60,95,000,0.00,23.1,1011.85,28.27,7.00,0.0,24.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.40,09-12-2019,04:00:00,975.66,97,000,0.00,23.4,1011.58,28.78,7.00,0.0,24.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.20,09-12-2019,04:00:00,981.25,98,000,0.00,23.9,1011.29,29.66,10.00,0.0,24.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.20,09-12-2019,04:00:00,1003.99,95,000,0.00,24.1,1011.37,30.05,8.00,0.0,25.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.60,09-12-2019,04:00:00,991.09,96,250,0.00,23.8,1011.22,29.41,10.00,7.4,24.5
48353,LOEI,เลย,เลย,17.45000,101.73333,0.20,09-12-2019,04:00:00,982.54,95,000,0.01,23.7,1011.50,29.33,12.00,0.0,24.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.70,09-12-2019,04:00:00,990.96,96,240,7.00,23.0,1011.43,28.01,12.00,3.7,23.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,13.10,09-12-2019,04:00:00,989.48,93,000,0.20,23.8,1011.43,29.52,12.00,0.0,25.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,16.50,09-12-2019,04:00:00,991.35,96,000,0.30,24.5,1011.02,30.69,8.00,0.0,25.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.90,09-12-2019,04:00:00,994.66,95,000,0.00,23.6,1011.61,29.15,12.00,0.0,24.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,45.40,09-12-2019,04:00:00,994.26,95,000,0.00,23.9,1011.86,29.69,10.00,0.0,24.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,14.90,09-12-2019,04:00:00,985.24,99,000,0.40,24.1,1011.34,30.10,7.00,0.0,24.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.60,09-12-2019,04:00:00,1005.97,96,000,0.00,24.3,1011.83,30.32,10.00,0.0,25.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.50,09-12-2019,04:00:00,1005.48,99,000,0.00,24.6,1011.74,31.02,10.00,0.0,24.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,17.90,09-12-2019,04:00:00,995.60,94,000,0.00,23.0,1012.29,28.01,8.00,0.0,24.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.80,09-12-2019,04:00:00,987.90,94,190,0.00,21.7,1010.61,26.01,10.00,5.6,22.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.60,09-12-2019,04:00:00,997.72,75,290,0.00,21.1,1012.24,25.03,6.00,9.3,25.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,5.00,09-12-2019,04:00:00,995.41,97,000,0.00,22.5,1012.09,27.32,7.00,0.0,23.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.10,09-12-2019,04:00:00,1006.56,95,000,0.00,24.1,1011.85,30.05,10.00,0.0,25.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,2.50,09-12-2019,04:00:00,997.03,97,000,0.00,24.2,1010.37,30.22,10.00,0.0,24.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.20,09-12-2019,04:00:00,1002.10,97,000,0.00,24.6,1011.53,30.85,10.00,0.0,25.0
