WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,MinimumTemperature,RelativeHumidity,Rainfall24Hr,StationPressure,WindDirection,AirTemperature,WindSpeed,LandVisibility,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-18-2019,07:00:00,1004.26,23.5,88,0.40,973.37,000,25.5,0.0,10.00,23.3,28.59
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-18-2019,07:00:00,1002.93,18.9,99,1.60,842.47,290,19.1,11.1,.80,18.9,21.87
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-18-2019,07:00:00,1002.90,25.4,86,1.10,959.54,000,26.2,0.0,12.00,23.7,29.33
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-18-2019,07:00:00,1003.04,24.6,92,0.00,957.64,000,25.2,0.0,15.00,23.7,29.36
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-18-2019,07:00:00,1003.91,23.4,92,0.00,966.37,000,25.5,0.0,12.00,24.0,29.91
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-18-2019,07:00:00,1003.03,25.5,76,0.00,958.43,120,27.7,3.7,9.00,23.0,28.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-18-2019,07:00:00,1003.95,26.0,88,0.01,977.34,000,26.5,0.0,10.00,24.3,30.43
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-18-2019,07:00:00,1003.74,24.8,82,0.01,982.03,120,26.0,1.9,12.00,22.6,27.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-18-2019,07:00:00,1004.86,23.8,88,0.00,980.79,000,26.0,0.0,5.00,23.8,29.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-18-2019,07:00:00,1003.90,26.5,77,0.00,969.60,000,27.0,0.0,12.00,22.6,27.36
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-18-2019,07:00:00,1004.48,26.0,84,0.00,977.09,000,27.0,0.0,10.00,24.1,30.02
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-18-2019,07:00:00,1003.22,26.4,81,0.00,969.94,000,27.5,0.0,12.00,23.9,29.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-18-2019,07:00:00,1002.81,26.5,84,0.00,984.41,180,27.0,3.7,10.00,24.1,30.02
