WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.05,09-30-2019,19:00:00,24.7,1008.09,0.0,10.00,34.5,000,2.30,29.1,2.30,77,1008.77
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.69,09-30-2019,19:00:00,25.0,1008.08,0.0,7.00,35.2,000,3.20,29.0,3.30,79,1008.57
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.32,09-30-2019,19:00:00,25.3,1007.88,31.5,7.00,34.4,030,9.40,27.9,9.40,86,1009.29
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,36.06,09-30-2019,19:00:00,27.2,1006.70,22.2,3.00,31.7,180,0.01,31.2,0.01,79,1008.36
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.16,09-30-2019,19:00:00,24.7,1002.77,3.7,10.00,35.6,230,0.00,29.3,0.00,76,1010.74
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.01,09-30-2019,19:00:00,25.2,1008.38,0.0,4.00,34.7,000,0.00,30.7,0.00,72,1008.66
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.73,09-30-2019,19:00:00,25.0,1005.60,0.0,10.00,32.5,000,0.00,29.3,0.00,78,1008.72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.55,09-30-2019,19:00:00,25.5,1001.96,0.0,7.00,31.8,000,0.00,29.0,0.00,81,1008.87
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.10,09-30-2019,19:00:00,24.7,1003.65,0.0,7.00,34.8,000,0.00,31.1,0.00,69,1009.19
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.48,09-30-2019,19:00:00,24.9,1000.80,18.5,4.00,35.5,210,0.00,29.6,0.00,76,1010.06
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.75,09-30-2019,19:00:00,25.6,1008.02,3.7,6.00,35.5,150,0.00,30.5,0.00,75,1009.27
