WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,StationPressure,WindDirection,RelativeHumidity,LandVisibility,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-18-2019,01:00:00,27.7,1004.34,000,87,6.00,25.4,1008.37,32.48,1.60,1.60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-18-2019,01:00:00,25.6,999.26,000,93,7.00,24.3,1010.01,30.36,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.9,09-18-2019,01:00:00,27.0,1006.76,150,92,9.00,25.6,1008.69,32.77,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,09-18-2019,01:00:00,28.1,987.33,000,81,10.00,24.5,1008.13,30.75,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,11.1,09-18-2019,01:00:00,27.5,990.01,090,87,10.00,25.2,1007.66,32.08,0.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,09-18-2019,01:00:00,28.2,991.40,000,85,10.00,25.5,1007.50,32.63,0.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,09-18-2019,01:00:00,27.3,993.41,000,74,10.00,22.3,1007.44,26.85,0.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-18-2019,01:00:00,26.0,992.99,000,90,7.00,24.3,1007.88,30.30,0.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,09-18-2019,01:00:00,27.2,993.25,000,93,8.00,25.9,1007.92,33.46,0.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-18-2019,01:00:00,27.6,1005.11,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",87,8.00,25.3,1008.13,32.28,0.30,0.30
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-18-2019,01:00:00,25.8,1000.15,000,93,7.00,24.5,1008.15,30.73,4.60,5.50
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,09-18-2019,01:00:00,26.4,1007.30,000,90,6.00,24.7,1008.41,31.05,0.00,0.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-18-2019,01:00:00,26.2,993.50,000,86,8.00,23.7,1008.24,29.33,0.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,09-18-2019,01:00:00,26.4,1002.36,190,91,10.00,24.8,1008.26,31.33,0.00,5.30
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,09-18-2019,01:00:00,25.2,1007.67,000,95,8.00,24.3,1008.48,30.42,0.30,2.70
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.0,09-18-2019,01:00:00,27.0,1007.60,000,92,10.00,25.6,1008.04,32.77,0.00,1.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-18-2019,01:00:00,25.0,998.11,000,96,4.00,24.3,1009.51,30.32,0.00,1.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,09-18-2019,01:00:00,25.7,1006.57,120,94,7.00,24.7,1008.41,31.08,0.50,0.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-18-2019,01:00:00,27.5,1007.64,000,88,4.00,25.4,1008.41,32.36,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,09-18-2019,01:00:00,26.3,1007.77,360,93,9.00,25.1,1008.47,31.96,1.40,18.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-18-2019,01:00:00,27.0,1007.55,000,93,7.00,25.7,1008.25,33.06,0.00,0.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,09-18-2019,01:00:00,26.5,987.05,000,83,10.00,23.4,1008.26,28.82,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,09-18-2019,01:00:00,25.7,991.37,000,90,6.00,23.9,1008.17,29.74,0.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,09-18-2019,01:00:00,25.5,991.68,000,92,7.00,24.0,1008.21,29.91,0.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-18-2019,01:00:00,26.1,986.34,000,89,10.00,24.1,1008.29,29.95,0.00,0.20
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,09-18-2019,01:00:00,23.7,964.39,000,97,10.00,23.3,1008.14,28.52,0.00,0.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,09-18-2019,01:00:00,25.1,987.36,000,96,10.00,24.4,1008.07,30.50,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,09-18-2019,01:00:00,25.6,988.63,220,100,8.00,25.6,1009.59,32.81,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.7,09-18-2019,01:00:00,28.5,1008.02,010,90,10.00,26.7,1008.45,34.99,0.70,3.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-18-2019,01:00:00,26.0,1006.73,000,93,6.00,24.7,1008.15,31.11,0.00,0.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-18-2019,01:00:00,25.9,1003.43,000,96,7.00,25.2,1008.39,32.01,0.00,24.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,09-18-2019,01:00:00,27.0,1005.61,130,84,10.00,24.1,1008.91,30.02,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-18-2019,01:00:00,27.2,1007.54,000,95,8.00,26.3,1008.65,34.31,0.30,0.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,09-18-2019,01:00:00,26.5,1008.19,050,89,7.00,24.6,1008.49,30.97,0.80,2.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-18-2019,01:00:00,25.5,1007.59,000,96,8.00,24.8,1008.08,31.25,4.20,6.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,7.4,09-18-2019,01:00:00,25.6,1007.24,120,91,10.00,24.0,1008.65,29.82,0.20,0.60
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,09-18-2019,01:00:00,25.9,1002.47,000,97,10.00,25.3,1010.53,32.29,0.00,1.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-18-2019,01:00:00,27.6,1007.80,000,91,10.00,26.0,1008.09,33.70,0.00,1.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,09-18-2019,01:00:00,28.5,1003.95,000,80,10.00,24.6,1007.07,30.98,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,09-18-2019,01:00:00,26.0,1001.40,150,95,10.00,25.1,1008.38,31.93,0.00,33.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-18-2019,01:00:00,26.3,1002.90,000,96,10.00,25.6,1008.52,32.79,0.00,44.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,11.1,09-18-2019,01:00:00,27.2,1008.00,310,87,10.00,24.8,1009.27,31.22,0.00,0.70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,09-18-2019,01:00:00,27.0,1007.27,270,83,11.00,23.8,1007.70,29.48,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,09-18-2019,01:00:00,24.5,996.60,000,91,10.00,22.9,1008.98,27.86,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,09-18-2019,01:00:00,26.8,1007.77,270,83,10.00,23.7,1008.48,29.37,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.0,09-18-2019,01:00:00,26.1,1006.18,000,92,10.00,24.7,1008.62,31.03,0.00,9.50
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,09-18-2019,01:00:00,28.0,1008.01,210,89,8.00,26.0,1008.53,33.66,0.30,0.30
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,09-18-2019,01:00:00,26.0,1003.09,000,93,8.00,24.8,1008.27,31.38,0.00,27.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.7,09-18-2019,01:00:00,26.2,1008.10,180,96,7.00,25.5,1008.51,32.59,0.00,9.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-18-2019,01:00:00,25.5,1006.02,000,96,8.00,24.8,1008.81,31.25,0.00,10.50
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-18-2019,01:00:00,26.5,1008.66,000,79,10.00,22.5,1009.45,27.25,0.00,0.01
48501,TRAD,ตราด,ตราด,11.76667,102.88333,9.3,09-18-2019,01:00:00,24.8,1008.46,100,93,6.00,23.6,1008.93,29.16,0.00,36.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.7,09-18-2019,01:00:00,25.2,1008.70,280,92,8.00,23.7,1009.39,29.36,0.00,15.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,09-18-2019,01:00:00,25.2,1007.86,000,89,7.00,23.3,1009.40,28.57,0.00,8.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,09-18-2019,01:00:00,24.2,1009.45,000,96,10.00,23.5,1010.37,28.88,0.20,65.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-18-2019,01:00:00,26.2,1008.99,000,88,10.00,24.0,1009.68,29.86,0.00,4.40
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-18-2019,01:00:00,23.4,1008.85,000,97,7.00,22.9,1009.66,28.00,0.00,5.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,09-18-2019,01:00:00,24.5,1008.63,000,93,10.00,23.3,1009.27,28.63,0.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,09-18-2019,01:00:00,24.7,1009.03,000,94,8.00,23.7,1009.43,29.25,0.00,17.20
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-18-2019,01:00:00,23.7,1007.06,000,98,6.00,23.4,1011.33,28.77,0.00,3.40
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-18-2019,01:00:00,23.3,1008.26,000,98,10.00,23.0,1009.90,28.08,0.00,8.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-18-2019,01:00:00,24.0,1006.58,000,95,10.00,23.1,1010.10,28.27,0.00,2.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,09-18-2019,01:00:00,25.8,1008.02,000,87,7.00,23.5,1009.38,28.87,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-18-2019,01:00:00,24.5,1009.45,000,96,10.00,23.8,1010.34,29.41,0.00,0.30
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-18-2019,01:00:00,23.9,1005.70,000,94,10.00,22.9,1009.31,27.84,0.00,1.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,09-18-2019,01:00:00,26.7,1009.33,000,88,10.00,24.5,1009.77,30.81,0.00,2.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,09-18-2019,01:00:00,25.3,1006.46,000,97,9.00,24.7,1007.46,31.14,0.00,27.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,09-18-2019,01:00:00,25.1,1008.40,000,91,10.00,23.5,1009.22,28.92,0.00,15.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-18-2019,01:00:00,25.5,1008.20,000,93,10.00,24.3,1010.03,30.44,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.9,09-18-2019,01:00:00,26.2,1008.93,060,87,10.00,23.9,1009.68,29.60,0.00,0.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,09-18-2019,01:00:00,25.3,1005.95,000,92,10.00,24.0,1009.98,29.80,0.00,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-18-2019,01:00:00,24.8,1009.53,000,87,10.00,22.6,1010.22,27.36,0.00,21.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-18-2019,01:00:00,24.5,1009.14,000,96,10.00,23.8,1010.26,29.41,0.00,6.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,09-18-2019,01:00:00,24.5,1007.21,000,93,10.00,23.3,1010.16,28.63,0.00,0.00
