WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,AirTemperature,WindSpeed,LandVisibility,RelativeHumidity,VaporPressure,DewPoint,Rainfall
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-09-2019,01:00:00,0.00,977.01,1007.02,25.0,0.0,8.00,92,29.00,23.5,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-09-2019,01:00:00,0.60,971.73,1007.32,25.5,0.0,6.00,88,28.59,23.3,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-09-2019,01:00:00,0.00,976.12,1005.82,26.1,0.0,10.00,82,27.83,22.9,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-09-2019,01:00:00,4.30,999.74,1007.06,26.0,0.0,8.00,89,30.03,24.1,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,210,07-09-2019,01:00:00,3.80,985.76,1005.50,28.7,3.7,11.00,75,29.43,23.8,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,320,07-09-2019,01:00:00,0.00,977.82,1006.29,28.3,3.7,15.00,66,25.25,21.3,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,240,07-09-2019,01:00:00,10.10,985.82,1005.89,27.9,3.7,10.00,82,30.64,24.4,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,170,07-09-2019,01:00:00,5.10,984.93,1006.63,27.0,3.7,8.00,88,31.38,24.8,5.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,07-09-2019,01:00:00,2.30,986.37,1005.80,27.4,0.0,10.00,90,33.01,25.7,2.30
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,190,07-09-2019,01:00:00,0.70,989.72,1006.41,27.7,5.6,6.00,89,33.05,25.7,0.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-09-2019,01:00:00,0.50,989.50,1006.91,26.8,0.0,7.00,90,31.55,24.9,0.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,07-09-2019,01:00:00,0.00,980.22,1005.87,28.0,0.0,10.00,80,30.28,24.3,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,260,07-09-2019,01:00:00,0.00,1001.23,1007.00,27.7,7.4,10.00,74,27.31,22.5,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-09-2019,01:00:00,0.00,991.47,1007.92,27.0,0.0,8.00,82,29.21,23.6,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,140,07-09-2019,01:00:00,26.60,985.33,1007.92,23.6,5.6,8.00,95,27.58,22.7,2.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,250,07-09-2019,01:00:00,0.00,994.24,1008.63,27.3,7.4,6.00,73,26.59,22.1,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,07-09-2019,01:00:00,1.20,991.00,1007.39,27.0,0.0,7.00,77,27.36,22.6,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,07-09-2019,01:00:00,0.01,1002.49,1007.71,27.2,0.0,10.00,90,32.61,25.5,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-09-2019,01:00:00,1.50,993.45,1006.66,26.5,0.0,10.00,89,30.97,24.6,1.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,07-09-2019,01:00:00,0.00,998.23,1007.56,26.8,0.0,10.00,76,26.74,22.2,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,210,07-09-2019,01:00:00,0.00,984.87,1006.41,28.7,5.6,10.00,72,28.35,23.2,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,200,07-09-2019,01:00:00,0.00,987.99,1005.47,26.8,5.6,8.00,82,28.84,23.4,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,200,07-09-2019,01:00:00,0.00,990.10,1005.89,27.5,5.6,10.00,81,29.60,23.9,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,07-09-2019,01:00:00,0.00,986.72,1005.48,28.6,0.0,8.00,80,31.46,24.9,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-09-2019,01:00:00,2.60,957.11,1008.84,23.2,0.0,4.00,90,25.44,21.4,0.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,140,07-09-2019,01:00:00,8.30,1003.87,1007.84,26.5,3.7,5.00,93,32.35,25.4,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,07-09-2019,01:00:00,5.50,913.59,1009.32,20.1,11.1,.50,99,23.28,19.9,0.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,07-09-2019,01:00:00,3.50,990.38,1006.34,27.3,0.0,8.00,89,32.25,25.3,3.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,07-09-2019,01:00:00,0.00,1003.70,1007.73,27.8,0.0,10.00,86,32.12,25.2,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-09-2019,01:00:00,0.00,998.44,1009.14,26.7,0.0,8.00,82,28.65,23.3,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,180,07-09-2019,01:00:00,0.00,1006.22,1008.14,27.6,9.3,8.00,77,28.45,23.2,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,240,07-09-2019,01:00:00,4.20,986.11,1006.93,27.5,7.4,10.00,80,29.33,23.7,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,220,07-09-2019,01:00:00,0.00,988.56,1006.15,28.0,9.3,10.00,77,29.19,23.6,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,210,07-09-2019,01:00:00,0.00,990.25,1006.26,29.5,5.6,10.00,71,29.33,23.7,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,07-09-2019,01:00:00,2.80,993.47,1007.52,26.9,0.0,10.00,89,31.46,24.9,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-09-2019,01:00:00,4.20,993.19,1008.10,25.7,0.0,9.00,94,31.08,24.7,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,270,07-09-2019,01:00:00,0.00,993.68,1008.36,27.1,9.3,7.00,82,29.39,23.8,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-09-2019,01:00:00,0.00,1004.62,1007.63,27.6,0.0,10.00,81,29.79,24.0,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-09-2019,01:00:00,26.60,999.99,1007.92,27.8,0.0,7.00,81,30.17,24.2,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,170,07-09-2019,01:00:00,0.00,1007.13,1008.24,27.5,7.4,8.00,76,27.73,22.8,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-09-2019,01:00:00,0.00,993.01,1007.65,28.0,0.0,10.00,85,31.95,25.1,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},210,07-09-2019,01:00:00,4.00,874.10,1009.45,19.4,9.3,.05,99,22.28,19.2,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,180,07-09-2019,01:00:00,0.00,1002.40,1008.28,27.5,9.3,10.00,75,27.47,22.6,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,240,07-09-2019,01:00:00,0.00,1007.73,1008.53,28.2,3.7,8.00,92,35.23,26.8,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,000,07-09-2019,01:00:00,0.00,1005.85,1006.29,28.6,0.0,10.00,79,30.90,24.6,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-09-2019,01:00:00,6.70,998.38,1009.78,25.2,0.0,4.00,94,30.15,24.2,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,210,07-09-2019,01:00:00,0.00,1007.98,1009.00,27.6,5.6,10.00,81,29.79,24.0,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,07-09-2019,01:00:00,0.00,1006.41,1008.23,27.3,0.0,8.00,81,29.23,23.7,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-09-2019,01:00:00,0.90,1007.97,1008.73,27.1,0.0,8.00,84,29.93,24.1,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,220,07-09-2019,01:00:00,6.00,1008.44,1009.15,27.1,7.4,10.00,89,31.85,25.1,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-09-2019,01:00:00,12.80,1008.04,1008.75,27.0,0.0,7.00,93,33.06,25.7,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,250,07-09-2019,01:00:00,0.00,986.70,1007.80,28.0,7.4,10.00,71,26.80,22.2,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,220,07-09-2019,01:00:00,0.30,990.89,1007.61,27.0,7.4,7.00,82,29.21,23.6,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,230,07-09-2019,01:00:00,0.00,992.01,1008.49,26.5,5.6,6.00,84,29.08,23.6,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,07-09-2019,01:00:00,0.00,985.42,1007.37,25.8,0.0,10.00,83,27.56,22.7,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,230,07-09-2019,01:00:00,0.00,964.90,1008.26,26.5,9.3,12.00,73,25.20,21.2,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,07-09-2019,01:00:00,0.00,987.26,1007.91,26.0,0.0,10.00,84,28.18,23.1,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,230,07-09-2019,01:00:00,0.01,988.02,1008.90,26.6,11.1,7.00,86,30.07,24.1,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,270,07-09-2019,01:00:00,0.10,1008.60,1009.03,28.5,7.4,10.00,77,29.87,24.0,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-09-2019,01:00:00,22.00,1006.64,1008.06,25.3,0.0,6.00,95,30.60,24.4,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-09-2019,01:00:00,2.90,1004.15,1009.11,25.5,0.0,7.00,97,31.79,25.1,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,07-09-2019,01:00:00,0.01,1005.84,1009.13,27.2,0.0,10.00,83,29.85,24.0,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,07-09-2019,01:00:00,0.00,1006.66,1007.77,26.5,0.0,10.00,88,30.43,24.3,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,07-09-2019,01:00:00,0.00,1008.67,1008.97,28.6,0.0,10.00,78,30.34,24.3,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,07-09-2019,01:00:00,0.00,1008.38,1008.87,28.5,0.0,10.00,77,29.87,24.0,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,230,07-09-2019,01:00:00,0.00,1007.63,1009.04,28.9,14.8,10.00,74,29.54,23.8,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,07-09-2019,01:00:00,0.00,1002.52,1010.59,25.5,3.7,10.00,90,29.38,23.7,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,07-09-2019,01:00:00,0.00,1008.55,1008.84,28.0,0.0,10.00,83,31.39,24.8,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,07-09-2019,01:00:00,0.00,1005.89,1009.02,28.5,0.0,10.00,81,31.54,24.9,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,07-09-2019,01:00:00,0.00,1002.35,1009.27,28.5,9.3,10.00,74,28.78,23.4,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,07-09-2019,01:00:00,0.00,1002.94,1008.56,26.5,0.0,7.00,88,30.43,24.3,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-09-2019,01:00:00,0.00,1008.73,1010.00,25.8,0.0,10.00,85,28.34,23.2,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,230,07-09-2019,01:00:00,0.00,1009.00,1009.43,27.5,3.7,11.00,74,27.21,22.5,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,07-09-2019,01:00:00,0.00,997.65,1010.09,23.5,0.0,8.00,93,26.91,22.3,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,240,07-09-2019,01:00:00,6.10,1008.82,1009.54,26.6,5.6,10.00,82,28.47,23.2,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,300,07-09-2019,01:00:00,0.00,1007.16,1009.59,28.3,5.6,10.00,68,26.03,21.8,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,280,07-09-2019,01:00:00,0.00,1009.03,1009.55,29.0,9.3,10.00,76,30.57,24.4,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,07-09-2019,01:00:00,0.00,1004.11,1009.27,27.4,0.0,8.00,82,29.96,24.1,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,07-09-2019,01:00:00,0.40,1009.26,1009.67,28.0,0.0,7.00,85,32.23,25.3,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,07-09-2019,01:00:00,0.00,1007.12,1009.90,26.5,0.0,8.00,92,31.79,25.1,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,240,07-09-2019,01:00:00,0.00,1009.38,1010.17,26.5,3.7,10.00,83,28.55,23.3,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,080,07-09-2019,01:00:00,2.60,1009.69,1010.15,24.3,9.3,6.00,93,28.28,23.1,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,07-09-2019,01:00:00,0.00,1009.94,1010.63,24.7,0.0,7.00,95,29.51,23.8,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,07-09-2019,01:00:00,0.20,1008.86,1010.41,25.0,0.0,6.00,93,29.52,23.8,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,07-09-2019,01:00:00,0.50,1010.27,1011.19,25.8,0.0,10.00,90,29.93,24.1,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,07-09-2019,01:00:00,0.00,1010.18,1010.87,27.5,0.0,8.00,83,30.42,24.3,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,07-09-2019,01:00:00,4.60,1010.31,1011.11,23.8,0.0,7.00,96,28.18,23.1,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,07-09-2019,01:00:00,0.00,1010.09,1010.73,25.3,0.0,10.00,89,28.75,23.4,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,07-09-2019,01:00:00,0.00,1010.16,1010.57,25.5,0.0,10.00,95,30.98,24.6,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,07-09-2019,01:00:00,0.00,1008.32,1012.58,24.7,0.0,6.00,94,29.25,23.7,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-09-2019,01:00:00,0.00,1009.18,1010.81,23.6,0.0,8.00,96,28.09,23.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-09-2019,01:00:00,0.00,1007.64,1011.15,24.5,0.0,7.00,96,29.41,23.8,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,07-09-2019,01:00:00,2.80,1009.33,1010.70,25.3,0.0,7.00,97,31.41,24.9,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-09-2019,01:00:00,1.30,1010.03,1010.92,26.0,0.0,10.00,92,30.84,24.6,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,07-09-2019,01:00:00,0.00,1007.45,1011.05,24.5,0.0,10.00,93,28.63,23.3,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-09-2019,01:00:00,0.00,1010.54,1010.97,27.5,0.0,10.00,85,31.25,24.8,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,07-09-2019,01:00:00,0.00,1009.47,1010.47,26.0,0.0,10.00,91,30.57,24.4,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,260,07-09-2019,01:00:00,0.00,1009.43,1010.25,27.5,9.3,10.00,79,29.06,23.6,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-09-2019,01:00:00,0.00,1009.48,1011.31,26.3,0.0,10.00,92,31.41,24.9,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,000,07-09-2019,01:00:00,8.80,1010.08,1010.84,25.2,0.0,10.00,87,27.80,22.8,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,07-09-2019,01:00:00,0.01,1007.00,1011.03,26.1,0.0,10.00,88,29.68,23.9,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-09-2019,01:00:00,34.10,1010.43,1011.11,25.9,0.0,10.00,93,31.19,24.7,10.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-09-2019,01:00:00,5.80,1009.88,1011.01,25.7,0.0,10.00,90,29.74,23.9,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,07-09-2019,01:00:00,6.40,1008.20,1011.15,25.3,0.0,10.00,92,29.54,23.8,0.00
