WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,AirTemperature,WindSpeed,LandVisibility,RelativeHumidity,VaporPressure,DewPoint,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-09-2019,01:00:00,1.20,977.01,1008.11,24.5,0.0,8.00,91,28.11,23.0,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-09-2019,01:00:00,2.40,844.34,1005.46,18.6,20.4,8.00,94,20.13,17.6,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,07-09-2019,01:00:00,1.90,962.22,1005.76,25.8,0.0,10.00,82,27.30,22.5,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-09-2019,01:00:00,2.00,960.52,1006.09,25.0,0.0,12.00,92,29.00,23.5,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-09-2019,01:00:00,7.40,969.45,1007.20,24.8,0.0,6.00,99,31.02,24.6,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,150,07-09-2019,01:00:00,0.00,961.11,1006.24,25.0,5.6,10.00,93,29.52,23.8,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-09-2019,01:00:00,0.01,980.98,1007.70,26.3,0.0,8.00,87,29.78,24.0,0.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,07-09-2019,01:00:00,2.20,985.65,1007.54,24.7,0.0,10.00,90,27.95,22.9,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-09-2019,01:00:00,57.30,984.67,1009.00,24.0,0.0,6.00,91,27.25,22.5,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,07-09-2019,01:00:00,9.90,972.99,1007.52,26.0,0.0,10.00,85,28.70,23.4,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-09-2019,01:00:00,0.00,973.58,1007.08,26.7,0.0,10.00,74,26.05,21.8,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,07-09-2019,01:00:00,3.60,988.54,1007.11,25.3,0.0,10.00,95,30.60,24.4,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-09-2019,01:00:00,0.00,984.15,1006.97,26.3,0.0,10.00,87,29.78,24.0,0.00
