WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,Rainfall,VaporPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.39,09-21-2019,04:00:00,270,62.20,24.1,24.5,97,11.20,29.93,7.4,8.00,1008.18
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.48,09-21-2019,04:00:00,000,23.30,23.4,24.7,92,0.00,28.72,0.0,10.00,1007.27
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.68,09-21-2019,04:00:00,080,21.80,23.8,24.5,96,0.00,29.41,5.6,6.00,1008.14
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.42,09-21-2019,04:00:00,000,1.00,23.8,24.5,96,0.00,29.41,0.0,7.00,1008.11
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.77,09-21-2019,04:00:00,000,0.20,23.7,24.6,95,0.00,29.33,0.0,8.00,1008.31
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.69,09-21-2019,04:00:00,000,3.40,23.6,24.8,93,0.00,29.16,0.0,10.00,1008.61
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.84,09-21-2019,04:00:00,000,0.00,24.6,25.8,93,0.00,31.00,0.0,10.00,1008.53
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.86,09-21-2019,04:00:00,000,0.00,22.7,23.2,97,0.00,27.66,0.0,8.00,1008.67
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.73,09-21-2019,04:00:00,000,8.30,24.0,24.4,97,0.00,29.75,0.0,5.00,1008.37
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.03,09-21-2019,04:00:00,000,4.00,23.8,24.4,97,0.00,29.49,0.0,7.00,1009.43
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.13,09-21-2019,04:00:00,000,0.00,22.9,23.9,94,0.00,27.84,0.0,7.00,1010.39
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.70,09-21-2019,04:00:00,000,7.60,23.3,24.0,96,0.00,28.53,0.0,7.00,1008.33
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.82,09-21-2019,04:00:00,000,0.00,23.3,24.0,96,0.00,28.53,0.0,7.00,1009.34
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.23,09-21-2019,04:00:00,000,1.10,23.5,23.9,97,0.00,28.86,0.0,7.00,1008.60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.63,09-21-2019,04:00:00,000,0.00,23.8,24.5,96,0.00,29.41,0.0,10.00,1008.52
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.45,09-21-2019,04:00:00,000,0.00,23.7,24.1,97,0.00,29.22,0.0,10.00,1009.05
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.19,09-21-2019,04:00:00,000,0.00,24.6,26.0,92,0.00,30.84,0.0,10.00,1008.63
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.57,09-21-2019,04:00:00,000,0.00,24.1,24.5,97,0.00,29.93,0.0,10.00,1008.57
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.19,09-21-2019,04:00:00,000,0.00,24.1,25.0,95,0.00,30.05,0.0,10.00,1009.01
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.10,09-21-2019,04:00:00,000,2.60,23.4,24.0,97,0.00,28.78,0.0,5.00,1008.94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.49,09-21-2019,04:00:00,260,0.00,23.4,24.9,92,0.00,28.82,9.3,4.00,1009.25
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.82,09-21-2019,04:00:00,270,0.20,23.7,24.0,98,0.00,29.30,3.7,3.00,1008.87
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.16,09-21-2019,04:00:00,000,0.20,23.0,24.6,91,0.00,28.03,0.0,7.00,1008.85
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.39,09-21-2019,04:00:00,000,0.00,23.8,24.7,95,0.00,29.51,0.0,10.00,1008.51
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.96,09-21-2019,04:00:00,000,0.00,23.8,24.5,96,0.00,29.41,0.0,7.00,1008.91
