WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,WindDirection,VaporPressure,DewPoint,WindSpeed,Rainfall,RelativeHumidity,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,15.00,08-28-2019,16:00:00,2.40,31.3,000,31.80,25.1,0.0,0.60,70,972.03,1002.27
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.00,08-28-2019,16:00:00,5.50,21.5,120,24.91,21.0,5.6,0.00,97,842.90,1002.05
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,15.00,08-28-2019,16:00:00,14.50,31.5,060,30.77,24.5,11.1,0.00,67,960.09,1002.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-28-2019,16:00:00,32.20,30.9,240,30.13,24.2,7.4,0.00,67,958.20,1002.76
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,08-28-2019,16:00:00,27.40,29.6,000,33.50,25.9,0.0,0.00,81,966.45,1003.48
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,08-28-2019,16:00:00,6.90,30.0,140,31.72,25.0,5.6,0.00,75,958.76,1003.03
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,08-28-2019,16:00:00,27.30,31.6,160,33.32,25.9,5.6,0.60,72,977.81,1003.98
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,13.00,08-28-2019,16:00:00,0.00,33.1,240,28.32,23.1,9.3,0.00,56,982.15,1003.36
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,08-28-2019,16:00:00,0.00,32.0,000,23.77,20.3,0.0,0.00,50,979.82,1003.39
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-28-2019,16:00:00,2.60,31.0,130,29.48,23.8,3.7,0.00,66,969.29,1003.11
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-28-2019,16:00:00,41.30,29.5,000,29.33,23.7,0.0,0.50,71,978.47,1005.68
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,08-28-2019,16:00:00,6.40,31.0,000,28.09,23.0,0.0,0.00,63,970.20,1003.11
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,08-28-2019,16:00:00,54.40,32.3,000,31.27,24.8,0.0,0.00,65,984.89,1002.98
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-28-2019,16:00:00,12.00,33.0,200,30.40,24.3,7.4,0.00,60,980.88,1003.13
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-28-2019,16:00:00,9.80,31.0,000,30.90,24.6,0.0,0.00,69,973.93,1003.25
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,08-28-2019,16:00:00,20.00,30.3,000,32.92,25.6,0.0,0.00,76,968.53,1003.43
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,17.00,08-28-2019,16:00:00,0.00,32.3,300,35.15,26.8,5.6,0.00,73,973.31,1002.32
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-28-2019,16:00:00,61.90,32.5,000,31.69,25.0,0.0,0.00,65,995.66,1002.80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,20.00,08-28-2019,16:00:00,0.00,31.2,340,36.06,27.2,5.6,0.00,79,983.64,1003.17
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-28-2019,16:00:00,0.01,32.3,000,30.40,24.3,0.0,0.00,63,975.37,1003.39
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,08-28-2019,16:00:00,0.01,32.0,010,31.81,25.1,9.3,0.00,67,983.32,1003.07
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-28-2019,16:00:00,1.40,29.5,000,33.58,26.0,0.0,0.40,81,982.26,1003.72
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,08-28-2019,16:00:00,4.20,31.5,270,29.63,23.9,3.7,0.00,64,983.87,1002.99
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,08-28-2019,16:00:00,23.00,29.6,120,31.20,24.7,5.6,0.00,75,987.64,1004.19
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,08-28-2019,16:00:00,3.70,31.7,000,32.94,25.7,0.0,0.00,70,987.00,1004.08
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,12.00,08-28-2019,16:00:00,16.80,32.0,340,31.81,25.1,3.7,0.00,67,977.26,1002.49
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-28-2019,16:00:00,10.00,32.7,000,31.82,25.1,0.0,0.00,64,997.57,1003.23
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,08-28-2019,16:00:00,24.10,32.5,020,31.40,24.9,5.6,0.00,64,997.31,1003.36
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-28-2019,16:00:00,0.00,30.6,000,28.42,23.2,0.0,0.00,65,987.73,1003.92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-28-2019,16:00:00,2.30,26.4,240,29.43,23.8,11.1,1.20,86,981.60,1003.89
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-28-2019,16:00:00,0.00,32.0,260,25.37,21.3,11.1,0.00,53,990.02,1004.13
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,08-28-2019,16:00:00,0.20,34.2,120,29.71,23.9,11.1,0.00,55,987.21,1003.15
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-28-2019,16:00:00,0.00,32.0,270,30.36,24.3,7.4,0.00,64,998.44,1003.56
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,08-28-2019,16:00:00,0.00,30.1,000,31.93,25.1,0.0,0.00,75,989.49,1002.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,08-28-2019,16:00:00,4.70,32.6,000,31.61,25.0,0.0,0.00,64,994.84,1003.96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-28-2019,16:00:00,1.80,30.0,180,32.30,25.3,5.6,0.01,76,981.70,1003.09
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,08-28-2019,16:00:00,1.90,33.5,240,33.25,25.8,11.1,0.00,64,985.71,1002.77
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,11.00,08-28-2019,16:00:00,1.60,31.5,050,33.40,25.9,5.6,0.00,72,987.49,1003.03
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-28-2019,16:00:00,0.60,30.4,000,35.81,27.1,0.0,0.20,82,983.60,1002.19
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.00,08-28-2019,16:00:00,0.40,29.5,000,25.30,21.3,0.0,0.00,61,954.65,1005.15
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,12.00,08-28-2019,16:00:00,0.00,33.6,320,30.20,24.2,3.7,0.00,58,999.45,1003.31
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.00,08-28-2019,16:00:00,0.40,23.9,230,24.86,21.0,7.4,0.01,84,910.68,1004.84
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,08-28-2019,16:00:00,0.00,31.3,000,35.06,26.7,0.0,0.00,77,987.45,1003.15
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,08-28-2019,16:00:00,0.00,32.6,360,34.29,26.3,3.7,0.00,70,999.59,1003.54
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,08-28-2019,16:00:00,0.00,33.3,300,27.59,22.7,5.6,0.00,54,993.70,1004.12
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,12.00,08-28-2019,16:00:00,0.00,34.5,300,29.46,23.8,5.6,0.00,54,1001.29,1003.17
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,14.00,08-28-2019,16:00:00,0.00,33.6,010,29.04,23.6,14.8,0.00,56,982.32,1002.64
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-28-2019,16:00:00,0.00,31.6,000,30.12,24.2,0.0,0.00,65,985.38,1002.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-28-2019,16:00:00,0.10,31.2,000,32.47,25.4,0.0,0.00,71,986.69,1002.55
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-28-2019,16:00:00,3.20,31.0,340,29.48,23.8,7.4,0.00,66,989.65,1003.45
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,08-28-2019,16:00:00,0.60,30.2,000,33.59,26.0,0.0,0.20,78,988.88,1003.50
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,08-28-2019,16:00:00,0.60,31.3,040,33.86,26.1,11.1,0.00,74,989.75,1004.17
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-28-2019,16:00:00,0.00,34.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.60,24.4,0.0,0.00,55,1000.41,1003.34
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,08-28-2019,16:00:00,0.00,33.8,000,31.21,24.8,0.0,0.00,59,995.10,1002.85
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-28-2019,16:00:00,0.00,33.4,230,30.95,24.6,9.3,0.00,60,1002.76,1003.84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,9.00,08-28-2019,16:00:00,5.50,31.4,100,34.98,26.7,3.7,0.00,76,990.81,1005.26
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,6.00,08-28-2019,16:00:00,0.50,21.9,280,23.64,20.2,5.6,0.00,90,870.76,1004.39
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-28-2019,16:00:00,0.00,33.1,000,32.38,25.4,0.0,0.00,64,997.45,1003.19
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10.00,08-28-2019,16:00:00,0.00,35.0,270,27.61,22.7,11.1,0.00,49,1002.96,1003.73
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-28-2019,16:00:00,0.00,31.2,210,30.73,24.5,14.8,0.00,68,1003.78,1004.22
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.00,08-28-2019,16:00:00,3.90,30.5,000,29.89,24.0,0.0,0.00,68,994.69,1005.85
