WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,Rainfall,StationPressure,VaporPressure,WindDirection,DewPoint,AirTemperature,WindSpeed
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.3,09-21-2019,07:00:00,10.00,1009.27,97,23.70,0.10,992.99,31.41,000,24.9,25.3,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.8,09-21-2019,07:00:00,10.00,1009.63,96,53.50,3.00,995.44,29.41,000,23.8,24.5,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.1,09-21-2019,07:00:00,9.00,1010.19,96,77.60,6.40,995.19,29.41,000,23.8,24.5,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.5,09-21-2019,07:00:00,7.00,1010.22,98,39.70,2.30,995.40,30.75,000,24.5,24.8,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.0,09-21-2019,07:00:00,6.00,1008.90,93,7.60,4.20,1005.85,29.16,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",23.6,24.8,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.0,09-21-2019,07:00:00,10.00,1009.04,93,3.20,0.20,1001.03,30.36,000,24.3,25.6,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.8,09-21-2019,07:00:00,8.00,1008.41,93,0.00,0.00,1007.30,32.07,000,25.2,26.5,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.9,09-21-2019,07:00:00,9.00,1007.21,91,14.70,0.00,992.50,31.71,000,25.0,26.6,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.1,09-21-2019,07:00:00,.10,1009.52,99,18.20,0.00,874.41,23.13,000,19.8,20.0,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.6,09-21-2019,07:00:00,10.00,1009.26,98,5.60,0.80,1003.32,30.56,000,24.4,24.7,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.0,09-21-2019,07:00:00,8.00,1009.22,96,18.10,0.00,1008.42,32.20,000,25.3,26.0,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.2,09-21-2019,07:00:00,10.00,1008.75,94,36.80,0.10,1008.30,31.65,120,25.0,26.0,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,09-21-2019,07:00:00,3.00,1009.34,97,49.20,0.00,997.91,29.49,000,23.8,24.4,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.0,09-21-2019,07:00:00,8.00,1009.17,97,11.70,0.00,1008.15,32.48,000,25.4,26.0,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.0,09-21-2019,07:00:00,4.00,1009.49,99,8.50,6.80,1007.65,31.39,000,24.8,25.0,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.4,09-21-2019,07:00:00,7.00,1008.98,99,50.50,0.00,1008.21,31.58,000,24.9,25.1,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.1,09-21-2019,07:00:00,10.00,1009.04,94,7.80,0.20,1008.33,31.27,020,24.8,25.8,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.8,09-21-2019,07:00:00,6.00,1008.64,94,0.00,0.00,1007.94,32.74,000,25.6,26.7,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.0,09-21-2019,07:00:00,9.00,1009.93,99,14.90,0.40,988.51,29.74,030,23.9,24.1,3.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.7,09-21-2019,07:00:00,6.00,1009.19,98,14.30,0.10,992.31,30.56,000,24.4,24.7,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,22.8,09-21-2019,07:00:00,8.00,1009.89,96,8.20,0.20,993.28,29.41,350,23.8,24.5,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.7,09-21-2019,07:00:00,9.00,1009.67,96,14.10,14.10,987.54,28.53,000,23.3,24.0,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.7,09-21-2019,07:00:00,2.00,1009.67,97,34.70,0.50,965.88,28.61,090,23.3,23.9,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.2,09-21-2019,07:00:00,10.00,1009.21,97,3.60,1.00,988.43,29.93,000,24.1,24.5,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.5,09-21-2019,07:00:00,5.00,1010.77,100,10.60,0.00,989.68,30.18,010,24.2,24.2,5.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.1,09-21-2019,07:00:00,8.00,1008.82,97,2.80,0.00,1008.38,31.79,000,25.1,25.5,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.7,09-21-2019,07:00:00,8.00,1008.62,96,0.00,0.00,1007.20,32.01,000,25.2,25.9,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.5,09-21-2019,07:00:00,7.00,1009.00,99,1.90,0.00,1004.03,32.73,000,25.5,25.7,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.4,09-21-2019,07:00:00,8.00,1008.87,94,2.40,0.00,1005.55,31.08,000,24.7,25.7,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.2,09-21-2019,07:00:00,10.00,1008.96,99,3.20,0.00,1007.85,31.58,000,24.9,25.1,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.8,09-21-2019,07:00:00,10.00,1008.85,94,1.60,0.30,1008.54,32.23,000,25.3,26.3,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,22.3,09-21-2019,07:00:00,10.00,1008.75,98,4.10,2.80,1008.06,33.75,000,26.1,26.5,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.5,09-21-2019,07:00:00,10.00,1008.32,98,5.40,0.00,1007.82,33.04,000,25.7,26.0,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.0,09-21-2019,07:00:00,8.00,1009.01,98,16.60,0.40,1007.59,32.26,000,25.3,25.6,0.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.4,09-21-2019,07:00:00,10.00,1008.09,96,28.20,0.00,1006.42,35.65,010,27.0,27.7,13.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.7,09-21-2019,07:00:00,10.00,1010.86,97,0.00,0.00,1002.77,30.58,000,24.4,25.0,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.5,09-21-2019,07:00:00,10.00,1007.20,98,3.00,2.50,1006.91,32.76,090,25.6,26.0,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.0,09-21-2019,07:00:00,10.00,1008.82,96,8.90,0.70,1005.67,32.20,000,25.3,26.0,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.4,09-21-2019,07:00:00,10.00,1008.55,95,20.20,0.00,1001.58,31.93,000,25.1,26.0,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.4,09-21-2019,07:00:00,8.00,1009.40,92,11.30,0.00,1003.77,30.84,000,24.6,26.0,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.0,09-21-2019,07:00:00,8.00,1010.36,96,10.80,10.80,1000.97,31.25,000,24.8,25.5,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.1,09-21-2019,07:00:00,3.00,1009.62,97,0.00,0.00,1008.35,31.79,320,25.1,25.5,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.5,09-21-2019,07:00:00,11.00,1008.72,96,3.50,0.00,1008.29,30.87,000,24.6,25.3,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.7,09-21-2019,07:00:00,10.00,1009.17,98,51.70,0.00,996.72,27.57,000,22.7,23.0,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.5,09-21-2019,07:00:00,10.00,1008.52,94,59.80,0.00,1007.80,29.61,300,23.9,24.9,9.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.4,09-21-2019,07:00:00,10.00,1008.64,94,2.90,1.00,1006.19,31.08,240,24.7,25.7,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,09-21-2019,07:00:00,8.00,1008.79,92,42.40,0.20,1008.26,31.79,030,25.1,26.5,5.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.1,09-21-2019,07:00:00,10.00,1008.92,96,15.60,0.20,1003.73,31.25,000,24.8,25.5,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.5,09-21-2019,07:00:00,7.00,1007.82,97,63.60,8.70,1007.40,30.58,000,24.4,25.0,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.2,09-21-2019,07:00:00,8.00,1008.71,97,62.20,0.00,1005.92,30.48,000,24.4,24.8,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.0,09-21-2019,07:00:00,10.00,1009.09,92,23.30,0.00,1008.29,29.00,000,23.5,25.0,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.8,09-21-2019,07:00:00,5.00,1009.76,98,17.50,8.20,1009.30,30.20,320,24.2,24.5,1.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,09-21-2019,07:00:00,10.00,1009.70,97,1.00,0.00,1009.01,30.22,000,24.2,24.8,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.8,09-21-2019,07:00:00,8.00,1009.41,95,0.20,0.00,1007.86,27.92,000,22.9,23.8,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,09-21-2019,07:00:00,10.00,1009.94,93,0.90,0.00,1009.02,28.10,060,23.0,24.2,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.9,09-21-2019,07:00:00,12.00,1009.67,93,0.00,0.00,1008.97,30.54,000,24.4,25.7,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.0,09-21-2019,07:00:00,9.00,1009.78,97,0.00,0.00,1008.97,27.83,000,22.8,23.3,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.5,09-21-2019,07:00:00,9.00,1009.50,98,8.30,0.00,1008.85,29.30,000,23.7,24.0,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.8,09-21-2019,07:00:00,6.00,1009.13,96,4.00,0.00,1008.72,28.88,000,23.5,24.2,0.0
