WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,LandVisibility,AirTemperature,VaporPressure,MaximumTemperature,Rainfall,WindDirection,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-16-2019,19:00:00,81,12.00,27.4,29.69,33.7,0.01,000,0.01,980.65,1011.57,23.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,11.1,10-16-2019,19:00:00,94,8.00,18.6,20.13,20.0,0.00,120,2.70,849.69,1011.83,17.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,10-16-2019,19:00:00,72,12.00,26.8,25.21,32.0,0.00,000,0.00,968.33,1012.00,21.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-16-2019,19:00:00,75,15.00,27.0,26.58,32.5,0.00,000,0.00,966.50,1012.04,22.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-16-2019,19:00:00,97,8.00,24.0,28.78,31.1,0.00,000,2.30,975.29,1013.37,23.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-16-2019,19:00:00,81,10.00,26.2,27.49,32.0,0.00,000,36.20,967.41,1012.66,22.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.4,10-16-2019,19:00:00,80,10.00,27.4,29.15,33.5,0.00,070,0.00,985.99,1012.75,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-16-2019,19:00:00,81,14.00,27.9,30.37,32.7,0.00,000,11.00,989.64,1011.38,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-16-2019,19:00:00,79,8.00,28.4,30.51,34.4,0.00,000,0.30,987.41,1011.45,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,10-16-2019,19:00:00,68,12.00,29.5,27.96,33.0,0.00,000,0.01,977.24,1011.51,22.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-16-2019,19:00:00,74,10.00,27.5,27.21,33.0,0.00,000,0.00,984.72,1012.28,22.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-16-2019,19:00:00,86,10.00,26.2,29.33,32.5,6.60,000,18.20,978.06,1011.77,23.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,10-16-2019,19:00:00,88,7.00,27.0,31.38,36.0,0.00,000,4.20,992.82,1011.37,24.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-16-2019,19:00:00,85,10.00,26.2,29.07,32.8,1.60,000,1.90,989.46,1012.42,23.6
