WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,MaximumTemperature,StationPressure
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,71,07-12-2019,19:00:00,24.3,30.0,30.31,210,1008.14,12.00,0.00,0.00,5.6,32.0,1001.26
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,60,07-12-2019,19:00:00,23.9,32.6,29.58,000,1007.37,7.00,0.00,0.00,0.0,36.0,1001.88
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,68,07-12-2019,19:00:00,24.0,30.5,29.89,210,1009.69,10.00,0.00,0.00,11.1,33.5,1000.46
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,66,07-12-2019,19:00:00,23.6,30.7,29.17,140,1008.41,12.00,0.00,0.00,7.4,36.5,1007.16
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,67,07-12-2019,19:00:00,24.6,31.4,30.86,170,1008.10,11.00,0.00,0.00,11.1,34.3,1007.68
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,66,07-12-2019,19:00:00,23.6,30.7,29.17,000,1007.77,10.00,0.00,0.00,0.0,35.5,995.66
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,72,07-12-2019,19:00:00,24.8,30.5,31.31,150,1008.16,10.00,0.00,0.00,3.7,32.4,1007.46
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,67,07-12-2019,19:00:00,23.4,30.2,28.75,190,1008.89,10.00,0.00,0.00,14.8,34.4,1006.47
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,74,07-12-2019,19:00:00,24.7,29.8,31.03,230,1008.81,10.00,0.00,0.00,9.3,32.0,1008.29
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,70,07-12-2019,19:00:00,23.6,29.7,29.16,160,1008.55,14.00,0.00,0.00,1.9,35.0,1003.44
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,70,07-12-2019,19:00:00,24.1,30.1,29.94,190,1008.90,7.00,1.30,0.00,7.4,33.9,1008.49
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,83,07-12-2019,19:00:00,25.5,28.8,32.71,000,1009.49,10.00,0.50,0.00,0.0,33.2,1006.73
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,77,07-12-2019,19:00:00,26.5,31.1,34.63,000,1008.42,10.00,0.00,0.00,0.0,34.5,1007.65
48501,TRAD,ตราด,ตราด,11.76667,102.88333,87,07-12-2019,19:00:00,26.6,29.0,34.87,000,1009.60,8.00,0.00,0.00,0.0,32.5,1009.14
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,73,07-12-2019,19:00:00,25.4,30.9,32.42,150,1009.32,8.00,0.00,0.00,5.6,35.4,1008.65
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,68,07-12-2019,19:00:00,25.2,32.0,32.10,000,1008.73,9.00,0.00,0.00,0.0,36.0,1007.22
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,71,07-12-2019,19:00:00,23.7,29.5,29.33,000,1009.84,10.00,0.00,0.00,0.0,33.6,1008.93
