WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-08-2019,16:00:00,3.10,120,15.00,24.1,3.10,1008.03,1.9,70,977.50,29.94,30.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-08-2019,16:00:00,0.00,100,8.00,18.9,0.00,1007.77,7.4,88,847.47,21.87,21.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-08-2019,16:00:00,0.00,000,10.00,18.3,0.00,1008.47,0.0,41,965.88,20.99,33.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-08-2019,16:00:00,0.00,000,15.00,19.4,0.00,1008.01,0.0,44,963.54,22.53,33.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-08-2019,16:00:00,0.00,000,10.00,21.3,0.00,1008.70,0.0,61,971.46,25.30,29.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-08-2019,16:00:00,0.00,310,10.00,23.6,0.00,1008.45,5.6,61,964.25,29.14,32.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-08-2019,16:00:00,0.00,310,12.00,21.3,4.60,1009.72,5.6,69,983.04,25.40,27.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-08-2019,16:00:00,0.80,180,13.00,23.5,2.70,1008.80,3.7,61,987.40,28.94,32.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-08-2019,16:00:00,0.00,000,10.00,23.6,0.00,1007.74,0.0,59,984.13,29.13,32.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-08-2019,16:00:00,0.00,080,12.00,19.5,0.00,1009.32,5.6,48,975.38,22.64,31.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-08-2019,16:00:00,5.70,310,10.00,22.8,5.70,1008.78,5.6,55,981.81,27.75,33.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-08-2019,16:00:00,0.00,000,15.00,20.3,0.00,1008.46,0.0,47,975.60,23.74,33.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-08-2019,16:00:00,0.00,180,10.00,23.3,0.00,1007.90,5.6,55,989.79,28.56,33.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-08-2019,16:00:00,0.00,000,10.00,22.5,0.00,1008.31,0.0,51,986.02,27.29,34.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-08-2019,16:00:00,0.00,000,12.00,21.9,0.00,1008.36,0.0,51,979.13,26.31,33.5
