WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,RelativeHumidity,WindDirection,MeanSeaLevelPressure,MaximumTemperature,LandVisibility
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.20,07-25-2019,19:00:00,0.80,28.77,0.0,991.17,25.6,23.4,88,000,1007.41,29.8,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,39.30,07-25-2019,19:00:00,0.00,30.21,5.6,993.55,29.1,24.2,75,300,1007.49,31.7,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.40,07-25-2019,19:00:00,0.00,31.54,0.0,993.19,28.5,24.9,81,000,1007.96,32.5,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,16.40,07-25-2019,19:00:00,0.00,31.13,0.0,993.59,29.0,24.7,78,000,1008.18,31.6,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.01,07-25-2019,19:00:00,0.01,30.12,0.0,1005.06,28.2,24.2,79,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.07,34.6,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.90,07-25-2019,19:00:00,0.10,32.88,0.0,999.20,28.6,25.6,84,000,1007.11,33.2,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1.90,07-25-2019,19:00:00,1.90,29.56,14.8,1006.02,26.9,23.8,83,180,1007.13,32.6,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,21.00,07-25-2019,19:00:00,5.80,35.59,0.0,993.57,30.3,27.0,82,000,1008.11,32.4,7.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10.20,07-25-2019,19:00:00,0.01,22.15,9.3,873.91,19.3,19.1,99,190,1009.29,21.0,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-25-2019,19:00:00,0.00,27.60,3.7,1001.88,30.6,22.7,63,210,1007.69,33.5,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.70,07-25-2019,19:00:00,0.00,32.20,3.7,1008.15,27.7,25.3,87,180,1008.95,34.9,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.30,07-25-2019,19:00:00,0.01,29.69,0.0,1008.49,27.4,23.9,81,000,1008.94,31.0,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.40,07-25-2019,19:00:00,1.60,28.07,0.0,998.87,25.5,23.0,86,000,1010.26,30.5,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-25-2019,19:00:00,0.00,28.37,16.7,1008.00,29.0,23.2,71,240,1009.01,34.5,10.00
