WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,RelativeHumidity,Rainfall,WindDirection,LandVisibility,VaporPressure,DewPoint,StationPressure,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.0,07-10-2019,16:00:00,0.0,80,0.10,000,10.00,31.98,25.2,973.83,1004.37,1.90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.8,07-10-2019,16:00:00,3.7,93,0.00,270,8.00,22.71,19.5,842.98,1002.55,7.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,31.2,07-10-2019,16:00:00,7.4,56,0.00,220,10.00,25.22,21.2,960.07,1002.73,0.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.0,07-10-2019,16:00:00,25.9,54,0.00,210,15.00,24.07,20.5,958.41,1002.96,0.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.5,07-10-2019,16:00:00,0.0,57,0.00,000,10.00,26.32,21.9,967.36,1004.19,3.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.1,07-10-2019,16:00:00,7.4,59,0.00,180,11.00,26.65,22.1,959.57,1003.71,0.20
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.2,07-10-2019,16:00:00,5.6,65,0.01,160,10.00,29.32,23.7,978.39,1004.61,0.20
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.6,07-10-2019,16:00:00,9.3,59,0.00,240,12.00,27.32,22.5,983.78,1005.12,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.8,07-10-2019,16:00:00,0.0,84,0.50,000,8.00,31.28,24.8,982.32,1006.28,1.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.0,07-10-2019,16:00:00,7.4,58,0.01,230,10.00,26.19,21.9,971.54,1005.45,1.70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,34.2,07-10-2019,16:00:00,9.3,48,0.00,190,10.00,26.01,21.7,977.02,1003.76,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.5,07-10-2019,16:00:00,0.0,57,0.00,000,10.00,26.32,21.9,971.20,1004.08,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.5,07-10-2019,16:00:00,11.1,74,2.10,200,15.00,32.46,25.4,985.96,1004.18,2.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.5,07-10-2019,16:00:00,0.0,62,0.00,000,10.00,30.24,24.2,981.74,1004.05,0.40
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.8,07-10-2019,16:00:00,0.0,58,0.00,000,12.00,27.43,22.6,974.73,1003.99,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,33.0,07-10-2019,16:00:00,0.0,53,0.00,000,8.00,26.72,22.2,969.08,1003.69,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.6,07-10-2019,16:00:00,0.0,57,0.00,000,15.00,28.17,23.0,974.71,1003.73,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.1,07-10-2019,16:00:00,7.4,63,0.00,170,10.00,30.28,24.2,998.99,1006.17,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.0,07-10-2019,16:00:00,3.7,61,0.00,290,15.00,30.69,24.5,984.03,1003.46,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,34.0,07-10-2019,16:00:00,13.0,48,0.00,250,15.00,25.35,21.3,976.07,1003.95,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.0,07-10-2019,16:00:00,7.4,61,0.00,150,12.00,30.69,24.5,983.95,1003.65,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,33.0,07-10-2019,16:00:00,7.4,66,0.00,200,15.00,33.06,25.7,983.92,1005.17,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.4,07-10-2019,16:00:00,5.6,64,0.00,220,15.00,30.90,24.6,984.98,1004.05,0.10
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.3,07-10-2019,16:00:00,0.0,62,0.00,000,12.00,30.12,24.2,988.33,1004.74,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.5,07-10-2019,16:00:00,3.7,67,0.00,120,12.00,32.87,25.6,987.71,1004.76,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.0,07-10-2019,16:00:00,3.7,66,0.00,320,15.00,29.48,23.8,977.94,1003.27,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.5,07-10-2019,16:00:00,0.0,64,0.00,000,10.00,31.11,24.7,1000.30,1005.98,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.5,07-10-2019,16:00:00,7.4,62,0.00,180,12.00,30.24,24.2,999.39,1005.46,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.0,07-10-2019,16:00:00,0.0,66,0.00,000,10.00,29.48,23.8,989.88,1006.08,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.5,07-10-2019,16:00:00,0.0,77,0.10,000,10.00,28.26,23.1,983.53,1005.78,11.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.8,07-10-2019,16:00:00,14.8,62,0.00,270,6.00,27.43,22.6,992.70,1006.90,1.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,30.6,07-10-2019,16:00:00,11.1,60,0.00,270,12.00,26.52,22.1,989.50,1005.66,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.1,07-10-2019,16:00:00,3.7,63,0.01,120,10.00,29.99,24.1,1000.73,1005.86,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.7,07-10-2019,16:00:00,0.0,62,0.00,000,12.00,28.91,23.5,991.67,1004.63,3.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.7,07-10-2019,16:00:00,3.7,58,0.00,280,11.00,28.93,23.5,996.74,1005.88,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,34.2,07-10-2019,16:00:00,7.4,50,0.00,240,10.00,26.85,22.3,983.17,1004.29,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,36.0,07-10-2019,16:00:00,11.1,46,0.00,220,12.00,27.07,22.4,987.74,1004.70,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.5,07-10-2019,16:00:00,7.4,56,0.00,250,12.00,28.84,23.4,988.70,1004.15,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,32.0,07-10-2019,16:00:00,7.4,71,0.00,040,10.00,33.88,26.1,985.18,1003.69,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,28.2,07-10-2019,16:00:00,0.0,65,0.00,000,11.00,24.82,21.0,954.49,1005.21,1.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.0,07-10-2019,16:00:00,0.0,72,0.10,000,8.00,32.34,25.4,1001.78,1005.68,7.80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.6,07-10-2019,16:00:00,14.8,96,3.10,220,.70,24.83,21.0,911.23,1006.21,9.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.4,07-10-2019,16:00:00,0.0,57,0.01,000,8.00,29.50,23.8,988.28,1003.88,0.01
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.0,07-10-2019,16:00:00,1.9,61,0.01,200,10.00,32.23,25.3,1001.83,1005.77,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.5,07-10-2019,16:00:00,7.4,56,0.00,210,10.00,28.84,23.4,996.28,1006.72,0.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.0,07-10-2019,16:00:00,0.0,63,0.00,000,10.00,31.57,24.9,1004.00,1005.89,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,34.1,07-10-2019,16:00:00,18.5,58,0.00,240,12.00,31.26,24.8,985.18,1005.53,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.7,07-10-2019,16:00:00,0.0,54,0.00,000,10.00,26.69,22.2,987.17,1004.46,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.0,07-10-2019,16:00:00,7.4,60,0.00,160,10.00,28.66,23.3,988.35,1004.21,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,33.1,07-10-2019,16:00:00,0.0,58,0.00,000,10.00,29.17,23.6,991.89,1005.62,7.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.1,07-10-2019,16:00:00,0.0,73,0.00,000,10.00,33.14,25.8,991.19,1005.80,47.60
