WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,LandVisibility,VaporPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature,DewPoint,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.45,08-25-2019,10:00:00,976.64,8.00,30.67,0.0,0.30,85,30.60,27.2,24.5,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.63,08-25-2019,10:00:00,845.18,5.00,22.24,0.0,0.00,95,8.50,20.0,19.2,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.06,08-25-2019,10:00:00,963.83,12.00,29.68,0.0,0.00,77,0.00,28.4,23.9,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.08,08-25-2019,10:00:00,961.80,15.00,30.86,5.6,0.00,85,3.00,27.3,24.6,110
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.82,08-25-2019,10:00:00,971.34,8.00,32.36,0.0,0.00,88,10.20,27.5,25.4,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.17,08-25-2019,10:00:00,962.44,12.00,29.74,5.6,0.00,79,3.80,28.0,23.9,200
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.83,08-25-2019,10:00:00,981.41,10.00,31.32,5.6,0.00,75,0.70,29.8,24.8,200
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.91,08-25-2019,10:00:00,986.21,15.00,31.33,0.0,0.00,86,2.90,27.4,24.8,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.67,08-25-2019,10:00:00,983.68,8.00,27.14,0.0,0.00,72,5.40,27.9,22.4,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.33,08-25-2019,10:00:00,973.03,10.00,30.01,0.0,0.00,79,5.80,28.0,24.1,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.74,08-25-2019,10:00:00,980.33,10.00,29.36,0.0,0.00,79,0.20,27.8,23.7,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.50,08-25-2019,10:00:00,974.07,10.00,29.60,0.0,0.00,81,3.60,27.5,23.9,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.14,08-25-2019,10:00:00,988.85,10.00,31.44,11.1,0.00,74,4.50,30.0,24.9,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.17,08-25-2019,10:00:00,984.51,10.00,32.02,0.0,0.00,82,3.40,28.6,25.2,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.28,08-25-2019,10:00:00,977.57,10.00,29.85,0.0,0.00,78,17.90,28.2,24.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.53,08-25-2019,10:00:00,972.22,7.00,31.95,0.0,0.00,85,0.01,28.0,25.1,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.53,08-25-2019,10:00:00,977.01,15.00,31.87,3.7,0.00,84,1.20,28.1,25.1,280
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.85,08-25-2019,10:00:00,1000.55,7.00,33.78,0.0,5.70,92,7.30,27.5,26.1,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1005.88,08-25-2019,10:00:00,986.19,15.00,33.58,5.6,0.00,81,0.40,29.5,26.0,220
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.78,08-25-2019,10:00:00,978.45,15.00,29.75,3.7,0.00,70,1.20,30.0,24.0,200
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.51,08-25-2019,10:00:00,986.48,15.00,30.18,7.4,0.00,76,44.10,28.8,24.2,260
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.38,08-25-2019,10:00:00,985.67,12.00,32.13,0.0,1.80,90,5.90,27.1,25.2,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.34,08-25-2019,10:00:00,986.88,10.00,31.38,0.0,6.70,88,17.80,27.0,24.8,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1006.93,08-25-2019,10:00:00,990.35,13.00,29.36,0.0,0.00,70,51.90,29.8,23.7,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.20,08-25-2019,10:00:00,989.87,11.00,30.67,0.0,0.00,80,29.90,28.2,24.5,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1006.02,08-25-2019,10:00:00,980.42,12.00,31.54,5.6,0.00,81,24.50,28.5,24.9,230
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.98,08-25-2019,10:00:00,1002.20,8.00,34.36,5.6,0.00,94,3.30,27.5,26.4,140
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1008.18,08-25-2019,10:00:00,1001.99,8.00,33.46,0.0,0.00,93,12.20,27.2,25.9,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.48,08-25-2019,10:00:00,992.03,10.00,29.85,5.6,0.00,83,19.90,27.2,24.0,190
