WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,LandVisibility,VaporPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature,DewPoint,WindDirection
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1006.44,08-25-2019,10:00:00,984.14,10.00,28.94,0.0,0.00,81,13.60,27.0,23.5,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.52,08-25-2019,10:00:00,994.12,8.00,30.67,0.0,0.00,85,0.00,27.2,24.5,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1008.07,08-25-2019,10:00:00,991.67,7.00,30.02,0.0,0.00,84,1.80,27.0,24.1,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.33,08-25-2019,10:00:00,1003.11,10.00,30.56,7.4,0.00,81,29.80,28.0,24.4,150
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.95,08-25-2019,10:00:00,993.74,10.00,31.55,0.0,0.00,90,14.60,26.8,24.9,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.06,08-25-2019,10:00:00,998.75,10.00,31.72,7.4,0.00,86,26.50,27.6,25.0,120
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.47,08-25-2019,10:00:00,985.75,10.00,31.71,0.0,0.10,91,7.50,26.6,25.0,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.42,08-25-2019,10:00:00,989.92,10.00,30.02,13.0,5.00,84,8.50,27.0,24.1,300
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.27,08-25-2019,10:00:00,990.43,10.00,30.34,0.0,0.20,87,25.70,26.6,24.3,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.53,08-25-2019,10:00:00,987.67,7.00,30.67,0.0,0.01,85,3.20,27.2,24.5,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.05,08-25-2019,10:00:00,956.66,11.00,27.19,0.0,0.00,86,1.50,25.0,22.5,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.96,08-25-2019,10:00:00,1004.01,8.00,32.60,3.7,0.00,87,17.70,27.9,25.5,140
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1007.94,08-25-2019,10:00:00,913.33,7.00,25.03,9.3,0.00,87,4.30,23.4,21.1,180
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.33,08-25-2019,10:00:00,991.31,8.00,31.33,0.0,0.00,91,21.50,26.4,24.8,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.19,08-25-2019,10:00:00,1004.18,6.00,33.57,3.7,0.00,85,4.30,28.8,26.0,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.91,08-25-2019,10:00:00,998.26,9.00,31.95,0.0,0.00,85,18.60,28.0,25.1,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.84,08-25-2019,10:00:00,1005.92,10.00,32.55,3.7,0.00,81,3.40,29.0,25.5,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.01,08-25-2019,10:00:00,987.13,6.00,30.02,5.6,0.50,84,7.60,27.0,24.1,270
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.12,08-25-2019,10:00:00,989.40,10.00,30.84,7.4,0.01,92,35.40,26.0,24.6,260
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.01,08-25-2019,10:00:00,990.82,10.00,30.78,9.3,0.20,89,38.70,26.4,24.5,250
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.86,08-25-2019,10:00:00,993.74,10.00,31.25,5.6,2.70,96,21.90,25.5,24.8,230
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.08,08-25-2019,10:00:00,993.20,9.00,31.41,3.7,0.80,92,14.30,26.3,24.9,230
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.70,08-25-2019,10:00:00,993.97,7.00,32.95,5.6,2.40,98,38.80,26.1,25.7,220
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.71,08-25-2019,10:00:00,1004.71,10.00,31.36,0.0,0.00,77,3.50,29.4,24.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.01,08-25-2019,10:00:00,1000.08,10.00,32.35,0.0,0.00,85,161.00,28.2,25.4,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.02,08-25-2019,10:00:00,1007.92,8.00,29.30,11.1,0.00,68,1.20,30.2,23.7,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.45,08-25-2019,10:00:00,989.84,8.00,32.12,3.7,1.70,86,38.40,27.8,25.2,090
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.76,08-25-2019,10:00:00,874.54,.10,22.85,3.7,0.00,99,19.20,19.8,19.6,020
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.53,08-25-2019,10:00:00,1002.67,9.00,31.74,0.0,0.00,81,29.00,28.6,25.0,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.49,08-25-2019,10:00:00,1007.70,9.00,29.51,0.0,0.00,62,0.00,32.0,23.8,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.17,08-25-2019,10:00:00,1007.73,10.00,30.98,18.5,0.00,69,0.40,30.9,24.6,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.89,08-25-2019,10:00:00,997.61,4.00,32.07,0.0,0.00,84,7.40,28.2,25.2,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.69,08-25-2019,10:00:00,1007.69,12.00,30.09,0.0,0.00,69,0.00,30.6,24.1,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.55,08-25-2019,10:00:00,1006.75,8.00,29.66,3.7,0.00,70,1.90,30.1,23.9,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.48,08-25-2019,10:00:00,1007.72,9.00,29.52,0.0,0.00,71,4.60,29.6,23.8,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.62,08-25-2019,10:00:00,1007.92,10.00,28.70,14.8,0.00,65,0.10,30.6,23.4,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.47,08-25-2019,10:00:00,1007.77,8.00,33.81,5.6,0.00,75,9.40,31.0,26.1,270
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.13,08-25-2019,10:00:00,987.09,10.00,29.54,5.6,0.00,74,0.90,28.9,23.8,240
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1007.61,08-25-2019,10:00:00,990.92,7.00,31.08,5.6,0.00,84,51.90,27.7,24.7,210
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.05,08-25-2019,10:00:00,991.66,8.00,32.52,0.0,0.00,86,58.50,28.0,25.4,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.12,08-25-2019,10:00:00,986.33,10.00,28.95,5.6,0.00,75,0.01,28.3,23.5,270
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.27,08-25-2019,10:00:00,965.12,15.00,27.85,11.1,0.00,74,0.60,28.0,22.9,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.76,08-25-2019,10:00:00,987.36,8.00,29.33,11.1,0.00,71,14.00,29.5,23.7,300
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.27,08-25-2019,10:00:00,988.41,9.00,33.14,13.0,0.00,94,7.60,26.9,25.8,250
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.07,08-25-2019,10:00:00,1008.64,10.00,29.47,5.6,0.00,69,0.00,30.0,23.8,170
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.45,08-25-2019,10:00:00,1007.03,10.00,33.33,0.0,0.10,86,3.60,28.4,25.9,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.30,08-25-2019,10:00:00,1003.40,8.00,33.50,0.0,0.00,81,37.90,29.6,25.9,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.45,08-25-2019,10:00:00,1005.19,12.00,29.19,7.4,0.00,69,0.01,30.0,23.6,190
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.82,08-25-2019,10:00:00,1007.72,10.00,30.87,0.0,0.00,73,0.01,30.0,24.6,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.88,08-25-2019,10:00:00,1008.58,10.00,30.49,11.1,0.00,66,1.10,31.5,24.4,200
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.71,08-25-2019,10:00:00,1008.03,10.00,29.27,5.6,0.00,63,0.00,31.6,23.7,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.28,08-25-2019,10:00:00,1007.80,10.00,27.76,3.7,0.00,60,0.00,31.4,22.8,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.55,08-25-2019,10:00:00,1007.16,10.00,29.96,7.4,0.00,66,3.60,31.1,24.1,200
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.78,08-25-2019,10:00:00,1007.11,10.00,35.08,16.7,0.00,87,0.00,29.1,26.7,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.62,08-25-2019,10:00:00,1002.66,10.00,30.47,3.7,0.00,73,2.90,29.8,24.4,230
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.04,08-25-2019,10:00:00,1007.76,10.00,30.05,7.4,0.00,67,0.60,31.0,24.1,270
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.39,08-25-2019,10:00:00,1005.29,10.00,31.23,5.6,0.00,71,0.00,30.6,24.8,200
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.80,08-25-2019,10:00:00,1001.91,10.00,29.75,13.0,0.00,70,0.20,30.0,24.0,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.41,08-25-2019,10:00:00,1002.86,7.00,33.25,11.1,0.00,79,7.10,29.9,25.8,290
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1008.97,08-25-2019,10:00:00,999.74,10.00,30.62,14.8,0.00,71,0.00,30.3,24.4,260
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.30,08-25-2019,10:00:00,1008.05,14.00,29.53,7.4,0.00,67,0.00,30.6,23.8,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.70,08-25-2019,10:00:00,1008.28,11.00,31.23,0.0,0.00,74,0.01,29.9,24.8,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.84,08-25-2019,10:00:00,996.62,8.00,31.54,0.0,0.30,81,1.80,28.5,24.9,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.77,08-25-2019,10:00:00,1008.06,10.00,30.31,5.6,0.00,71,0.00,30.0,24.3,200
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.85,08-25-2019,10:00:00,1006.44,10.00,30.20,14.8,0.00,65,3.50,31.5,24.2,240
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.04,08-25-2019,10:00:00,1008.52,8.00,30.29,9.3,0.00,76,0.40,29.0,24.3,220
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.83,08-25-2019,10:00:00,1003.71,16.00,30.39,3.7,0.00,72,1.80,29.9,24.3,200
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.94,08-25-2019,10:00:00,1008.53,7.00,32.51,5.6,1.70,83,49.20,28.7,25.4,220
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.10,08-25-2019,10:00:00,1006.33,8.00,33.78,0.0,1.60,92,11.60,27.5,26.1,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.13,08-25-2019,10:00:00,1008.34,10.00,28.50,9.3,0.00,69,0.20,29.5,23.2,200
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.13,08-25-2019,10:00:00,1008.67,6.00,33.01,0.0,0.40,90,6.60,27.4,25.7,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.38,08-25-2019,10:00:00,1009.69,7.00,29.54,13.0,1.20,85,6.30,26.6,23.8,280
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.09,08-25-2019,10:00:00,1008.55,7.00,29.27,5.6,4.60,84,7.60,26.6,23.7,250
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.46,08-25-2019,10:00:00,1011.54,7.00,29.13,5.6,4.80,88,56.80,25.8,23.6,220
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.05,08-25-2019,10:00:00,1009.37,12.00,28.50,9.3,0.00,65,0.00,30.5,23.2,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.66,08-25-2019,10:00:00,1010.86,10.00,31.11,11.1,0.00,82,0.80,28.0,24.7,250
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.03,08-25-2019,10:00:00,1009.40,12.00,28.64,7.4,0.00,68,0.40,30.0,23.3,060
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.88,08-25-2019,10:00:00,1010.48,10.00,28.50,7.4,0.00,65,0.90,30.5,23.2,230
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.67,08-25-2019,10:00:00,1008.47,6.00,25.71,16.7,0.00,64,0.10,29.0,21.6,230
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.39,08-25-2019,10:00:00,1009.78,10.00,28.95,0.0,0.00,75,6.60,28.3,23.5,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.46,08-25-2019,10:00:00,1007.96,7.00,31.63,0.0,0.10,90,5.80,26.7,25.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.02,08-25-2019,10:00:00,1010.65,6.00,29.52,14.8,4.10,93,4.30,25.0,23.8,300
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.83,08-25-2019,10:00:00,1011.94,10.00,26.37,16.7,1.90,78,20.70,26.0,22.0,270
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.75,08-25-2019,10:00:00,1008.17,10.00,29.86,0.0,7.40,88,19.80,26.2,24.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.86,08-25-2019,10:00:00,1011.43,8.00,28.26,18.5,0.80,77,19.40,27.5,23.1,260
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.54,08-25-2019,10:00:00,1010.55,8.00,28.39,11.1,0.80,75,18.30,28.0,23.2,280
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.41,08-25-2019,10:00:00,1011.59,9.00,31.61,38.9,4.60,87,16.20,27.4,25.0,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.84,08-25-2019,10:00:00,1011.00,6.00,28.96,7.4,37.40,97,50.30,24.1,23.5,270
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.72,08-25-2019,10:00:00,1010.97,10.00,29.01,13.0,0.80,77,0.80,27.9,23.5,200
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.39,08-25-2019,10:00:00,1008.37,10.00,28.36,14.8,0.01,84,3.40,26.1,23.2,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1013.79,08-25-2019,10:00:00,1013.09,4.00,28.29,11.1,36.50,92,62.60,24.6,23.1,270
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.77,08-25-2019,10:00:00,1010.65,10.00,28.90,9.3,0.01,78,3.20,27.7,23.5,200
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.61,08-25-2019,10:00:00,1009.66,7.00,31.25,5.6,1.80,96,9.80,25.5,24.8,210
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.17,08-25-2019,10:00:00,1010.48,12.00,30.88,9.3,0.00,76,0.00,29.3,24.6,240
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.96,08-25-2019,10:00:00,1007.85,10.00,28.15,0.0,0.00,68,0.00,29.6,23.0,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.57,08-25-2019,10:00:00,1010.98,10.00,27.44,13.0,0.00,71,5.60,28.5,22.6,240
