WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,VaporPressure,MaximumTemperature,WindSpeed,Rainfall,Rainfall24Hr,DewPoint,LandVisibility,RelativeHumidity,AirTemperature,MeanSeaLevelPressure
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.07,08-01-2019,19:00:00,270,26.18,32.8,3.7,0.00,0.01,21.8,10.00,70,27.8,1006.18
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.66,08-01-2019,19:00:00,290,24.18,32.5,14.8,0.00,0.30,20.5,10.00,59,29.3,1005.96
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.39,08-01-2019,19:00:00,240,28.37,31.5,7.4,0.00,1.30,23.2,10.00,71,29.0,1006.08
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.16,08-01-2019,19:00:00,300,24.18,32.2,7.4,0.00,0.50,20.5,10.00,59,29.3,1005.65
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.16,08-01-2019,19:00:00,270,23.82,31.3,27.8,0.00,0.20,20.3,10.00,60,28.8,1006.56
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.14,08-01-2019,19:00:00,250,29.65,31.6,29.6,0.00,0.00,23.9,10.00,74,29.1,1006.81
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.39,08-01-2019,19:00:00,000,27.72,31.0,0.0,0.01,5.20,22.8,10.00,77,27.2,1007.39
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.12,08-01-2019,19:00:00,000,31.13,31.3,0.0,0.00,4.00,24.7,10.00,78,29.0,1005.40
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.72,08-01-2019,19:00:00,300,27.97,31.0,18.5,0.00,0.00,22.9,10.00,72,28.5,1005.83
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.21,08-01-2019,19:00:00,210,26.63,29.7,13.0,0.00,0.80,22.1,10.00,70,28.2,1006.12
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.57,08-01-2019,19:00:00,000,30.84,31.1,0.0,0.50,14.20,24.6,9.00,92,26.0,1007.19
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,997.44,08-01-2019,19:00:00,280,26.80,31.8,18.5,0.00,5.00,22.2,12.00,71,28.0,1006.72
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.50,08-01-2019,19:00:00,270,24.06,31.9,11.1,0.00,0.01,20.5,10.00,64,27.9,1006.76
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.54,08-01-2019,19:00:00,330,22.66,30.8,11.1,0.00,0.90,19.5,11.00,55,29.6,1005.97
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.40,08-01-2019,19:00:00,000,26.22,28.3,0.0,0.00,10.70,21.9,8.00,76,26.5,1006.67
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.78,08-01-2019,19:00:00,260,27.26,29.3,5.6,0.00,3.90,22.5,10.00,70,28.4,1006.49
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.74,08-01-2019,19:00:00,250,25.19,32.2,7.4,0.00,10.30,21.2,10.00,63,29.0,1007.16
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.85,08-01-2019,19:00:00,300,27.56,31.0,14.8,0.00,12.50,22.7,10.00,69,29.0,1006.37
