WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,RelativeHumidity,Rainfall24Hr,DewPoint,AirTemperature,WindDirection,LandVisibility,MeanSeaLevelPressure,WindSpeed,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.16,07-17-2019,10:00:00,0.00,61,0.00,22.4,30.8,190,15.00,1003.97,3.7,973.63
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.72,07-17-2019,10:00:00,0.00,87,17.70,19.5,21.9,310,8.00,1002.17,18.5,843.19
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.76,07-17-2019,10:00:00,0.00,56,0.00,20.9,30.8,070,12.00,1003.24,5.6,960.50
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.55,07-17-2019,10:00:00,0.00,65,0.00,22.7,30.0,000,15.00,1003.32,0.0,958.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.81,07-17-2019,10:00:00,0.00,59,0.00,23.4,32.5,000,12.00,1003.62,0.0,966.93
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.07,07-17-2019,10:00:00,0.00,63,2.00,23.6,31.5,180,9.00,1003.55,9.3,959.48
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.95,07-17-2019,10:00:00,0.00,61,0.00,24.1,32.5,180,12.00,1004.34,7.4,978.24
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.99,07-17-2019,10:00:00,0.00,55,0.00,21.7,31.9,240,12.00,1004.01,1.9,982.71
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.10,07-17-2019,10:00:00,0.00,70,1.00,23.0,29.0,000,8.00,1005.13,0.0,981.29
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.82,07-17-2019,10:00:00,0.00,59,0.00,22.8,32.0,160,12.00,1003.99,3.7,970.25
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.27,07-17-2019,10:00:00,0.00,57,0.00,22.5,32.0,000,10.00,1003.72,0.0,976.79
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.22,07-17-2019,10:00:00,0.00,59,0.70,23.1,32.2,000,12.00,1003.56,0.0,970.76
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.25,07-17-2019,10:00:00,0.00,55,0.00,22.5,32.7,000,15.00,1003.55,0.0,985.48
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.07,07-17-2019,10:00:00,0.00,61,0.00,24.1,32.7,000,10.00,1003.64,0.0,981.36
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.53,07-17-2019,10:00:00,0.00,65,0.00,24.4,31.8,230,12.00,1003.65,7.4,974.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.56,07-17-2019,10:00:00,0.00,55,0.00,22.1,32.2,000,8.00,1003.44,0.0,968.75
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.17,07-17-2019,10:00:00,0.00,78,3.80,25.8,30.0,020,15.00,1003.63,3.7,974.37
