WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MinimumTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall,LandVisibility,RelativeHumidity,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.30,08-25-2019,07:00:00,23.7,22.8,0.0,29.25,1006.82,000,24.7,0.00,6.00,94,975.78
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.50,08-25-2019,07:00:00,18.5,17.9,5.6,21.28,1005.36,120,18.5,0.00,.10,100,844.21
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-25-2019,07:00:00,23.7,24.5,0.0,29.26,1006.43,000,25.0,0.00,10.00,92,962.75
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.00,08-25-2019,07:00:00,24.3,22.5,0.0,30.32,1006.73,000,25.0,3.00,15.00,96,961.13
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,11.20,08-25-2019,07:00:00,23.3,23.0,0.0,28.68,1008.99,000,23.5,0.00,7.00,99,971.01
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,4.50,08-25-2019,07:00:00,23.8,23.8,0.0,29.41,1006.39,000,24.5,0.00,10.00,96,961.17
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.20,08-25-2019,07:00:00,24.2,24.4,0.0,30.22,1007.28,000,24.8,0.00,7.00,97,980.43
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.90,08-25-2019,07:00:00,24.1,23.9,0.0,29.93,1006.72,000,24.5,0.00,11.00,97,984.84
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.40,08-25-2019,07:00:00,23.7,23.7,0.0,29.25,1007.31,000,24.7,0.40,6.00,94,983.07
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.80,08-25-2019,07:00:00,23.7,24.5,0.0,29.33,1006.94,000,24.6,0.00,10.00,95,972.27
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.20,08-25-2019,07:00:00,23.8,23.6,0.0,29.41,1008.47,000,24.5,0.00,10.00,96,980.74
