WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,Rainfall,WindDirection,RelativeHumidity,StationPressure,LandVisibility,Rainfall24Hr,DewPoint,WindSpeed,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.7,09-23-2019,04:00:00,1013.18,0.00,000,94,981.84,6.00,0.00,22.7,0.0,27.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.0,09-23-2019,04:00:00,1012.83,0.00,150,80,849.74,8.00,0.00,13.4,11.1,15.41
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.5,09-23-2019,04:00:00,1014.24,0.00,000,94,969.71,10.00,0.00,20.6,0.0,24.21
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.0,09-23-2019,04:00:00,1014.25,0.00,000,94,967.71,{'@attributes': {'Unit': 'km'}},0.00,20.1,0.0,23.46
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,20.6,09-23-2019,04:00:00,1014.73,0.00,000,96,976.17,5.00,0.00,20.0,0.0,23.33
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,09-23-2019,04:00:00,1014.29,0.00,000,94,968.57,10.00,0.00,22.4,0.0,27.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.0,09-23-2019,04:00:00,1014.38,0.00,000,94,987.18,6.00,0.00,21.9,0.0,26.33
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.2,09-23-2019,04:00:00,1013.60,0.80,000,98,991.48,5.00,15.80,22.9,0.0,27.91
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.5,09-23-2019,04:00:00,1013.08,0.00,000,96,988.61,6.00,0.50,22.8,0.0,27.66
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.0,09-23-2019,04:00:00,1013.46,0.40,000,91,978.61,10.00,0.80,23.4,0.0,28.74
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.0,09-23-2019,04:00:00,1013.66,0.00,000,97,985.74,10.00,14.00,23.4,0.0,28.78
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.6,09-23-2019,04:00:00,1013.65,0.00,000,95,979.70,10.00,0.00,23.7,0.0,29.33
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.6,09-23-2019,04:00:00,1012.83,0.00,000,95,994.10,5.00,0.00,23.7,0.0,29.33
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.4,09-23-2019,04:00:00,1013.73,0.00,000,92,990.60,10.00,0.00,23.1,0.0,28.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,09-23-2019,04:00:00,1011.97,0.00,000,92,981.81,5.00,0.00,23.7,0.0,29.26
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.6,09-23-2019,04:00:00,1013.30,0.00,000,95,977.39,6.00,0.20,23.7,0.0,29.33
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.0,09-23-2019,04:00:00,1013.58,0.00,000,98,983.25,5.00,0.00,21.7,0.0,25.93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.2,09-23-2019,04:00:00,1012.27,0.00,000,90,1004.88,8.00,0.00,23.4,0.0,28.83
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.6,09-23-2019,04:00:00,1013.78,0.00,000,79,993.60,5.00,0.00,20.8,0.0,24.53
48353,LOEI,เลย,เลย,17.45000,101.73333,23.5,09-23-2019,04:00:00,1013.98,0.00,000,91,984.84,6.00,0.00,22.0,0.0,26.42
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.0,09-23-2019,04:00:00,1013.73,0.00,000,87,993.24,10.00,0.00,21.7,0.0,26.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.4,09-23-2019,04:00:00,1014.40,0.00,000,95,992.19,8.00,0.00,21.5,0.0,25.61
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.1,09-23-2019,04:00:00,1013.62,0.00,120,90,993.76,10.00,0.00,21.4,3.7,25.52
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.5,09-23-2019,04:00:00,1014.00,0.00,000,89,996.89,10.00,0.00,20.7,0.0,24.33
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.5,09-23-2019,04:00:00,1014.62,0.00,000,95,996.70,7.00,0.00,19.7,0.0,22.95
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.5,09-23-2019,04:00:00,1012.96,0.00,000,91,987.01,8.00,0.00,24.9,0.0,31.52
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.0,09-23-2019,04:00:00,1012.68,0.00,000,98,1006.82,10.00,4.50,24.7,0.0,31.12
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.0,09-23-2019,04:00:00,1012.23,0.00,000,97,1005.96,10.00,0.00,24.4,0.0,30.58
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.5,09-23-2019,04:00:00,1013.76,0.00,000,86,997.08,10.00,0.00,21.9,0.0,26.34
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.0,09-23-2019,04:00:00,1010.35,0.00,000,92,987.81,10.00,0.00,23.5,0.0,29.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.1,09-23-2019,04:00:00,1013.21,0.00,000,94,998.60,5.00,5.00,23.1,0.0,28.19
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,09-23-2019,04:00:00,1013.09,0.00,000,98,996.43,8.00,5.80,23.5,0.0,28.95
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.4,09-23-2019,04:00:00,1012.60,0.00,000,94,1007.31,10.00,0.00,24.4,0.0,30.52
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.3,09-23-2019,04:00:00,1011.20,0.00,000,91,997.88,10.00,0.00,23.7,0.0,29.28
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.5,09-23-2019,04:00:00,1012.44,0.00,000,96,1002.99,10.00,17.00,23.8,0.0,29.41
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.5,09-23-2019,04:00:00,1014.66,0.00,090,89,992.64,7.00,0.00,22.6,3.7,27.35
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.5,09-23-2019,04:00:00,1012.41,0.00,000,87,994.67,10.00,0.00,22.3,0.0,26.84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.5,09-23-2019,04:00:00,1011.88,0.00,000,75,995.84,10.00,0.00,19.9,0.0,23.17
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.2,09-23-2019,04:00:00,1014.20,0.00,000,90,995.00,6.00,0.00,22.4,0.0,27.09
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.8,09-23-2019,04:00:00,1009.82,0.00,000,93,957.97,5.00,16.80,21.6,0.0,25.76
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.8,09-23-2019,04:00:00,1012.02,0.00,000,95,1008.02,6.00,26.10,24.9,0.0,31.55
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.7,09-23-2019,04:00:00,1013.40,0.00,050,96,917.15,6.00,0.50,19.1,5.6,22.04
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.7,09-23-2019,04:00:00,1013.09,0.00,030,83,996.89,7.00,0.00,21.5,7.4,25.68
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.8,09-23-2019,04:00:00,1012.33,0.00,000,96,1008.26,7.00,0.20,25.1,0.0,31.82
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.2,09-23-2019,04:00:00,1012.79,0.30,000,94,1001.99,5.00,0.30,24.2,0.0,30.15
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.5,09-23-2019,04:00:00,1012.32,0.00,000,94,1010.37,8.00,0.00,24.5,0.0,30.71
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.5,09-23-2019,04:00:00,1012.91,0.00,020,76,991.83,10.00,0.00,20.9,5.6,24.78
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.9,09-23-2019,04:00:00,1013.00,0.00,050,80,995.11,10.00,0.00,21.3,3.7,25.27
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.2,09-23-2019,04:00:00,1012.73,0.00,070,79,996.38,10.00,0.00,21.3,5.6,25.27
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.3,09-23-2019,04:00:00,1013.51,3.70,100,93,999.21,8.00,23.10,22.1,13.0,26.58
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.5,09-23-2019,04:00:00,1013.72,10.00,000,97,998.67,6.00,12.20,24.1,0.0,29.93
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.0,09-23-2019,04:00:00,1013.08,0.01,060,91,998.22,6.00,6.40,23.4,11.1,28.74
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.8,09-23-2019,04:00:00,1012.09,0.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",83,1009.04,7.00,0.60,22.7,0.0,27.56
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.2,09-23-2019,04:00:00,1012.13,0.00,000,90,1004.11,7.00,0.01,24.5,0.0,30.67
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.3,09-23-2019,04:00:00,1011.40,0.00,000,92,1010.28,7.00,0.80,24.0,0.0,29.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.2,09-23-2019,04:00:00,1012.78,0.00,000,95,997.92,8.00,4.40,24.3,0.0,30.42
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.2,09-23-2019,04:00:00,1012.76,0.00,150,99,876.45,2.00,11.60,18.0,11.1,20.67
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.2,09-23-2019,04:00:00,1012.18,0.00,000,84,1006.23,8.00,0.00,22.2,0.0,26.78
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,09-23-2019,04:00:00,1011.40,0.50,090,99,1010.59,8.00,13.90,24.3,7.4,30.46
