WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,LandVisibility,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,DewPoint,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.00,09-08-2019,04:00:00,1008.15,8.00,0.0,000,25.2,30.15,977.12,24.2,0.00,94
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.70,09-08-2019,04:00:00,1005.10,8.00,14.8,280,18.6,20.34,844.04,17.8,0.00,95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-08-2019,04:00:00,1005.94,10.00,0.0,000,26.2,30.13,962.45,24.2,0.00,89
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-08-2019,04:00:00,1005.91,12.00,0.0,000,25.2,29.36,960.38,23.7,0.00,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-08-2019,04:00:00,1006.83,6.00,0.0,000,25.0,30.58,969.12,24.4,0.00,97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-08-2019,04:00:00,1005.82,10.00,0.0,000,25.0,29.00,960.70,23.5,0.00,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-08-2019,04:00:00,1007.26,7.00,0.0,000,25.9,30.92,980.51,24.6,0.00,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.70,09-08-2019,04:00:00,1007.98,13.00,0.0,000,23.7,28.52,986.01,23.3,0.00,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,3.00,09-08-2019,04:00:00,1009.18,6.00,0.0,000,24.3,29.57,984.86,23.9,0.00,97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,09-08-2019,04:00:00,1007.44,10.00,0.0,000,25.9,29.05,972.90,23.6,0.00,87
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,2.00,09-08-2019,04:00:00,1007.31,10.00,0.0,000,25.1,30.23,979.67,24.2,0.00,95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-08-2019,04:00:00,1007.43,10.00,0.0,000,25.5,28.59,973.79,23.3,0.00,88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.20,09-08-2019,04:00:00,1006.90,10.00,1.9,270,25.4,29.99,988.33,24.1,0.00,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.10,09-08-2019,04:00:00,1006.96,10.00,0.0,000,26.1,30.76,984.12,24.5,0.00,91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-08-2019,04:00:00,1007.10,6.00,0.0,000,25.2,30.42,977.11,24.3,0.00,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.20,09-08-2019,04:00:00,1007.21,6.00,0.0,000,23.5,28.17,971.40,23.0,0.00,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-08-2019,04:00:00,1005.79,10.00,0.0,000,23.8,28.95,975.87,23.5,0.00,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-08-2019,04:00:00,1007.70,8.00,0.0,000,26.0,30.03,1000.36,24.1,0.00,89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-08-2019,04:00:00,1005.91,10.00,0.0,000,27.0,32.77,986.05,25.6,0.00,92
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-08-2019,04:00:00,1006.64,10.00,0.0,000,25.0,29.26,977.85,23.7,0.00,92
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.80,09-08-2019,04:00:00,1006.20,10.00,0.0,000,26.0,30.84,986.00,24.6,0.00,92
