WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,VaporPressure,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,DewPoint,Rainfall24Hr,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-16-2019,10:00:00,0.00,28.20,0.0,1005.66,974.98,8.00,23.1,0.00,75,27.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-16-2019,10:00:00,0.00,21.28,14.8,1003.17,843.55,8.00,18.5,0.00,86,20.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,200,07-16-2019,10:00:00,0.00,28.37,7.4,1003.89,961.16,15.00,23.2,0.00,63,31.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-16-2019,10:00:00,0.00,26.73,0.0,1003.99,959.39,15.00,22.2,0.00,60,31.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,120,07-16-2019,10:00:00,0.00,27.98,5.6,1004.93,967.99,12.00,22.9,0.00,63,30.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,190,07-16-2019,10:00:00,0.00,28.09,9.3,1004.25,960.07,15.00,23.0,0.00,63,31.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,07-16-2019,10:00:00,0.00,28.23,5.6,1005.14,978.94,12.00,23.1,0.00,61,31.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,210,07-16-2019,10:00:00,0.00,27.15,9.3,1005.88,984.38,15.00,22.4,1.10,66,29.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-16-2019,10:00:00,0.00,27.96,0.0,1005.90,982.08,8.00,22.9,0.00,68,29.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,050,07-16-2019,10:00:00,0.00,26.40,3.7,1004.94,971.10,12.00,22.0,0.00,57,31.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-16-2019,10:00:00,0.00,25.74,0.0,1004.91,977.96,10.00,21.6,0.00,54,32.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-16-2019,10:00:00,0.00,25.74,0.0,1004.31,971.49,15.00,21.6,0.00,54,32.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,230,07-16-2019,10:00:00,0.00,28.37,5.6,1005.12,986.93,15.00,23.2,0.01,63,31.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-16-2019,10:00:00,0.00,27.66,0.0,1004.90,982.55,10.00,22.7,0.00,58,32.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-16-2019,10:00:00,0.00,26.73,0.0,1005.13,975.75,12.00,22.2,0.00,60,31.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-16-2019,10:00:00,0.00,25.49,0.0,1004.51,969.81,8.00,21.4,0.00,52,32.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,120,07-16-2019,10:00:00,0.00,28.54,9.3,1004.36,975.25,14.00,23.3,0.00,61,31.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-16-2019,10:00:00,0.00,28.50,0.0,1006.90,999.69,12.00,23.2,1.00,65,30.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,100,07-16-2019,10:00:00,0.00,32.53,11.1,1004.86,985.35,15.00,25.4,0.00,68,32.2
48353,LOEI,เลย,เลย,17.45000,101.73333,210,07-16-2019,10:00:00,0.00,27.41,3.7,1004.68,976.64,15.00,22.6,0.00,56,32.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,290,07-16-2019,10:00:00,0.00,30.57,11.1,1005.03,985.24,15.00,24.4,0.00,64,32.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,290,07-16-2019,10:00:00,0.00,30.28,11.1,1006.68,985.38,15.00,24.2,0.00,61,32.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,280,07-16-2019,10:00:00,0.00,28.33,3.7,1004.86,985.77,15.00,23.1,0.00,58,32.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,07-16-2019,10:00:00,0.00,30.61,0.0,1005.70,989.24,12.00,24.4,0.01,65,31.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,080,07-16-2019,10:00:00,0.00,31.06,3.7,1006.81,989.63,12.00,24.7,0.00,70,30.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,030,07-16-2019,10:00:00,0.00,26.45,5.6,1004.26,979.07,15.00,22.0,0.00,53,33.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,07-16-2019,10:00:00,0.00,27.11,0.0,1005.66,999.97,10.00,22.4,0.00,56,32.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-16-2019,10:00:00,0.00,29.83,0.0,1006.00,999.92,12.00,24.0,0.00,62,32.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-16-2019,10:00:00,0.00,29.48,0.0,1006.36,990.15,10.00,23.8,0.00,66,31.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,07-16-2019,10:00:00,0.00,29.74,0.0,1004.74,982.55,10.00,23.9,30.80,79,28.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,270,07-16-2019,10:00:00,0.00,29.46,3.7,1006.25,992.13,10.00,23.8,1.00,61,32.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,240,07-16-2019,10:00:00,0.00,28.50,5.6,1006.20,990.02,7.00,23.2,0.00,65,30.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,110,07-16-2019,10:00:00,0.00,28.59,3.7,1006.03,1000.89,12.00,23.3,0.00,62,31.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-16-2019,10:00:00,0.00,30.00,0.0,1004.54,991.57,12.00,24.1,0.00,65,31.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,160,07-16-2019,10:00:00,0.00,28.09,3.7,1005.85,996.66,12.00,23.0,0.00,63,31.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,320,07-16-2019,10:00:00,0.00,27.46,5.6,1005.46,984.17,10.00,22.6,0.00,57,32.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,220,07-16-2019,10:00:00,0.00,29.87,13.0,1005.51,988.44,12.00,24.0,0.00,56,34.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,310,07-16-2019,10:00:00,0.00,30.08,3.7,1004.72,989.18,12.00,24.1,0.00,63,32.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,080,07-16-2019,10:00:00,0.00,32.16,3.7,1004.14,985.68,10.00,25.3,0.10,64,33.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-16-2019,10:00:00,0.00,26.73,0.0,1005.98,955.26,11.00,22.2,5.10,69,28.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,180,07-16-2019,10:00:00,0.00,31.19,11.1,1005.63,1001.74,10.00,24.7,0.00,67,31.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,200,07-16-2019,10:00:00,0.00,24.62,9.3,1006.11,911.74,8.00,20.8,8.90,85,23.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,270,07-16-2019,10:00:00,0.00,29.75,7.4,1004.96,989.29,10.00,24.0,0.01,61,32.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,300,07-16-2019,10:00:00,0.00,30.32,7.4,1006.12,1002.15,12.00,24.3,0.00,65,31.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-16-2019,10:00:00,0.00,26.73,0.0,1006.92,996.39,10.00,22.2,0.00,60,31.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,150,07-16-2019,10:00:00,0.00,28.09,5.6,1006.70,1004.80,10.00,23.0,0.60,63,31.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,210,07-16-2019,10:00:00,0.00,26.06,9.3,1005.11,984.68,12.00,21.8,0.00,52,32.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,230,07-16-2019,10:00:00,0.00,30.24,11.1,1005.25,987.90,10.00,24.2,2.10,64,31.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,190,07-16-2019,10:00:00,0.00,31.52,13.0,1004.76,988.90,10.00,24.9,0.00,66,32.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,210,07-16-2019,10:00:00,0.00,30.90,9.3,1005.82,992.01,10.00,24.6,0.00,66,31.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-16-2019,10:00:00,0.00,30.82,0.0,1006.75,992.12,10.00,24.5,0.00,68,31.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,250,07-16-2019,10:00:00,0.00,30.77,5.6,1006.62,992.21,10.00,24.5,0.00,64,32.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",07-16-2019,10:00:00,0.00,28.00,0.0,1005.70,1002.74,10.00,23.0,0.00,56,32.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,120,07-16-2019,10:00:00,0.00,28.59,5.6,1005.89,998.06,10.00,23.3,0.00,62,31.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,210,07-16-2019,10:00:00,0.00,30.49,9.3,1006.02,1004.93,10.00,24.4,0.00,66,31.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-16-2019,10:00:00,0.00,27.93,0.0,1006.55,992.03,8.00,22.9,0.00,65,30.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,270,07-16-2019,10:00:00,0.00,22.09,7.4,1004.78,871.88,8.00,19.1,0.00,75,23.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,07-16-2019,10:00:00,0.00,30.28,0.0,1006.39,1000.60,10.00,24.3,0.00,66,31.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,220,07-16-2019,10:00:00,0.00,33.31,3.7,1006.48,1005.69,12.00,25.8,0.00,67,32.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,07-16-2019,10:00:00,0.00,30.90,14.8,1006.53,1006.09,10.00,24.6,1.00,69,31.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-16-2019,10:00:00,0.00,30.72,0.0,1007.75,996.47,5.00,24.5,0.20,82,27.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,210,07-16-2019,10:00:00,0.00,29.06,11.1,1006.74,1005.75,12.00,23.6,0.00,60,32.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,180,07-16-2019,10:00:00,0.00,28.99,5.6,1006.58,1004.79,10.00,23.5,0.00,62,31.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,220,07-16-2019,10:00:00,0.00,27.47,3.7,1006.65,1005.89,9.00,22.6,0.00,64,30.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,240,07-16-2019,10:00:00,0.00,28.46,9.3,1006.84,1006.15,10.00,23.2,60.30,60,31.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,300,07-16-2019,10:00:00,0.00,28.91,7.4,1006.83,1006.14,12.00,23.5,0.60,62,31.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,320,07-16-2019,10:00:00,0.00,28.12,11.1,1005.67,984.96,10.00,23.0,0.00,56,33.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,220,07-16-2019,10:00:00,0.00,28.20,9.3,1006.04,989.51,11.00,23.1,28.30,66,30.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,07-16-2019,10:00:00,0.00,28.65,3.7,1006.12,989.92,10.00,23.3,20.40,64,31.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,300,07-16-2019,10:00:00,0.00,25.93,13.0,1005.54,984.10,10.00,21.7,0.00,54,32.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,260,07-16-2019,10:00:00,0.00,24.01,25.9,1006.32,963.46,14.00,20.4,0.00,58,29.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,110,07-16-2019,10:00:00,0.00,26.15,14.8,1005.55,985.40,12.00,21.8,0.00,53,32.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,240,07-16-2019,10:00:00,0.00,32.89,13.0,1007.52,987.00,9.00,25.6,46.40,72,31.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,190,07-16-2019,10:00:00,0.00,27.87,3.7,1006.69,1006.26,10.00,22.9,14.80,63,30.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,270,07-16-2019,10:00:00,0.00,29.56,5.6,1006.44,1005.04,11.00,23.9,0.00,66,30.9
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-16-2019,10:00:00,0.00,30.82,0.0,1006.49,1001.62,10.00,24.5,0.00,68,31.1
