WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,WindDirection,DewPoint,LandVisibility,Rainfall,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,MeanSeaLevelPressure
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.6,10-02-2019,13:00:00,0.01,320,25.5,10.00,0.01,32.67,3.7,74,1009.99,1010.97
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.4,10-02-2019,13:00:00,19.40,210,26.0,10.00,0.20,33.66,20.4,82,1011.30,1012.11
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,28.9,10-02-2019,13:00:00,0.00,230,24.3,10.00,0.00,30.37,16.7,76,1009.54,1011.35
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,32.0,10-02-2019,13:00:00,0.01,080,23.5,11.00,0.00,28.94,13.0,61,1010.15,1010.89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.7,10-02-2019,13:00:00,5.00,280,23.8,10.00,0.00,29.45,20.4,67,1007.38,1011.34
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.4,10-02-2019,13:00:00,26.80,000,23.9,6.00,20.00,29.72,0.0,92,1011.60,1012.29
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,32.9,10-02-2019,13:00:00,44.20,270,22.9,10.00,0.00,27.92,13.0,56,1009.56,1010.65
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.3,10-02-2019,13:00:00,0.00,260,24.0,12.00,0.00,29.83,22.2,62,1008.54,1011.42
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.7,10-02-2019,13:00:00,0.00,030,24.8,12.00,0.00,31.29,5.6,60,1009.79,1010.47
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,32.0,10-02-2019,13:00:00,43.70,290,23.0,10.00,0.00,28.10,5.6,59,1007.09,1011.16
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,33.1,10-02-2019,13:00:00,0.00,050,22.1,10.00,0.00,26.64,9.3,53,1010.23,1010.81
